Exit stations,Entry stations->,,SATURDAY,,,Jun 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
GP, 	20 , 	41 , 	22 , 	31 , 	77 , 	29 , 	46 , 	52 , 	60 , 	35 , 	36 , 	26 , 	21 , 	19 , 	13 , 	7 , 	11 , 	11 , 	19 , 	19 , 	25 , 	13 , 	14 , 	39 , 	48 , 	303 , 	250 , 	936 , 	398 , 	226 , 	202 , 	19 , 	42 , 	43 , 	31 , 	11 , 	35 , 	6 , 	16 , 	22 , 	53 , 	85 , 	62 , 	10 , 	11 , 	8 , 	-   , 	-   , 	3 , 	9 ," 	3,515 ",,,,,,,,,,
BP, 	22 , 	29 , 	14 , 	12 , 	50 , 	19 , 	38 , 	39 , 	61 , 	35 , 	32 , 	30 , 	20 , 	22 , 	13 , 	7 , 	13 , 	18 , 	18 , 	12 , 	17 , 	8 , 	6 , 	16 , 	41 , 	383 , 	393 ," 	1,724 ", 	447 , 	292 , 	275 , 	47 , 	31 , 	46 , 	38 , 	11 , 	28 , 	6 , 	18 , 	22 , 	87 , 	87 , 	53 , 	6 , 	6 , 	10 , 	-   , 	-   , 	4 , 	10 ," 	4,613 ",,,,,,,,,,
DC, 	19 , 	42 , 	15 , 	20 , 	72 , 	17 , 	28 , 	50 , 	66 , 	40 , 	34 , 	39 , 	24 , 	25 , 	16 , 	17 , 	13 , 	25 , 	22 , 	18 , 	26 , 	12 , 	11 , 	17 , 	44 , 	353 , 	327 ," 	1,271 ", 	528 , 	320 , 	257 , 	47 , 	56 , 	26 , 	22 , 	10 , 	37 , 	5 , 	21 , 	26 , 	81 , 	190 , 	99 , 	13 , 	10 , 	11 , 	-   , 	-   , 	4 , 	12 ," 	4,438 ",,,,,,,,,,
CM, 	5 , 	14 , 	3 , 	5 , 	15 , 	3 , 	8 , 	12 , 	15 , 	5 , 	4 , 	7 , 	6 , 	5 , 	2 , 	3 , 	4 , 	4 , 	11 , 	7 , 	9 , 	3 , 	2 , 	7 , 	8 , 	103 , 	84 , 	321 , 	140 , 	79 , 	74 , 	27 , 	34 , 	20 , 	10 , 	2 , 	7 , 	5 , 	12 , 	9 , 	37 , 	105 , 	29 , 	2 , 	1 , 	1 , 	-   , 	-   , 	1 , 	7 ," 	1,274 ",,,,,,,,,,
CV, 	3 , 	4 , 	3 , 	4 , 	20 , 	4 , 	8 , 	12 , 	16 , 	64 , 	37 , 	71 , 	32 , 	43 , 	12 , 	11 , 	7 , 	15 , 	2 , 	2 , 	3 , 	0 , 	1 , 	4 , 	9 , 	142 , 	102 , 	204 , 	116 , 	42 , 	24 , 	11 , 	11 , 	12 , 	3 , 	8 , 	52 , 	1 , 	1 , 	1 , 	5 , 	14 , 	3 , 	49 , 	8 , 	8 , 	-   , 	-   , 	1 , 	2 ," 	1,205 ",,,,,,,,,,
ED, 	8 , 	17 , 	8 , 	9 , 	75 , 	12 , 	23 , 	26 , 	33 , 	78 , 	99 , 	235 , 	47 , 	85 , 	28 , 	19 , 	31 , 	46 , 	7 , 	6 , 	6 , 	1 , 	3 , 	11 , 	19 , 	590 , 	295 , 	548 , 	326 , 	105 , 	58 , 	29 , 	37 , 	46 , 	5 , 	54 , 	31 , 	1 , 	5 , 	8 , 	8 , 	126 , 	13 , 	40 , 	54 , 	16 , 	-   , 	-   , 	1 , 	4 ," 	3,333 ",,,,,,,,,,
NC, 	3 , 	3 , 	1 , 	1 , 	11 , 	3 , 	8 , 	10 , 	19 , 	2 , 	4 , 	21 , 	4 , 	2 , 	3 , 	1 , 	2 , 	2 , 	18 , 	6 , 	17 , 	6 , 	3 , 	8 , 	3 , 	84 , 	54 , 	91 , 	67 , 	22 , 	17 , 	8 , 	6 , 	7 , 	2 , 	1 , 	1 , 	4 , 	17 , 	2 , 	3 , 	45 , 	3 , 	1 , 	8 , 	2 , 	-   , 	-   , 	6 , 	8 , 	623 ,,,,,,,,,,
WP, 	11 , 	13 , 	3 , 	5 , 	21 , 	5 , 	39 , 	22 , 	42 , 	8 , 	21 , 	35 , 	12 , 	10 , 	7 , 	5 , 	4 , 	8 , 	102 , 	45 , 	69 , 	12 , 	6 , 	17 , 	11 , 	145 , 	88 , 	238 , 	121 , 	45 , 	49 , 	18 , 	20 , 	22 , 	9 , 	1 , 	4 , 	16 , 	14 , 	12 , 	8 , 	83 , 	12 , 	2 , 	18 , 	8 , 	-   , 	-   , 	9 , 	16 ," 	1,491 ",,,,,,,,,,
SS, 	6 , 	10 , 	2 , 	5 , 	11 , 	5 , 	7 , 	9 , 	16 , 	5 , 	7 , 	7 , 	5 , 	3 , 	3 , 	3 , 	2 , 	2 , 	9 , 	6 , 	8 , 	3 , 	3 , 	6 , 	9 , 	90 , 	74 , 	257 , 	113 , 	61 , 	56 , 	20 , 	23 , 	25 , 	7 , 	2 , 	6 , 	2 , 	8 , 	10 , 	19 , 	43 , 	16 , 	2 , 	3 , 	1 , 	-   , 	-   , 	1 , 	10 ," 	1,002 ",,,,,,,,,,
SB, 	11 , 	16 , 	6 , 	6 , 	22 , 	3 , 	15 , 	15 , 	26 , 	8 , 	17 , 	13 , 	8 , 	9 , 	7 , 	5 , 	5 , 	5 , 	13 , 	11 , 	9 , 	3 , 	2 , 	5 , 	13 , 	100 , 	82 , 	305 , 	177 , 	105 , 	118 , 	50 , 	94 , 	81 , 	41 , 	2 , 	8 , 	3 , 	9 , 	20 , 	16 , 	49 , 	23 , 	2 , 	2 , 	1 , 	-   , 	-   , 	2 , 	4 ," 	1,546 ",,,,,,,,,,
