Exit stations,Entry stations->,,WEEKDAY,,,Jan 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
BP, 	57 , 	91 , 	34 , 	31 , 	85 , 	37 , 	77 , 	119 , 	157 , 	66 , 	78 , 	64 , 	62 , 	40 , 	28 , 	19 , 	15 , 	19 , 	43 , 	37 , 	33 , 	8 , 	12 , 	42 , 	83 ," 	1,370 "," 	1,782 "," 	2,225 "," 	1,094 ", 	525 , 	488 , 	109 , 	36 , 	90 , 	69 , 	21 , 	58 , 	13 , 	44 , 	60 , 	102 , 	107 , 	126 , 	25 , 	9 , 	14 , 	-   , 	-   , 	9 , 	41 ," 	9,756 ",,,,,,,,,,,,,
DC, 	56 , 	104 , 	33 , 	25 , 	83 , 	32 , 	62 , 	126 , 	197 , 	72 , 	81 , 	91 , 	66 , 	45 , 	34 , 	27 , 	32 , 	33 , 	64 , 	51 , 	49 , 	18 , 	13 , 	25 , 	51 ," 	1,274 "," 	1,740 "," 	1,301 ", 	736 , 	302 , 	253 , 	57 , 	105 , 	24 , 	37 , 	22 , 	82 , 	29 , 	51 , 	55 , 	114 , 	179 , 	214 , 	32 , 	10 , 	26 , 	-   , 	-   , 	14 , 	45 ," 	8,170 ",,,,,,,,,,,,,
CM, 	14 , 	25 , 	6 , 	6 , 	29 , 	9 , 	22 , 	73 , 	118 , 	9 , 	9 , 	12 , 	7 , 	7 , 	6 , 	5 , 	5 , 	4 , 	25 , 	11 , 	14 , 	6 , 	2 , 	5 , 	14 , 	873 ," 	1,035 ", 	590 , 	436 , 	141 , 	120 , 	45 , 	75 , 	32 , 	14 , 	3 , 	13 , 	3 , 	20 , 	16 , 	42 , 	133 , 	87 , 	2 , 	3 , 	3 , 	-   , 	-   , 	5 , 	13 ," 	4,150 ",,,,,,,,,,,,,
CV, 	5 , 	8 , 	5 , 	5 , 	43 , 	8 , 	23 , 	78 , 	125 , 	105 , 	46 , 	49 , 	38 , 	44 , 	16 , 	14 , 	14 , 	20 , 	5 , 	3 , 	5 , 	1 , 	3 , 	5 , 	9 , 	532 , 	581 , 	285 , 	243 , 	77 , 	31 , 	21 , 	22 , 	26 , 	3 , 	10 , 	87 , 	2 , 	1 , 	3 , 	7 , 	21 , 	7 , 	50 , 	7 , 	15 , 	-   , 	-   , 	0 , 	1 ," 	2,708 ",,,,,,,,,,,,,
ED, 	15 , 	28 , 	13 , 	12 , 	101 , 	20 , 	74 , 	230 , 	258 , 	168 , 	125 , 	138 , 	104 , 	128 , 	65 , 	33 , 	60 , 	47 , 	7 , 	3 , 	5 , 	1 , 	2 , 	10 , 	25 ," 	2,065 "," 	1,812 ", 	721 , 	604 , 	238 , 	81 , 	71 , 	63 , 	87 , 	16 , 	92 , 	43 , 	1 , 	5 , 	23 , 	11 , 	113 , 	15 , 	36 , 	58 , 	38 , 	-   , 	-   , 	2 , 	3 ," 	7,872 ",,,,,,,,,,,,,
NC, 	3 , 	6 , 	4 , 	6 , 	28 , 	6 , 	49 , 	120 , 	135 , 	8 , 	6 , 	11 , 	9 , 	5 , 	7 , 	2 , 	3 , 	4 , 	35 , 	32 , 	51 , 	11 , 	4 , 	24 , 	5 , 	367 , 	362 , 	211 , 	205 , 	70 , 	38 , 	17 , 	15 , 	25 , 	3 , 	2 , 	1 , 	9 , 	21 , 	8 , 	9 , 	53 , 	6 , 	1 , 	10 , 	6 , 	-   , 	-   , 	12 , 	22 ," 	2,042 ",,,,,,,,,,,,,
WP, 	17 , 	14 , 	5 , 	11 , 	69 , 	15 , 	141 , 	173 , 	218 , 	21 , 	25 , 	32 , 	14 , 	8 , 	19 , 	8 , 	13 , 	10 , 	132 , 	72 , 	125 , 	24 , 	14 , 	37 , 	14 , 	513 , 	509 , 	458 , 	391 , 	144 , 	107 , 	55 , 	51 , 	51 , 	17 , 	2 , 	3 , 	20 , 	22 , 	23 , 	31 , 	115 , 	19 , 	2 , 	16 , 	16 , 	-   , 	-   , 	17 , 	24 ," 	3,834 ",,,,,,,,,,,,,
SS, 	11 , 	32 , 	6 , 	10 , 	32 , 	8 , 	28 , 	68 , 	91 , 	13 , 	15 , 	18 , 	12 , 	11 , 	6 , 	4 , 	4 , 	5 , 	21 , 	28 , 	22 , 	6 , 	7 , 	10 , 	19 , 	646 , 	769 , 	434 , 	371 , 	125 , 	95 , 	30 , 	65 , 	56 , 	17 , 	5 , 	21 , 	7 , 	19 , 	14 , 	26 , 	53 , 	68 , 	7 , 	3 , 	3 , 	-   , 	-   , 	5 , 	20 ," 	3,348 ",,,,,,,,,,,,,
SB, 	20 , 	32 , 	12 , 	9 , 	34 , 	15 , 	29 , 	66 , 	89 , 	16 , 	23 , 	27 , 	13 , 	15 , 	7 , 	6 , 	5 , 	9 , 	23 , 	27 , 	19 , 	7 , 	8 , 	12 , 	23 , 	652 , 	732 , 	449 , 	344 , 	137 , 	118 , 	58 , 	113 , 	118 , 	41 , 	5 , 	12 , 	10 , 	32 , 	29 , 	13 , 	61 , 	51 , 	7 , 	5 , 	2 , 	-   , 	-   , 	9 , 	22 ," 	3,567 ",,,,,,,,,,,,,
SO, 	49 , 	107 , 	56 , 	67 , 	98 , 	48 , 	83 , 	83 , 	99 , 	33 , 	56 , 	32 , 	42 , 	28 , 	19 , 	17 , 	18 , 	23 , 	132 , 	161 , 	138 , 	80 , 	77 , 	96 , 	104 , 	293 , 	317 , 	522 , 	254 , 	120 , 	108 , 	75 , 	108 , 	167 , 	134 , 	16 , 	93 , 	54 , 	127 , 	47 , 	51 , 	50 , 	153 , 	27 , 	15 , 	12 , 	-   , 	-   , 	18 , 	83 ," 	4,590 ",,,,,,,,,,,,,
