Exit stations,Entry stations->,,WEEKDAY,,,May 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
CV, 	5 , 	11 , 	5 , 	9 , 	55 , 	11 , 	33 , 	82 , 	116 , 	120 , 	65 , 	104 , 	50 , 	73 , 	24 , 	19 , 	20 , 	42 , 	7 , 	3 , 	4 , 	1 , 	3 , 	8 , 	10 , 	536 , 	562 , 	310 , 	266 , 	71 , 	38 , 	12 , 	19 , 	32 , 	2 , 	10 , 	114 , 	1 , 	5 , 	7 , 	7 , 	24 , 	4 , 	87 , 	10 , 	-   ," 	2,994 ",,,,,,,,,
ED, 	17 , 	29 , 	24 , 	22 , 	122 , 	22 , 	65 , 	201 , 	231 , 	189 , 	143 , 	305 , 	90 , 	201 , 	74 , 	35 , 	61 , 	123 , 	11 , 	6 , 	9 , 	3 , 	2 , 	13 , 	28 ," 	1,985 "," 	1,662 ", 	740 , 	635 , 	159 , 	85 , 	48 , 	63 , 	108 , 	20 , 	123 , 	50 , 	2 , 	13 , 	29 , 	14 , 	132 , 	24 , 	45 , 	81 , 	-   ," 	8,044 ",,,,,,,,,
NC, 	6 , 	7 , 	4 , 	5 , 	46 , 	8 , 	55 , 	152 , 	174 , 	16 , 	14 , 	31 , 	9 , 	7 , 	12 , 	3 , 	6 , 	11 , 	52 , 	37 , 	51 , 	14 , 	5 , 	20 , 	7 , 	501 , 	501 , 	278 , 	269 , 	81 , 	44 , 	15 , 	27 , 	54 , 	7 , 	1 , 	1 , 	11 , 	51 , 	15 , 	12 , 	53 , 	14 , 	1 , 	14 , 	-   ," 	2,702 ",,,,,,,,,
WP, 	36 , 	37 , 	17 , 	18 , 	109 , 	26 , 	248 , 	247 , 	355 , 	51 , 	62 , 	111 , 	41 , 	24 , 	51 , 	17 , 	19 , 	50 , 	357 , 	143 , 	230 , 	42 , 	25 , 	64 , 	39 , 	743 , 	755 , 	682 , 	648 , 	184 , 	156 , 	52 , 	78 , 	121 , 	31 , 	5 , 	13 , 	53 , 	33 , 	54 , 	51 , 	153 , 	36 , 	6 , 	31 , 	-   ," 	6,303 ",,,,,,,,,
SS, 	20 , 	45 , 	22 , 	20 , 	44 , 	15 , 	42 , 	84 , 	93 , 	15 , 	19 , 	25 , 	23 , 	14 , 	8 , 	5 , 	7 , 	11 , 	29 , 	36 , 	24 , 	9 , 	11 , 	17 , 	23 , 	652 , 	830 , 	536 , 	429 , 	147 , 	128 , 	73 , 	105 , 	99 , 	23 , 	6 , 	31 , 	14 , 	45 , 	17 , 	35 , 	51 , 	72 , 	8 , 	4 , 	-   ," 	3,969 ",,,,,,,,,
SB, 	24 , 	47 , 	11 , 	12 , 	42 , 	19 , 	29 , 	69 , 	94 , 	23 , 	30 , 	40 , 	19 , 	19 , 	13 , 	6 , 	10 , 	14 , 	27 , 	29 , 	23 , 	10 , 	10 , 	15 , 	28 , 	615 , 	773 , 	484 , 	414 , 	146 , 	165 , 	83 , 	153 , 	167 , 	66 , 	4 , 	14 , 	13 , 	48 , 	36 , 	16 , 	70 , 	59 , 	4 , 	4 , 	-   ," 	3,996 ",,,,,,,,,
SO, 	52 , 	119 , 	72 , 	112 , 	229 , 	83 , 	135 , 	114 , 	142 , 	48 , 	76 , 	44 , 	47 , 	31 , 	26 , 	13 , 	28 , 	54 , 	133 , 	195 , 	200 , 	102 , 	88 , 	166 , 	128 , 	511 , 	557 ," 	1,096 ", 	493 , 	217 , 	193 , 	111 , 	124 , 	209 , 	125 , 	24 , 	131 , 	61 , 	159 , 	50 , 	62 , 	66 , 	351 , 	40 , 	22 , 	-   ," 	7,041 ",,,,,,,,,
MB, 	29 , 	68 , 	37 , 	40 , 	172 , 	51 , 	67 , 	138 , 	147 , 	28 , 	29 , 	41 , 	14 , 	8 , 	9 , 	6 , 	6 , 	5 , 	29 , 	24 , 	31 , 	15 , 	9 , 	25 , 	39 ," 	1,038 "," 	1,415 ", 	732 , 	580 , 	229 , 	234 , 	156 , 	199 , 	294 , 	103 , 	4 , 	23 , 	14 , 	34 , 	78 , 	48 , 	336 , 	49 , 	5 , 	9 , 	-   ," 	6,645 ",,,,,,,,,
WD, 	4 , 	15 , 	9 , 	10 , 	59 , 	10 , 	30 , 	95 , 	126 , 	86 , 	63 , 	150 , 	56 , 	98 , 	43 , 	19 , 	26 , 	38 , 	6 , 	2 , 	3 , 	2 , 	2 , 	6 , 	11 , 	857 , 	796 , 	329 , 	295 , 	70 , 	41 , 	19 , 	24 , 	51 , 	4 , 	105 , 	44 , 	1 , 	7 , 	8 , 	5 , 	45 , 	5 , 	18 , 	37 , 	-   ," 	3,732 ",,,,,,,,,
OA, 	10 , 	38 , 	28 , 	40 , 	94 , 	34 , 	40 , 	45 , 	62 , 	24 , 	13 , 	42 , 	10 , 	6 , 	14 , 	6 , 	19 , 	42 , 	29 , 	51 , 	46 , 	24 , 	12 , 	24 , 	9 , 	151 , 	120 , 	103 , 	75 , 	27 , 	22 , 	15 , 	9 , 	15 , 	2 , 	9 , 	73 , 	12 , 	26 , 	4 , 	3 , 	26 , 	8 , 	32 , 	11 , 	-   ," 	1,503 ",,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,
Entries," 	4,501 "," 	8,768 "," 	5,060 "," 	4,722 "," 	12,406 "," 	5,893 "," 	9,403 "," 	13,376 "," 	14,339 "," 	7,361 "," 	8,638 "," 	7,885 "," 	6,094 "," 	6,022 "," 	5,303 "," 	3,193 "," 	5,144 "," 	9,536 "," 	6,372 "," 	7,756 "," 	6,969 "," 	3,679 "," 	3,032 "," 	5,660 "," 	7,669 "," 	41,363 "," 	44,640 "," 	32,692 "," 	25,640 "," 	13,112 "," 	13,642 "," 	7,912 "," 	12,630 "," 	9,889 "," 	4,776 "," 	3,114 "," 	8,217 "," 	2,835 "," 	6,261 "," 	4,064 "," 	3,883 "," 	7,124 "," 	6,987 "," 	3,589 "," 	1,555 ", 	-   ," 	432,707 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
