Exit stations,Entry stations->,,WEEKDAY,,,Mar 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
24, 	169 , 	172 , 	61 , 	87 , 	217 , 	110 , 	195 , 	317 , 	277 , 	134 , 	201 , 	123 , 	91 , 	72 , 	58 , 	44 , 	35 , 	34 , 	74 , 	74 , 	61 , 	36 , 	29 , 	95 , 	208 ," 	1,662 "," 	2,117 "," 	1,848 "," 	1,008 ", 	205 , 	42 , 	242 , 	500 , 	256 , 	122 , 	26 , 	72 , 	32 , 	87 , 	98 , 	114 , 	147 , 	211 , 	30 , 	21 , 	29 , 	-   , 	-   , 	24 , 	51 ," 	11,917 ",,,,,,,,,,,,,
GP, 	45 , 	70 , 	28 , 	31 , 	118 , 	32 , 	72 , 	152 , 	168 , 	52 , 	68 , 	62 , 	43 , 	31 , 	27 , 	13 , 	11 , 	15 , 	38 , 	45 , 	40 , 	14 , 	19 , 	42 , 	57 ," 	1,122 "," 	1,408 "," 	1,153 ", 	688 , 	299 , 	246 , 	22 , 	119 , 	59 , 	46 , 	12 , 	65 , 	15 , 	38 , 	29 , 	60 , 	95 , 	129 , 	23 , 	13 , 	12 , 	-   , 	-   , 	11 , 	32 ," 	6,992 ",,,,,,,,,,,,,
BP, 	64 , 	88 , 	32 , 	34 , 	95 , 	36 , 	76 , 	123 , 	155 , 	66 , 	79 , 	63 , 	60 , 	43 , 	30 , 	20 , 	15 , 	19 , 	46 , 	39 , 	35 , 	9 , 	13 , 	41 , 	81 ," 	1,363 "," 	1,757 "," 	2,233 "," 	1,102 ", 	545 , 	473 , 	117 , 	36 , 	86 , 	64 , 	19 , 	58 , 	11 , 	41 , 	60 , 	103 , 	114 , 	139 , 	22 , 	8 , 	14 , 	-   , 	-   , 	11 , 	41 ," 	9,777 ",,,,,,,,,,,,,
DC, 	102 , 	159 , 	57 , 	37 , 	111 , 	43 , 	83 , 	148 , 	218 , 	109 , 	138 , 	121 , 	105 , 	75 , 	58 , 	49 , 	55 , 	55 , 	103 , 	73 , 	59 , 	25 , 	19 , 	36 , 	73 ," 	1,309 "," 	1,783 "," 	1,376 ", 	793 , 	334 , 	289 , 	64 , 	106 , 	33 , 	42 , 	34 , 	115 , 	45 , 	78 , 	75 , 	123 , 	184 , 	255 , 	44 , 	13 , 	39 , 	-   , 	-   , 	24 , 	71 ," 	9,340 ",,,,,,,,,,,,,
CM, 	15 , 	28 , 	6 , 	6 , 	41 , 	10 , 	23 , 	74 , 	122 , 	11 , 	7 , 	11 , 	7 , 	9 , 	4 , 	4 , 	6 , 	5 , 	26 , 	12 , 	14 , 	7 , 	3 , 	4 , 	11 , 	879 ," 	1,049 ", 	627 , 	477 , 	141 , 	118 , 	42 , 	70 , 	39 , 	13 , 	3 , 	15 , 	3 , 	15 , 	20 , 	40 , 	133 , 	83 , 	3 , 	3 , 	2 , 	-   , 	-   , 	6 , 	14 ," 	4,260 ",,,,,,,,,,,,,
CV, 	5 , 	8 , 	5 , 	6 , 	48 , 	9 , 	23 , 	74 , 	124 , 	111 , 	47 , 	59 , 	38 , 	42 , 	18 , 	11 , 	18 , 	20 , 	5 , 	4 , 	5 , 	1 , 	3 , 	4 , 	10 , 	523 , 	578 , 	299 , 	258 , 	82 , 	32 , 	19 , 	21 , 	39 , 	3 , 	11 , 	91 , 	1 , 	1 , 	4 , 	7 , 	21 , 	6 , 	52 , 	7 , 	17 , 	-   , 	-   , 	0 , 	1 ," 	2,772 ",,,,,,,,,,,,,
ED, 	15 , 	25 , 	12 , 	12 , 	112 , 	19 , 	68 , 	224 , 	263 , 	164 , 	122 , 	141 , 	107 , 	123 , 	63 , 	39 , 	53 , 	44 , 	10 , 	5 , 	5 , 	1 , 	1 , 	11 , 	26 ," 	2,013 "," 	1,848 ", 	760 , 	664 , 	243 , 	84 , 	70 , 	66 , 	123 , 	17 , 	99 , 	48 , 	2 , 	4 , 	26 , 	14 , 	109 , 	16 , 	50 , 	68 , 	40 , 	-   , 	-   , 	2 , 	3 ," 	8,032 ",,,,,,,,,,,,,
NC, 	3 , 	7 , 	4 , 	5 , 	28 , 	5 , 	48 , 	118 , 	137 , 	9 , 	6 , 	12 , 	8 , 	4 , 	11 , 	2 , 	3 , 	4 , 	39 , 	37 , 	44 , 	9 , 	5 , 	22 , 	5 , 	324 , 	352 , 	209 , 	215 , 	68 , 	35 , 	17 , 	14 , 	41 , 	3 , 	1 , 	1 , 	8 , 	19 , 	9 , 	13 , 	46 , 	4 , 	1 , 	10 , 	9 , 	-   , 	-   , 	13 , 	22 ," 	2,005 ",,,,,,,,,,,,,
WP, 	19 , 	14 , 	6 , 	10 , 	69 , 	13 , 	139 , 	173 , 	221 , 	23 , 	27 , 	32 , 	13 , 	8 , 	22 , 	7 , 	9 , 	8 , 	158 , 	79 , 	121 , 	25 , 	15 , 	42 , 	17 , 	507 , 	511 , 	459 , 	405 , 	144 , 	101 , 	53 , 	51 , 	82 , 	15 , 	1 , 	4 , 	20 , 	23 , 	22 , 	29 , 	110 , 	19 , 	1 , 	17 , 	16 , 	-   , 	-   , 	18 , 	24 ," 	3,903 ",,,,,,,,,,,,,
SS, 	12 , 	29 , 	5 , 	9 , 	34 , 	9 , 	25 , 	69 , 	87 , 	14 , 	12 , 	19 , 	13 , 	11 , 	7 , 	6 , 	4 , 	5 , 	21 , 	27 , 	23 , 	6 , 	6 , 	11 , 	21 , 	626 , 	761 , 	455 , 	387 , 	131 , 	104 , 	30 , 	65 , 	71 , 	18 , 	6 , 	23 , 	8 , 	19 , 	16 , 	29 , 	58 , 	64 , 	7 , 	3 , 	5 , 	-   , 	-   , 	6 , 	19 ," 	3,395 ",,,,,,,,,,,,,
