Exit stations,Entry stations->,,TOTAL,,,Sep 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	539 ," 	1,941 "," 	1,679 ", 	958 ," 	6,826 "," 	1,181 "," 	2,026 "," 	1,367 "," 	1,593 ", 	586 ," 	1,323 "," 	1,092 ", 	475 , 	230 , 	543 , 	260 , 	147 , 	180 , 	291 , 	211 , 	287 , 	175 , 	114 , 	304 , 	551 ," 	4,943 "," 	3,425 "," 	6,633 "," 	3,736 "," 	2,794 "," 	2,824 ", 	750 , 	793 ," 	1,439 ", 	330 , 	87 , 	162 , 	93 , 	146 , 	237 , 	305 ," 	1,061 ", 	280 , 	91 , 	228 , 	467 , 	127 , 	242 , 	197 , 	231 ," 	56,500 ",,,,,,,,,,,,,
WP, 	161 , 	185 , 	81 , 	95 , 	617 , 	162 ," 	1,028 "," 	1,075 "," 	1,374 ", 	190 , 	281 , 	493 , 	189 , 	190 , 	385 , 	90 , 	85 , 	120 ," 	2,574 ", 	981 ," 	1,597 ", 	438 , 	215 , 	663 , 	257 ," 	4,648 "," 	3,928 "," 	6,292 "," 	3,971 "," 	1,715 "," 	1,277 ", 	490 , 	643 , 	790 , 	253 , 	35 , 	36 , 	404 , 	544 , 	232 , 	323 ," 	1,811 ", 	151 , 	21 , 	354 , 	130 , 	67 , 	84 , 	366 , 	436 ," 	42,527 ",,,,,,,,,,,,,
SS, 	223 , 	376 , 	116 , 	87 , 	452 , 	82 , 	205 , 	432 , 	654 , 	184 , 	176 , 	201 , 	150 , 	170 , 	76 , 	47 , 	41 , 	23 , 	173 , 	205 , 	231 , 	64 , 	36 , 	119 , 	203 ," 	3,934 "," 	3,830 "," 	4,974 "," 	3,740 "," 	1,882 "," 	1,633 ", 	698 ," 	1,160 "," 	1,442 ", 	360 , 	59 , 	173 , 	89 , 	247 , 	303 , 	525 ," 	1,463 ", 	766 , 	29 , 	39 , 	26 , 	20 , 	11 , 	65 , 	313 ," 	32,507 ",,,,,,,,,,,,,
SB, 	295 , 	463 , 	130 , 	65 , 	462 , 	145 , 	232 , 	452 , 	554 , 	212 , 	249 , 	319 , 	168 , 	182 , 	202 , 	85 , 	38 , 	60 , 	260 , 	223 , 	172 , 	148 , 	72 , 	196 , 	392 ," 	3,351 "," 	3,607 "," 	5,414 "," 	3,884 "," 	2,321 "," 	2,389 ", 	823 ," 	1,589 "," 	2,271 ", 	671 , 	103 , 	131 , 	65 , 	323 , 	516 , 	402 ," 	2,159 ", 	533 , 	63 , 	69 , 	11 , 	13 , 	30 , 	126 , 	283 ," 	36,923 ",,,,,,,,,,,,,
SO, 	997 ," 	1,571 ", 	988 ," 	1,363 "," 	2,267 ", 	933 ," 	1,759 "," 	1,511 "," 	1,861 ", 	548 , 	717 , 	510 , 	541 , 	351 , 	197 , 	181 , 	194 , 	344 ," 	1,883 "," 	2,243 "," 	2,490 "," 	1,517 "," 	1,096 "," 	2,005 "," 	2,166 "," 	6,367 "," 	6,200 "," 	23,183 "," 	7,731 "," 	4,915 "," 	2,733 "," 	1,890 "," 	2,076 "," 	4,189 "," 	2,454 ", 	186 ," 	1,514 ", 	678 ," 	1,796 ", 	967 ," 	1,241 "," 	2,859 "," 	6,436 ", 	481 , 	403 , 	162 , 	164 , 	104 , 	234 ," 	1,652 "," 	110,848 ",,,,,,,,,,,,,
MB, 	305 , 	617 , 	266 , 	292 ," 	1,699 ", 	265 , 	522 , 	695 , 	799 , 	136 , 	156 , 	282 , 	107 , 	105 , 	102 , 	79 , 	46 , 	43 , 	254 , 	142 , 	198 , 	65 , 	67 , 	133 , 	398 ," 	4,825 "," 	4,808 "," 	6,041 "," 	4,386 "," 	2,509 "," 	2,023 "," 	1,163 "," 	2,144 "," 	3,360 "," 	1,009 ", 	38 , 	156 , 	40 , 	113 , 	592 , 	381 ," 	8,628 "," 	1,341 ", 	57 , 	103 , 	8 , 	21 , 	15 , 	63 , 	194 ," 	51,791 ",,,,,,,,,,,,,
WD, 	97 , 	192 , 	91 , 	29 , 	399 , 	67 , 	162 , 	365 , 	406 ," 	1,092 "," 	1,084 ", 	896 , 	820 ," 	1,113 ", 	599 , 	327 , 	317 , 	277 , 	62 , 	60 , 	21 , 	13 , 	4 , 	32 , 	172 ," 	5,761 "," 	3,268 "," 	2,652 "," 	1,970 ", 	651 , 	394 , 	178 , 	258 , 	427 , 	36 , 	949 , 	673 , 	2 , 	10 , 	30 , 	62 , 	722 , 	57 , 	358 , 	479 , 	138 , 	184 , 	251 , 	10 , 	32 ," 	28,249 ",,,,,,,,,,,,,
OA, 	190 , 	521 , 	403 , 	490 ," 	1,513 ", 	400 , 	451 , 	457 , 	619 , 	394 , 	217 , 	709 , 	142 , 	128 , 	133 , 	140 , 	230 , 	241 , 	479 , 	559 , 	489 , 	302 , 	164 , 	218 , 	170 ," 	1,955 "," 	1,288 "," 	1,987 "," 	1,050 ", 	422 , 	332 , 	226 , 	143 , 	185 , 	32 , 	107 , 	907 , 	155 , 	353 , 	38 , 	74 , 	486 , 	54 , 	372 , 	278 , 	139 , 	191 , 	193 , 	47 , 	427 ," 	21,200 ",,,,,,,,,,,,,
WS, 	436 , 	415 , 	176 , 	163 , 	841 , 	208 , 	424 , 	630 , 	664 , 	819 ," 	1,114 "," 	1,173 ", 	899 , 	957 ," 	1,289 "," 	1,090 "," 	1,392 "," 	1,527 ", 	108 , 	129 , 	64 , 	11 , 	10 , 	116 , 	262 ," 	1,909 "," 	1,502 "," 	1,287 ", 	914 , 	358 , 	190 , 	150 , 	152 , 	195 , 	13 , 	157 , 	378 , 	31 , 	139 , 	36 , 	6 , 	235 , 	8 , 	102 , 	136 , 	501 ," 	1,627 "," 	2,065 ", 	52 , 	142 ," 	27,202 ",,,,,,,,,,,,,
ML, 	104 , 	337 , 	136 , 	184 ," 	1,503 ", 	250 , 	387 , 	657 , 	595 , 	480 , 	575 , 	705 , 	459 , 	483 ," 	1,345 ", 	528 ," 	1,232 "," 	1,820 ", 	154 , 	95 , 	69 , 	45 , 	54 , 	114 , 	85 ," 	2,449 "," 	1,879 "," 	1,957 "," 	1,215 ", 	317 , 	206 , 	111 , 	189 , 	300 , 	17 , 	98 , 	411 , 	22 , 	64 , 	17 , 	15 , 	217 , 	17 , 	142 , 	229 ," 	1,639 ", 	594 , 	564 , 	27 , 	111 ," 	25,203 ",,,,,,,,,,,,,
BE, 	238 , 	482 , 	276 , 	232 ," 	2,249 ", 	363 , 	615 , 	786 , 	890 , 	731 , 	838 ," 	1,382 ", 	785 , 	774 ," 	1,401 ", 	899 ," 	1,599 "," 	2,147 ", 	178 , 	187 , 	148 , 	68 , 	45 , 	106 , 	194 ," 	3,023 "," 	2,021 "," 	2,256 "," 	1,476 ", 	589 , 	312 , 	151 , 	226 , 	488 , 	35 , 	135 , 	493 , 	22 , 	100 , 	10 , 	31 , 	207 , 	16 , 	257 , 	225 ," 	2,315 ", 	519 , 	705 , 	39 , 	127 ," 	33,391 ",,,,,,,,,,,,,
PC, 	193 , 	86 , 	53 , 	20 , 	295 , 	41 , 	504 , 	295 , 	573 , 	67 , 	166 , 	214 , 	77 , 	63 , 	132 , 	22 , 	47 , 	22 ," 	1,445 ", 	427 , 	654 , 	153 , 	103 , 	267 , 	174 , 	854 , 	845 ," 	1,382 "," 	1,021 ", 	477 , 	299 , 	147 , 	206 , 	334 , 	55 , 	12 , 	65 , 	320 , 	307 , 	88 , 	105 , 	276 , 	65 , 	18 , 	73 , 	53 , 	33 , 	51 , 	90 , 	657 ," 	13,926 ",,,,,,,,,,,,,
AN, 	218 , 	210 , 	80 , 	96 , 	598 , 	134 ," 	1,217 "," 	1,076 "," 	1,614 ", 	303 , 	389 , 	582 , 	305 , 	116 , 	533 , 	103 , 	115 , 	195 ," 	1,889 ", 	802 ," 	1,343 ", 	269 , 	161 , 	619 , 	264 ," 	5,234 "," 	4,132 "," 	4,931 "," 	3,884 "," 	1,293 "," 	1,039 ", 	535 , 	675 ," 	1,073 ", 	308 , 	65 , 	60 , 	399 , 	556 , 	299 , 	273 ," 	1,675 ", 	180 , 	22 , 	524 , 	138 , 	124 , 	131 , 	599 , 	594 ," 	41,974 ",,,,,,,,,,,,,
Entries," 	58,644 "," 	87,478 "," 	50,534 "," 	43,601 "," 	135,877 "," 	48,427 "," 	92,169 "," 	103,386 "," 	113,302 "," 	72,113 "," 	98,728 "," 	77,333 "," 	73,322 "," 	62,378 "," 	55,528 "," 	36,080 "," 	38,532 "," 	43,011 "," 	57,980 "," 	53,980 "," 	57,816 "," 	34,158 "," 	27,941 "," 	54,128 "," 	89,484 "," 	339,088 "," 	265,895 "," 	344,047 "," 	233,293 "," 	142,884 "," 	135,297 "," 	74,703 "," 	110,362 "," 	108,718 "," 	38,408 "," 	28,073 "," 	67,690 "," 	15,172 "," 	42,349 "," 	31,644 "," 	34,415 "," 	137,839 "," 	52,966 "," 	26,979 "," 	25,512 "," 	29,286 "," 	25,798 "," 	32,351 "," 	14,681 "," 	43,748 "," 	4,067,128 ",,,,,,,,,,,,,
