Exit stations,Entry stations->,,SUNDAY,,,Jan 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
GP, 	22 , 	20 , 	13 , 	25 , 	60 , 	19 , 	45 , 	25 , 	32 , 	26 , 	30 , 	29 , 	12 , 	12 , 	12 , 	4 , 	6 , 	15 , 	17 , 	13 , 	18 , 	8 , 	10 , 	33 , 	23 , 	151 , 	160 , 	824 , 	264 , 	189 , 	168 , 	23 , 	45 , 	38 , 	31 , 	8 , 	20 , 	5 , 	25 , 	21 , 	58 , 	77 , 	50 , 	6 ," 	2,686 ",,,,,,,,,,,
BP, 	25 , 	44 , 	13 , 	25 , 	40 , 	20 , 	33 , 	18 , 	46 , 	36 , 	51 , 	35 , 	22 , 	31 , 	13 , 	12 , 	13 , 	26 , 	32 , 	27 , 	27 , 	9 , 	11 , 	16 , 	35 , 	272 , 	249 ," 	1,722 ", 	379 , 	282 , 	265 , 	44 , 	28 , 	52 , 	68 , 	6 , 	49 , 	8 , 	27 , 	32 , 	110 , 	81 , 	73 , 	12 ," 	4,415 ",,,,,,,,,,,
DC, 	21 , 	30 , 	15 , 	11 , 	62 , 	14 , 	25 , 	17 , 	28 , 	31 , 	37 , 	38 , 	19 , 	21 , 	13 , 	11 , 	19 , 	29 , 	21 , 	21 , 	16 , 	9 , 	7 , 	18 , 	23 , 	122 , 	129 , 	787 , 	205 , 	147 , 	150 , 	48 , 	75 , 	10 , 	26 , 	12 , 	40 , 	6 , 	31 , 	29 , 	94 , 	168 , 	88 , 	10 ," 	2,729 ",,,,,,,,,,,
CM, 	8 , 	15 , 	3 , 	6 , 	11 , 	4 , 	8 , 	5 , 	14 , 	5 , 	8 , 	7 , 	5 , 	9 , 	3 , 	2 , 	4 , 	10 , 	7 , 	7 , 	8 , 	2 , 	1 , 	4 , 	2 , 	48 , 	58 , 	280 , 	111 , 	50 , 	83 , 	33 , 	69 , 	34 , 	5 , 	1 , 	9 , 	1 , 	15 , 	7 , 	50 , 	60 , 	26 , 	2 ," 	1,096 ",,,,,,,,,,,
CV, 	6 , 	10 , 	3 , 	3 , 	18 , 	5 , 	9 , 	6 , 	10 , 	36 , 	33 , 	24 , 	26 , 	48 , 	14 , 	12 , 	6 , 	18 , 	5 , 	2 , 	4 , 	2 , 	0 , 	3 , 	6 , 	61 , 	44 , 	138 , 	63 , 	18 , 	14 , 	5 , 	10 , 	11 , 	4 , 	5 , 	45 , 	0 , 	4 , 	1 , 	2 , 	12 , 	2 , 	52 , 	795 ,,,,,,,,,,,
ED, 	9 , 	13 , 	6 , 	11 , 	43 , 	15 , 	11 , 	13 , 	18 , 	57 , 	50 , 	86 , 	23 , 	71 , 	19 , 	17 , 	23 , 	35 , 	4 , 	3 , 	4 , 	2 , 	3 , 	4 , 	7 , 	269 , 	133 , 	490 , 	141 , 	38 , 	30 , 	23 , 	52 , 	34 , 	8 , 	50 , 	10 , 	1 , 	3 , 	7 , 	5 , 	76 , 	10 , 	13 ," 	1,933 ",,,,,,,,,,,
NC, 	3 , 	2 , 	3 , 	2 , 	10 , 	2 , 	9 , 	7 , 	7 , 	1 , 	6 , 	19 , 	2 , 	3 , 	3 , 	2 , 	3 , 	5 , 	14 , 	4 , 	17 , 	6 , 	1 , 	9 , 	3 , 	32 , 	31 , 	68 , 	29 , 	9 , 	4 , 	5 , 	11 , 	7 , 	1 , 	0 , 	3 , 	2 , 	16 , 	1 , 	2 , 	20 , 	3 , 	0 , 	382 ,,,,,,,,,,,
WP, 	29 , 	33 , 	10 , 	12 , 	21 , 	21 , 	79 , 	34 , 	50 , 	9 , 	44 , 	82 , 	18 , 	19 , 	18 , 	10 , 	14 , 	38 , 	147 , 	48 , 	75 , 	18 , 	9 , 	24 , 	18 , 	108 , 	78 , 	239 , 	85 , 	38 , 	47 , 	33 , 	37 , 	29 , 	11 , 	4 , 	9 , 	23 , 	15 , 	14 , 	14 , 	64 , 	20 , 	4 ," 	1,744 ",,,,,,,,,,,
SS, 	7 , 	7 , 	3 , 	3 , 	8 , 	5 , 	4 , 	5 , 	5 , 	5 , 	8 , 	8 , 	5 , 	5 , 	4 , 	3 , 	5 , 	6 , 	13 , 	5 , 	6 , 	2 , 	3 , 	5 , 	4 , 	35 , 	38 , 	193 , 	61 , 	34 , 	40 , 	22 , 	38 , 	31 , 	6 , 	3 , 	8 , 	2 , 	10 , 	7 , 	34 , 	27 , 	14 , 	2 , 	735 ,,,,,,,,,,,
SB, 	8 , 	10 , 	7 , 	4 , 	9 , 	4 , 	9 , 	5 , 	12 , 	8 , 	7 , 	10 , 	5 , 	9 , 	5 , 	5 , 	3 , 	6 , 	10 , 	6 , 	10 , 	1 , 	1 , 	5 , 	8 , 	46 , 	44 , 	210 , 	112 , 	72 , 	116 , 	60 , 	117 , 	102 , 	43 , 	3 , 	3 , 	3 , 	9 , 	30 , 	5 , 	50 , 	28 , 	2 ," 	1,215 ",,,,,,,,,,,
SO, 	17 , 	32 , 	21 , 	41 , 	96 , 	23 , 	53 , 	27 , 	46 , 	16 , 	22 , 	34 , 	10 , 	6 , 	6 , 	2 , 	7 , 	24 , 	40 , 	55 , 	81 , 	45 , 	39 , 	51 , 	31 , 	265 , 	236 , 	983 , 	310 , 	136 , 	120 , 	44 , 	73 , 	80 , 	37 , 	6 , 	56 , 	14 , 	47 , 	12 , 	28 , 	26 , 	142 , 	12 ," 	3,445 ",,,,,,,,,,,
