Exit stations,Entry stations->,,SATURDAY,,,Nov 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
NC, 	2 , 	2 , 	1 , 	2 , 	11 , 	1 , 	5 , 	7 , 	7 , 	2 , 	5 , 	4 , 	2 , 	1 , 	1 , 	1 , 	0 , 	2 , 	23 , 	7 , 	20 , 	5 , 	1 , 	6 , 	3 , 	54 , 	40 , 	80 , 	29 , 	13 , 	11 , 	7 , 	4 , 	8 , 	4 , 	0 , 	1 , 	4 , 	10 , 	2 , 	3 , 	35 , 	2 , 	1 , 	8 , 	2 , 	-   , 	-   , 	4 , 	6 , 	448 ,,,,,,,,,,
WP, 	10 , 	10 , 	3 , 	4 , 	23 , 	4 , 	29 , 	17 , 	24 , 	3 , 	25 , 	20 , 	8 , 	6 , 	5 , 	7 , 	4 , 	4 , 	79 , 	34 , 	52 , 	14 , 	6 , 	14 , 	9 , 	78 , 	62 , 	186 , 	55 , 	35 , 	43 , 	12 , 	19 , 	20 , 	10 , 	1 , 	3 , 	11 , 	16 , 	5 , 	5 , 	74 , 	6 , 	2 , 	12 , 	5 , 	-   , 	-   , 	5 , 	11 ," 	1,091 ",,,,,,,,,,
SS, 	6 , 	9 , 	4 , 	4 , 	18 , 	2 , 	7 , 	9 , 	12 , 	3 , 	9 , 	5 , 	4 , 	5 , 	2 , 	3 , 	1 , 	2 , 	8 , 	6 , 	5 , 	1 , 	4 , 	3 , 	8 , 	62 , 	57 , 	238 , 	87 , 	57 , 	66 , 	16 , 	22 , 	21 , 	7 , 	3 , 	4 , 	3 , 	5 , 	9 , 	22 , 	49 , 	14 , 	1 , 	2 , 	2 , 	-   , 	-   , 	2 , 	9 , 	897 ,,,,,,,,,,
SB, 	11 , 	14 , 	4 , 	3 , 	26 , 	4 , 	10 , 	14 , 	18 , 	9 , 	15 , 	11 , 	4 , 	5 , 	4 , 	7 , 	3 , 	4 , 	12 , 	7 , 	6 , 	5 , 	4 , 	5 , 	11 , 	78 , 	68 , 	251 , 	108 , 	85 , 	93 , 	36 , 	76 , 	82 , 	28 , 	3 , 	7 , 	3 , 	11 , 	22 , 	12 , 	51 , 	22 , 	3 , 	2 , 	1 , 	-   , 	-   , 	3 , 	9 ," 	1,269 ",,,,,,,,,,
SO, 	42 , 	74 , 	39 , 	57 , 	101 , 	38 , 	75 , 	50 , 	67 , 	20 , 	36 , 	28 , 	24 , 	17 , 	14 , 	8 , 	12 , 	12 , 	72 , 	90 , 	96 , 	56 , 	55 , 	78 , 	72 , 	149 , 	159 , 	619 , 	245 , 	115 , 	82 , 	60 , 	92 , 	161 , 	109 , 	8 , 	65 , 	27 , 	71 , 	39 , 	35 , 	46 , 	167 , 	19 , 	12 , 	6 , 	-   , 	-   , 	10 , 	53 ," 	3,581 ",,,,,,,,,,
MB, 	10 , 	19 , 	13 , 	15 , 	148 , 	12 , 	17 , 	28 , 	35 , 	7 , 	11 , 	5 , 	8 , 	5 , 	4 , 	2 , 	2 , 	2 , 	7 , 	10 , 	12 , 	13 , 	8 , 	36 , 	20 , 	125 , 	117 , 	370 , 	221 , 	129 , 	111 , 	51 , 	61 , 	79 , 	26 , 	1 , 	7 , 	3 , 	3 , 	16 , 	21 , 	187 , 	26 , 	3 , 	3 , 	1 , 	-   , 	-   , 	2 , 	5 ," 	2,018 ",,,,,,,,,,
WD, 	4 , 	5 , 	7 , 	3 , 	42 , 	4 , 	8 , 	12 , 	15 , 	36 , 	53 , 	27 , 	38 , 	54 , 	27 , 	13 , 	13 , 	11 , 	3 , 	1 , 	1 , 	0 , 	0 , 	3 , 	10 , 	141 , 	94 , 	204 , 	77 , 	26 , 	15 , 	7 , 	11 , 	20 , 	1 , 	61 , 	25 , 	2 , 	2 , 	1 , 	4 , 	31 , 	4 , 	9 , 	18 , 	11 , 	-   , 	-   , 	0 , 	3 ," 	1,158 ",,,,,,,,,,
OA, 	6 , 	17 , 	17 , 	22 , 	40 , 	15 , 	9 , 	8 , 	14 , 	12 , 	7 , 	10 , 	3 , 	3 , 	4 , 	4 , 	10 , 	10 , 	13 , 	16 , 	16 , 	9 , 	9 , 	9 , 	3 , 	39 , 	30 , 	52 , 	26 , 	11 , 	16 , 	9 , 	5 , 	7 , 	0 , 	4 , 	26 , 	5 , 	9 , 	1 , 	1 , 	13 , 	3 , 	11 , 	3 , 	5 , 	-   , 	-   , 	0 , 	8 , 	568 ,,,,,,,,,,
WS, 	15 , 	29 , 	11 , 	16 , 	218 , 	25 , 	33 , 	43 , 	41 , 	36 , 	56 , 	30 , 	27 , 	40 , 	52 , 	30 , 	40 , 	44 , 	9 , 	11 , 	8 , 	3 , 	3 , 	11 , 	10 , 	133 , 	85 , 	191 , 	85 , 	37 , 	30 , 	8 , 	12 , 	19 , 	3 , 	8 , 	19 , 	2 , 	5 , 	1 , 	1 , 	12 , 	1 , 	9 , 	8 , 	16 , 	-   , 	-   , 	3 , 	6 ," 	1,534 ",,,,,,,,,,
ML, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,
