Exit stations,Entry stations->,,SUNDAY,,,Oct 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
GP, 	20 , 	29 , 	15 , 	20 , 	68 , 	21 , 	42 , 	34 , 	35 , 	27 , 	32 , 	74 , 	14 , 	11 , 	8 , 	5 , 	6 , 	11 , 	15 , 	14 , 	19 , 	10 , 	9 , 	32 , 	34 , 	197 , 	171 , 	700 , 	222 , 	163 , 	126 , 	21 , 	32 , 	25 , 	19 , 	5 , 	19 , 	5 , 	24 , 	11 , 	47 , 	109 , 	45 , 	4 , 	22 , 	-   ," 	2,570 ",,,,,,,,,,,
BP, 	25 , 	36 , 	7 , 	10 , 	39 , 	15 , 	28 , 	27 , 	33 , 	23 , 	36 , 	61 , 	21 , 	18 , 	13 , 	6 , 	13 , 	21 , 	17 , 	8 , 	15 , 	9 , 	4 , 	15 , 	34 , 	294 , 	269 ," 	1,230 ", 	347 , 	235 , 	195 , 	40 , 	33 , 	26 , 	32 , 	8 , 	30 , 	4 , 	25 , 	18 , 	66 , 	110 , 	56 , 	6 , 	11 , 	-   ," 	3,570 ",,,,,,,,,,,
DC, 	25 , 	30 , 	13 , 	12 , 	67 , 	13 , 	28 , 	29 , 	28 , 	32 , 	39 , 	152 , 	25 , 	21 , 	11 , 	5 , 	13 , 	29 , 	20 , 	14 , 	27 , 	6 , 	10 , 	19 , 	25 , 	281 , 	208 , 	882 , 	266 , 	178 , 	135 , 	28 , 	34 , 	23 , 	20 , 	15 , 	49 , 	11 , 	39 , 	23 , 	81 , 	217 , 	101 , 	19 , 	20 , 	-   ," 	3,327 ",,,,,,,,,,,
CM, 	5 , 	13 , 	5 , 	3 , 	15 , 	5 , 	6 , 	7 , 	15 , 	6 , 	7 , 	15 , 	4 , 	4 , 	3 , 	1 , 	2 , 	4 , 	10 , 	5 , 	11 , 	1 , 	2 , 	6 , 	7 , 	75 , 	60 , 	250 , 	112 , 	56 , 	52 , 	19 , 	34 , 	18 , 	6 , 	2 , 	5 , 	2 , 	17 , 	6 , 	33 , 	110 , 	31 , 	3 , 	3 , 	-   ," 	1,059 ",,,,,,,,,,,
CV, 	2 , 	6 , 	2 , 	2 , 	19 , 	4 , 	7 , 	6 , 	4 , 	48 , 	40 , 	214 , 	24 , 	39 , 	12 , 	6 , 	8 , 	15 , 	3 , 	1 , 	2 , 	1 , 	1 , 	3 , 	8 , 	132 , 	76 , 	150 , 	59 , 	24 , 	15 , 	5 , 	8 , 	16 , 	3 , 	5 , 	45 , 	-   , 	2 , 	1 , 	5 , 	22 , 	1 , 	55 , 	13 , 	-   ," 	1,112 ",,,,,,,,,,,
ED, 	7 , 	10 , 	5 , 	6 , 	48 , 	6 , 	14 , 	16 , 	13 , 	63 , 	58 , 	992 , 	24 , 	76 , 	20 , 	9 , 	21 , 	60 , 	6 , 	4 , 	3 , 	2 , 	2 , 	5 , 	16 , 	568 , 	192 , 	411 , 	216 , 	49 , 	30 , 	20 , 	30 , 	36 , 	4 , 	43 , 	36 , 	1 , 	6 , 	3 , 	4 , 	132 , 	8 , 	22 , 	75 , 	-   ," 	3,372 ",,,,,,,,,,,
NC, 	2 , 	3 , 	2 , 	2 , 	10 , 	1 , 	8 , 	8 , 	5 , 	2 , 	6 , 	64 , 	3 , 	1 , 	2 , 	0 , 	1 , 	7 , 	21 , 	4 , 	13 , 	2 , 	2 , 	11 , 	4 , 	84 , 	45 , 	87 , 	40 , 	11 , 	9 , 	5 , 	3 , 	10 , 	2 , 	1 , 	1 , 	5 , 	18 , 	3 , 	1 , 	45 , 	3 , 	1 , 	13 , 	-   , 	569 ,,,,,,,,,,,
WP, 	24 , 	23 , 	6 , 	11 , 	29 , 	12 , 	75 , 	36 , 	47 , 	8 , 	40 , 	161 , 	16 , 	21 , 	18 , 	9 , 	12 , 	26 , 	134 , 	59 , 	91 , 	19 , 	12 , 	31 , 	21 , 	219 , 	117 , 	290 , 	120 , 	43 , 	45 , 	24 , 	31 , 	38 , 	13 , 	5 , 	6 , 	19 , 	32 , 	12 , 	14 , 	131 , 	14 , 	4 , 	35 , 	-   ," 	2,152 ",,,,,,,,,,,
SS, 	6 , 	12 , 	2 , 	4 , 	12 , 	1 , 	8 , 	7 , 	8 , 	2 , 	9 , 	16 , 	3 , 	4 , 	2 , 	1 , 	2 , 	1 , 	4 , 	4 , 	6 , 	3 , 	1 , 	4 , 	5 , 	85 , 	62 , 	194 , 	84 , 	41 , 	32 , 	12 , 	19 , 	24 , 	4 , 	2 , 	6 , 	4 , 	10 , 	6 , 	19 , 	48 , 	9 , 	2 , 	4 , 	-   , 	794 ,,,,,,,,,,,
SB, 	13 , 	16 , 	4 , 	3 , 	14 , 	5 , 	10 , 	6 , 	15 , 	8 , 	10 , 	33 , 	6 , 	10 , 	7 , 	4 , 	1 , 	9 , 	9 , 	6 , 	10 , 	2 , 	2 , 	5 , 	11 , 	114 , 	67 , 	221 , 	116 , 	74 , 	82 , 	40 , 	75 , 	88 , 	34 , 	3 , 	5 , 	3 , 	16 , 	21 , 	16 , 	63 , 	20 , 	2 , 	4 , 	-   ," 	1,283 ",,,,,,,,,,,
