Exit stations,Entry stations->,,WEEKDAY,,,Oct 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
NC, 	5 , 	8 , 	3 , 	5 , 	50 , 	9 , 	64 , 	156 , 	173 , 	13 , 	11 , 	15 , 	11 , 	7 , 	14 , 	2 , 	4 , 	12 , 	51 , 	33 , 	63 , 	12 , 	7 , 	24 , 	7 , 	506 , 	504 , 	283 , 	303 , 	80 , 	48 , 	18 , 	24 , 	74 , 	9 , 	3 , 	2 , 	11 , 	54 , 	11 , 	15 , 	62 , 	12 , 	1 , 	14 , 	-   ," 	2,795 ",,,,,,,,,
WP, 	40 , 	41 , 	16 , 	16 , 	141 , 	32 , 	287 , 	277 , 	351 , 	53 , 	56 , 	106 , 	45 , 	23 , 	61 , 	17 , 	24 , 	48 , 	356 , 	155 , 	253 , 	51 , 	32 , 	70 , 	36 , 	782 , 	787 , 	715 , 	705 , 	201 , 	172 , 	83 , 	95 , 	161 , 	33 , 	6 , 	12 , 	59 , 	38 , 	49 , 	58 , 	172 , 	36 , 	6 , 	36 , 	-   ," 	6,791 ",,,,,,,,,
SS, 	14 , 	42 , 	9 , 	10 , 	49 , 	10 , 	35 , 	69 , 	82 , 	11 , 	16 , 	20 , 	19 , 	17 , 	10 , 	6 , 	9 , 	7 , 	24 , 	21 , 	20 , 	7 , 	7 , 	10 , 	15 , 	648 , 	820 , 	527 , 	411 , 	133 , 	105 , 	46 , 	88 , 	102 , 	20 , 	4 , 	22 , 	9 , 	45 , 	22 , 	32 , 	53 , 	75 , 	6 , 	3 , 	-   ," 	3,710 ",,,,,,,,,
SB, 	27 , 	57 , 	11 , 	10 , 	51 , 	15 , 	32 , 	69 , 	89 , 	22 , 	27 , 	36 , 	20 , 	20 , 	15 , 	7 , 	5 , 	10 , 	27 , 	27 , 	25 , 	11 , 	11 , 	18 , 	33 , 	645 , 	801 , 	494 , 	415 , 	137 , 	149 , 	73 , 	150 , 	166 , 	57 , 	6 , 	15 , 	15 , 	52 , 	38 , 	20 , 	72 , 	57 , 	7 , 	4 , 	-   ," 	4,048 ",,,,,,,,,
SO, 	58 , 	122 , 	72 , 	103 , 	167 , 	73 , 	136 , 	102 , 	134 , 	51 , 	73 , 	42 , 	47 , 	34 , 	26 , 	13 , 	25 , 	49 , 	129 , 	186 , 	201 , 	102 , 	84 , 	156 , 	117 , 	504 , 	515 ," 	1,047 ", 	463 , 	195 , 	163 , 	104 , 	120 , 	207 , 	132 , 	24 , 	135 , 	66 , 	177 , 	52 , 	66 , 	62 , 	305 , 	43 , 	21 , 	-   ," 	6,702 ",,,,,,,,,
MB, 	29 , 	77 , 	32 , 	44 , 	194 , 	57 , 	71 , 	153 , 	152 , 	24 , 	27 , 	26 , 	13 , 	8 , 	8 , 	5 , 	4 , 	9 , 	30 , 	22 , 	26 , 	16 , 	10 , 	25 , 	39 ," 	1,070 "," 	1,437 ", 	766 , 	625 , 	228 , 	222 , 	147 , 	196 , 	326 , 	112 , 	4 , 	20 , 	13 , 	36 , 	74 , 	42 , 	305 , 	55 , 	5 , 	10 , 	-   ," 	6,793 ",,,,,,,,,
WD, 	6 , 	16 , 	11 , 	9 , 	73 , 	11 , 	27 , 	106 , 	118 , 	91 , 	65 , 	67 , 	53 , 	108 , 	40 , 	18 , 	26 , 	43 , 	6 , 	2 , 	4 , 	1 , 	1 , 	7 , 	10 , 	873 , 	772 , 	355 , 	282 , 	70 , 	38 , 	25 , 	24 , 	69 , 	4 , 	79 , 	66 , 	1 , 	7 , 	7 , 	7 , 	50 , 	5 , 	16 , 	40 , 	-   ," 	3,709 ",,,,,,,,,
OA, 	11 , 	41 , 	34 , 	43 , 	92 , 	30 , 	38 , 	47 , 	60 , 	22 , 	12 , 	39 , 	8 , 	7 , 	14 , 	7 , 	21 , 	40 , 	34 , 	53 , 	46 , 	25 , 	17 , 	25 , 	9 , 	175 , 	143 , 	120 , 	87 , 	28 , 	24 , 	16 , 	8 , 	16 , 	2 , 	12 , 	80 , 	15 , 	33 , 	3 , 	5 , 	31 , 	6 , 	37 , 	9 , 	-   ," 	1,621 ",,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,
Entries," 	4,611 "," 	8,992 "," 	5,207 "," 	4,739 "," 	13,593 "," 	5,823 "," 	9,699 "," 	14,057 "," 	14,011 "," 	7,407 "," 	8,700 "," 	6,489 "," 	6,349 "," 	6,142 "," 	5,510 "," 	3,226 "," 	5,192 "," 	9,676 "," 	6,513 "," 	7,934 "," 	7,100 "," 	3,681 "," 	3,085 "," 	5,762 "," 	7,864 "," 	42,153 "," 	44,946 "," 	32,844 "," 	26,562 "," 	13,009 "," 	13,532 "," 	8,208 "," 	12,514 "," 	10,578 "," 	4,693 "," 	3,032 "," 	8,256 "," 	2,923 "," 	6,750 "," 	3,827 "," 	3,958 "," 	7,036 "," 	7,135 "," 	3,546 "," 	1,638 ", 	-   ," 	438,502 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
