Exit stations,Entry stations->,,SUNDAY,,,Aug 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
DC, 	23 , 	29 , 	7 , 	12 , 	68 , 	12 , 	36 , 	19 , 	37 , 	30 , 	30 , 	48 , 	23 , 	21 , 	12 , 	9 , 	16 , 	33 , 	31 , 	22 , 	29 , 	12 , 	8 , 	18 , 	26 , 	201 , 	183 , 	941 , 	276 , 	171 , 	195 , 	41 , 	74 , 	19 , 	38 , 	13 , 	44 , 	8 , 	33 , 	34 , 	121 , 	181 , 	129 , 	10 ," 	3,319 ",,,,,,,,,,,
CM, 	6 , 	18 , 	4 , 	3 , 	11 , 	4 , 	9 , 	7 , 	13 , 	5 , 	8 , 	7 , 	5 , 	7 , 	3 , 	5 , 	6 , 	5 , 	7 , 	5 , 	9 , 	2 , 	2 , 	5 , 	5 , 	72 , 	79 , 	378 , 	129 , 	65 , 	75 , 	32 , 	68 , 	41 , 	7 , 	2 , 	5 , 	3 , 	21 , 	8 , 	55 , 	80 , 	30 , 	-   ," 	1,303 ",,,,,,,,,,,
CV, 	5 , 	7 , 	4 , 	3 , 	15 , 	5 , 	11 , 	6 , 	16 , 	49 , 	38 , 	91 , 	30 , 	52 , 	23 , 	10 , 	12 , 	17 , 	8 , 	3 , 	3 , 	3 , 	1 , 	4 , 	9 , 	116 , 	68 , 	156 , 	82 , 	25 , 	14 , 	7 , 	8 , 	13 , 	5 , 	5 , 	48 , 	2 , 	5 , 	3 , 	4 , 	23 , 	5 , 	68 ," 	1,073 ",,,,,,,,,,,
ED, 	7 , 	15 , 	7 , 	10 , 	40 , 	12 , 	20 , 	15 , 	29 , 	50 , 	59 , 	332 , 	29 , 	72 , 	24 , 	17 , 	20 , 	40 , 	9 , 	4 , 	6 , 	1 , 	2 , 	8 , 	8 , 	623 , 	219 , 	558 , 	231 , 	55 , 	34 , 	32 , 	32 , 	36 , 	3 , 	51 , 	27 , 	2 , 	8 , 	4 , 	6 , 	131 , 	13 , 	21 ," 	2,919 ",,,,,,,,,,,
NC, 	2 , 	2 , 	1 , 	2 , 	12 , 	2 , 	12 , 	7 , 	12 , 	3 , 	8 , 	37 , 	6 , 	2 , 	3 , 	1 , 	1 , 	5 , 	19 , 	8 , 	19 , 	5 , 	2 , 	10 , 	4 , 	88 , 	42 , 	101 , 	44 , 	10 , 	6 , 	6 , 	4 , 	11 , 	3 , 	1 , 	2 , 	3 , 	25 , 	4 , 	1 , 	26 , 	4 , 	1 , 	563 ,,,,,,,,,,,
WP, 	27 , 	30 , 	10 , 	11 , 	28 , 	21 , 	93 , 	40 , 	66 , 	10 , 	53 , 	116 , 	25 , 	27 , 	23 , 	12 , 	13 , 	35 , 	160 , 	49 , 	92 , 	14 , 	12 , 	31 , 	16 , 	198 , 	92 , 	276 , 	121 , 	37 , 	43 , 	23 , 	39 , 	34 , 	17 , 	6 , 	10 , 	23 , 	12 , 	16 , 	17 , 	81 , 	17 , 	4 ," 	2,073 ",,,,,,,,,,,
SS, 	6 , 	9 , 	2 , 	2 , 	10 , 	4 , 	5 , 	3 , 	7 , 	5 , 	6 , 	11 , 	6 , 	2 , 	4 , 	3 , 	3 , 	5 , 	11 , 	3 , 	7 , 	3 , 	2 , 	3 , 	4 , 	53 , 	52 , 	231 , 	84 , 	47 , 	44 , 	23 , 	32 , 	33 , 	10 , 	2 , 	6 , 	5 , 	15 , 	7 , 	33 , 	40 , 	19 , 	2 , 	858 ,,,,,,,,,,,
SB, 	10 , 	15 , 	3 , 	3 , 	13 , 	5 , 	10 , 	10 , 	19 , 	6 , 	11 , 	19 , 	5 , 	8 , 	7 , 	2 , 	5 , 	6 , 	14 , 	6 , 	12 , 	4 , 	2 , 	6 , 	11 , 	79 , 	53 , 	304 , 	135 , 	92 , 	130 , 	68 , 	133 , 	118 , 	58 , 	5 , 	8 , 	5 , 	13 , 	35 , 	6 , 	67 , 	34 , 	1 ," 	1,552 ",,,,,,,,,,,
SO, 	24 , 	39 , 	35 , 	56 , 	148 , 	33 , 	62 , 	29 , 	75 , 	17 , 	26 , 	46 , 	15 , 	10 , 	5 , 	2 , 	13 , 	25 , 	58 , 	87 , 	103 , 	56 , 	39 , 	81 , 	42 , 	399 , 	410 ," 	1,526 ", 	482 , 	171 , 	144 , 	66 , 	67 , 	118 , 	55 , 	9 , 	68 , 	22 , 	58 , 	20 , 	36 , 	50 , 	217 , 	18 ," 	5,057 ",,,,,,,,,,,
MB, 	13 , 	16 , 	13 , 	12 , 	93 , 	18 , 	20 , 	14 , 	37 , 	11 , 	17 , 	31 , 	10 , 	8 , 	6 , 	5 , 	5 , 	6 , 	15 , 	16 , 	23 , 	10 , 	6 , 	22 , 	11 , 	149 , 	112 , 	565 , 	317 , 	136 , 	123 , 	62 , 	78 , 	113 , 	27 , 	3 , 	13 , 	7 , 	26 , 	18 , 	38 , 	419 , 	13 , 	4 ," 	2,658 ",,,,,,,,,,,
WD, 	3 , 	4 , 	4 , 	4 , 	17 , 	6 , 	8 , 	6 , 	7 , 	26 , 	38 , 	116 , 	26 , 	66 , 	24 , 	13 , 	12 , 	18 , 	4 , 	2 , 	3 , 	1 , 	1 , 	2 , 	4 , 	147 , 	58 , 	184 , 	68 , 	21 , 	11 , 	8 , 	9 , 	11 , 	1 , 	70 , 	15 , 	1 , 	4 , 	2 , 	2 , 	40 , 	4 , 	7 ," 	1,072 ",,,,,,,,,,,
