Exit stations,Entry stations->,,SATURDAY,,,Nov 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
GP, 	18 , 	29 , 	15 , 	25 , 	78 , 	20 , 	40 , 	36 , 	36 , 	25 , 	28 , 	33 , 	18 , 	16 , 	14 , 	7 , 	8 , 	18 , 	20 , 	16 , 	20 , 	12 , 	11 , 	36 , 	25 , 	274 , 	296 ," 	1,311 ", 	318 , 	237 , 	215 , 	22 , 	75 , 	52 , 	41 , 	11 , 	27 , 	4 , 	26 , 	22 , 	71 , 	91 , 	65 , 	4 ," 	3,762 ",,,,,,,,,,,
BP, 	32 , 	50 , 	17 , 	22 , 	51 , 	23 , 	40 , 	36 , 	59 , 	32 , 	51 , 	47 , 	21 , 	27 , 	19 , 	9 , 	11 , 	20 , 	21 , 	13 , 	16 , 	9 , 	7 , 	14 , 	38 , 	371 , 	413 ," 	2,505 ", 	511 , 	409 , 	418 , 	74 , 	38 , 	93 , 	83 , 	8 , 	31 , 	8 , 	31 , 	35 , 	145 , 	86 , 	86 , 	10 ," 	6,037 ",,,,,,,,,,,
DC, 	32 , 	48 , 	14 , 	18 , 	90 , 	19 , 	31 , 	30 , 	52 , 	35 , 	50 , 	45 , 	27 , 	21 , 	20 , 	12 , 	15 , 	38 , 	29 , 	25 , 	34 , 	18 , 	14 , 	21 , 	28 , 	241 , 	272 ," 	1,387 ", 	312 , 	203 , 	234 , 	58 , 	98 , 	15 , 	42 , 	15 , 	49 , 	6 , 	35 , 	42 , 	133 , 	197 , 	123 , 	11 ," 	4,237 ",,,,,,,,,,,
CM, 	8 , 	18 , 	3 , 	3 , 	17 , 	4 , 	12 , 	8 , 	23 , 	6 , 	8 , 	7 , 	6 , 	8 , 	6 , 	6 , 	7 , 	4 , 	6 , 	9 , 	9 , 	3 , 	5 , 	4 , 	7 , 	79 , 	92 , 	465 , 	152 , 	87 , 	113 , 	48 , 	94 , 	43 , 	10 , 	3 , 	7 , 	2 , 	20 , 	9 , 	57 , 	67 , 	42 , 	2 ," 	1,585 ",,,,,,,,,,,
CV, 	5 , 	5 , 	3 , 	5 , 	25 , 	7 , 	12 , 	11 , 	16 , 	47 , 	38 , 	30 , 	26 , 	68 , 	17 , 	15 , 	11 , 	19 , 	7 , 	5 , 	4 , 	2 , 	1 , 	6 , 	7 , 	137 , 	94 , 	266 , 	80 , 	16 , 	18 , 	7 , 	11 , 	17 , 	5 , 	5 , 	70 , 	0 , 	6 , 	3 , 	2 , 	18 , 	5 , 	64 ," 	1,209 ",,,,,,,,,,,
ED, 	8 , 	14 , 	8 , 	10 , 	66 , 	15 , 	23 , 	21 , 	31 , 	60 , 	76 , 	74 , 	30 , 	102 , 	39 , 	24 , 	26 , 	46 , 	10 , 	7 , 	7 , 	3 , 	2 , 	10 , 	12 , 	489 , 	252 , 	903 , 	206 , 	48 , 	45 , 	23 , 	27 , 	63 , 	5 , 	66 , 	11 , 	2 , 	10 , 	5 , 	9 , 	109 , 	10 , 	24 ," 	3,027 ",,,,,,,,,,,
NC, 	5 , 	3 , 	3 , 	4 , 	15 , 	4 , 	9 , 	7 , 	15 , 	4 , 	7 , 	8 , 	3 , 	2 , 	5 , 	2 , 	3 , 	5 , 	20 , 	8 , 	28 , 	7 , 	1 , 	16 , 	3 , 	77 , 	56 , 	155 , 	40 , 	13 , 	13 , 	6 , 	5 , 	10 , 	2 , 	1 , 	2 , 	1 , 	29 , 	5 , 	3 , 	28 , 	6 , 	1 , 	636 ,,,,,,,,,,,
WP, 	35 , 	38 , 	15 , 	12 , 	62 , 	21 , 	104 , 	39 , 	67 , 	10 , 	48 , 	73 , 	24 , 	26 , 	21 , 	15 , 	16 , 	31 , 	220 , 	81 , 	116 , 	20 , 	10 , 	31 , 	23 , 	169 , 	114 , 	413 , 	118 , 	55 , 	68 , 	34 , 	38 , 	43 , 	18 , 	5 , 	9 , 	25 , 	17 , 	12 , 	17 , 	84 , 	24 , 	5 ," 	2,418 ",,,,,,,,,,,
SS, 	7 , 	11 , 	3 , 	2 , 	15 , 	2 , 	8 , 	8 , 	12 , 	3 , 	10 , 	6 , 	6 , 	5 , 	5 , 	5 , 	6 , 	6 , 	9 , 	6 , 	9 , 	4 , 	3 , 	3 , 	8 , 	58 , 	66 , 	350 , 	87 , 	46 , 	59 , 	27 , 	44 , 	34 , 	9 , 	3 , 	5 , 	3 , 	10 , 	6 , 	39 , 	24 , 	17 , 	1 ," 	1,046 ",,,,,,,,,,,
SB, 	15 , 	16 , 	6 , 	3 , 	18 , 	6 , 	11 , 	11 , 	19 , 	10 , 	16 , 	14 , 	6 , 	10 , 	9 , 	7 , 	4 , 	9 , 	12 , 	7 , 	13 , 	5 , 	1 , 	3 , 	11 , 	72 , 	67 , 	355 , 	159 , 	98 , 	140 , 	76 , 	148 , 	137 , 	62 , 	3 , 	7 , 	5 , 	14 , 	44 , 	5 , 	47 , 	38 , 	2 ," 	1,715 ",,,,,,,,,,,
SO, 	18 , 	34 , 	29 , 	52 , 	127 , 	32 , 	61 , 	28 , 	47 , 	20 , 	34 , 	28 , 	17 , 	10 , 	7 , 	5 , 	9 , 	25 , 	52 , 	84 , 	98 , 	56 , 	47 , 	80 , 	37 , 	274 , 	218 ," 	1,044 ", 	357 , 	141 , 	134 , 	64 , 	71 , 	169 , 	59 , 	16 , 	76 , 	21 , 	54 , 	25 , 	48 , 	27 , 	244 , 	16 ," 	4,088 ",,,,,,,,,,,
MB, 	14 , 	23 , 	11 , 	16 , 	169 , 	15 , 	34 , 	18 , 	37 , 	9 , 	19 , 	16 , 	10 , 	4 , 	9 , 	5 , 	2 , 	3 , 	13 , 	23 , 	19 , 	13 , 	8 , 	27 , 	11 , 	184 , 	157 , 	779 , 	221 , 	127 , 	153 , 	63 , 	93 , 	137 , 	46 , 	3 , 	12 , 	6 , 	24 , 	21 , 	37 , 	328 , 	14 , 	4 ," 	2,932 ",,,,,,,,,,,
WD, 	3 , 	5 , 	4 , 	5 , 	21 , 	7 , 	8 , 	8 , 	11 , 	22 , 	47 , 	37 , 	27 , 	83 , 	25 , 	15 , 	19 , 	24 , 	4 , 	3 , 	5 , 	1 , 	1 , 	3 , 	5 , 	123 , 	82 , 	243 , 	61 , 	10 , 	12 , 	5 , 	9 , 	14 , 	2 , 	66 , 	15 , 	1 , 	3 , 	1 , 	1 , 	28 , 	4 , 	8 ," 	1,073 ",,,,,,,,,,,
Entries," 	1,958 "," 	3,321 "," 	2,242 "," 	2,565 "," 	7,508 "," 	2,820 "," 	4,378 "," 	3,427 "," 	4,253 "," 	2,442 "," 	4,184 "," 	3,294 "," 	2,233 "," 	2,778 "," 	1,993 "," 	1,189 "," 	1,493 "," 	2,786 "," 	2,128 "," 	2,009 "," 	2,911 "," 	1,631 "," 	1,331 "," 	3,099 "," 	3,292 "," 	10,628 "," 	8,190 "," 	27,847 "," 	9,454 "," 	7,156 "," 	7,837 "," 	3,958 "," 	6,659 "," 	4,180 "," 	1,564 "," 	1,228 "," 	3,031 ", 	636 ," 	2,268 "," 	1,034 "," 	1,657 "," 	5,319 "," 	2,836 "," 	1,009 "," 	177,752 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
