Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Dec 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
BP, 	30 , 	43 , 	10 , 	19 , 	38 , 	18 , 	30 , 	22 , 	50 , 	22 , 	49 , 	44 , 	14 , 	18 , 	14 , 	11 , 	10 , 	18 , 	23 , 	15 , 	19 , 	7 , 	3 , 	12 , 	35 , 	365 , 	447 ," 	2,744 ", 	615 , 	421 , 	435 , 	79 , 	33 , 	67 , 	72 , 	8 , 	26 , 	9 , 	51 , 	34 , 	99 , 	58 , 	51 ," 	6,187 ",,,,,,,,,,
DC, 	19 , 	49 , 	17 , 	17 , 	51 , 	16 , 	30 , 	35 , 	51 , 	23 , 	47 , 	47 , 	23 , 	16 , 	17 , 	9 , 	18 , 	29 , 	32 , 	27 , 	28 , 	12 , 	7 , 	18 , 	19 , 	295 , 	215 ," 	1,159 ", 	311 , 	166 , 	225 , 	48 , 	75 , 	16 , 	31 , 	9 , 	39 , 	10 , 	53 , 	21 , 	77 , 	111 , 	53 ," 	3,570 ",,,,,,,,,,
CM, 	7 , 	10 , 	4 , 	1 , 	7 , 	3 , 	8 , 	4 , 	10 , 	11 , 	12 , 	11 , 	8 , 	7 , 	5 , 	5 , 	4 , 	5 , 	5 , 	4 , 	4 , 	-   , 	2 , 	2 , 	6 , 	101 , 	81 , 	417 , 	146 , 	76 , 	112 , 	43 , 	70 , 	33 , 	4 , 	3 , 	6 , 	1 , 	10 , 	9 , 	34 , 	113 , 	27 ," 	1,433 ",,,,,,,,,,
CV, 	5 , 	6 , 	5 , 	3 , 	17 , 	6 , 	8 , 	14 , 	30 , 	35 , 	37 , 	97 , 	28 , 	50 , 	17 , 	11 , 	11 , 	12 , 	3 , 	3 , 	1 , 	1 , 	1 , 	3 , 	5 , 	114 , 	88 , 	302 , 	87 , 	16 , 	17 , 	8 , 	8 , 	8 , 	1 , 	6 , 	81 , 	0 , 	6 , 	4 , 	2 , 	16 , 	4 ," 	1,177 ",,,,,,,,,,
ED, 	12 , 	19 , 	10 , 	10 , 	49 , 	13 , 	23 , 	32 , 	40 , 	61 , 	86 , 	185 , 	51 , 	168 , 	44 , 	28 , 	31 , 	43 , 	12 , 	6 , 	8 , 	1 , 	2 , 	11 , 	18 , 	487 , 	217 ," 	1,220 ", 	298 , 	47 , 	44 , 	25 , 	30 , 	44 , 	13 , 	85 , 	21 , 	2 , 	7 , 	8 , 	11 , 	108 , 	17 ," 	3,649 ",,,,,,,,,,
NC, 	2 , 	2 , 	2 , 	2 , 	7 , 	2 , 	6 , 	7 , 	12 , 	3 , 	5 , 	27 , 	1 , 	3 , 	6 , 	2 , 	1 , 	2 , 	24 , 	9 , 	21 , 	2 , 	2 , 	6 , 	1 , 	62 , 	25 , 	109 , 	50 , 	8 , 	10 , 	4 , 	8 , 	14 , 	3 , 	1 , 	2 , 	0 , 	23 , 	2 , 	1 , 	11 , 	5 , 	495 ,,,,,,,,,,
WP, 	33 , 	30 , 	10 , 	12 , 	19 , 	16 , 	63 , 	35 , 	68 , 	9 , 	47 , 	98 , 	22 , 	20 , 	24 , 	16 , 	13 , 	23 , 	231 , 	65 , 	81 , 	17 , 	7 , 	21 , 	23 , 	150 , 	94 , 	367 , 	135 , 	39 , 	78 , 	33 , 	51 , 	56 , 	16 , 	4 , 	9 , 	29 , 	13 , 	12 , 	12 , 	42 , 	14 ," 	2,159 ",,,,,,,,,,
SS, 	4 , 	11 , 	1 , 	1 , 	8 , 	2 , 	4 , 	3 , 	5 , 	7 , 	8 , 	12 , 	2 , 	5 , 	3 , 	2 , 	3 , 	4 , 	4 , 	4 , 	5 , 	4 , 	3 , 	4 , 	3 , 	85 , 	51 , 	276 , 	82 , 	35 , 	53 , 	16 , 	34 , 	21 , 	8 , 	2 , 	11 , 	2 , 	10 , 	5 , 	14 , 	31 , 	10 , 	860 ,,,,,,,,,,
SB, 	4 , 	10 , 	3 , 	2 , 	9 , 	2 , 	5 , 	3 , 	10 , 	5 , 	9 , 	17 , 	6 , 	7 , 	3 , 	3 , 	3 , 	4 , 	8 , 	1 , 	4 , 	2 , 	2 , 	2 , 	5 , 	78 , 	46 , 	242 , 	121 , 	80 , 	125 , 	45 , 	110 , 	70 , 	39 , 	2 , 	7 , 	2 , 	9 , 	21 , 	4 , 	26 , 	11 ," 	1,169 ",,,,,,,,,,
SO, 	12 , 	32 , 	29 , 	31 , 	87 , 	26 , 	38 , 	16 , 	26 , 	26 , 	23 , 	39 , 	15 , 	11 , 	10 , 	7 , 	14 , 	38 , 	28 , 	51 , 	47 , 	39 , 	24 , 	40 , 	28 , 	168 , 	123 , 	604 , 	303 , 	85 , 	107 , 	48 , 	62 , 	105 , 	83 , 	12 , 	82 , 	7 , 	28 , 	25 , 	28 , 	11 , 	220 ," 	2,836 ",,,,,,,,,,
