Exit stations,Entry stations->,,SATURDAY,,,Feb 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
SO, 	18 , 	54 , 	38 , 	54 , 	144 , 	35 , 	50 , 	34 , 	50 , 	18 , 	24 , 	23 , 	20 , 	12 , 	10 , 	6 , 	12 , 	26 , 	38 , 	80 , 	66 , 	49 , 	38 , 	66 , 	41 , 	239 , 	209 , 	873 , 	315 , 	134 , 	130 , 	60 , 	73 , 	117 , 	77 , 	11 , 	56 , 	17 , 	38 , 	28 , 	40 , 	30 , 	247 , 	21 ," 	3,718 ",,,,,,,,,,,
MB, 	7 , 	23 , 	12 , 	21 , 	119 , 	18 , 	24 , 	37 , 	27 , 	12 , 	19 , 	37 , 	8 , 	9 , 	9 , 	5 , 	4 , 	3 , 	12 , 	22 , 	16 , 	8 , 	7 , 	22 , 	19 , 	218 , 	302 , 	733 , 	279 , 	183 , 	150 , 	60 , 	86 , 	123 , 	39 , 	2 , 	10 , 	4 , 	14 , 	24 , 	34 , 	236 , 	27 , 	5 ," 	3,027 ",,,,,,,,,,,
WD, 	4 , 	9 , 	4 , 	7 , 	33 , 	8 , 	10 , 	17 , 	15 , 	31 , 	45 , 	162 , 	37 , 	107 , 	47 , 	18 , 	18 , 	23 , 	4 , 	3 , 	3 , 	2 , 	1 , 	3 , 	10 , 	166 , 	130 , 	241 , 	90 , 	31 , 	16 , 	10 , 	11 , 	15 , 	3 , 	81 , 	23 , 	2 , 	4 , 	4 , 	2 , 	20 , 	6 , 	13 ," 	1,484 ",,,,,,,,,,,
Entries," 	2,148 "," 	3,823 "," 	2,426 "," 	2,634 "," 	8,710 "," 	3,315 "," 	4,540 "," 	4,538 "," 	4,838 "," 	3,023 "," 	4,927 "," 	6,615 "," 	2,779 "," 	3,286 "," 	2,432 "," 	1,396 "," 	1,792 "," 	3,398 "," 	1,644 "," 	2,535 "," 	2,820 "," 	1,558 "," 	1,231 "," 	3,257 "," 	4,085 "," 	11,276 "," 	10,725 "," 	27,009 "," 	11,034 "," 	8,425 "," 	8,454 "," 	4,212 "," 	6,888 "," 	4,744 "," 	1,621 "," 	1,402 "," 	3,373 ", 	574 ," 	2,003 "," 	1,246 "," 	1,769 "," 	4,908 "," 	3,143 "," 	1,429 "," 	197,979 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
