Exit stations,Entry stations->,,SATURDAY,,,Jul 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	11 , 	20 , 	21 , 	14 , 	63 , 	23 , 	31 , 	17 , 	18 , 	6 , 	31 , 	21 , 	11 , 	7 , 	8 , 	6 , 	3 , 	4 , 	3 , 	5 , 	4 , 	3 , 	1 , 	4 , 	6 , 	61 , 	41 , 	125 , 	52 , 	40 , 	51 , 	8 , 	11 , 	11 , 	5 , 	1 , 	3 , 	0 , 	3 , 	3 , 	5 , 	13 , 	3 , 	1 , 	3 , 	4 , 	4 , 	4 , 	2 , 	3 , 	798 ,,,,,,,,,,
GP, 	7 , 	12 , 	7 , 	8 , 	13 , 	7 , 	17 , 	17 , 	16 , 	10 , 	12 , 	13 , 	5 , 	5 , 	3 , 	2 , 	2 , 	3 , 	7 , 	5 , 	6 , 	4 , 	4 , 	17 , 	13 , 	81 , 	57 , 	193 , 	52 , 	49 , 	53 , 	15 , 	12 , 	16 , 	14 , 	4 , 	7 , 	2 , 	6 , 	9 , 	16 , 	26 , 	15 , 	2 , 	4 , 	1 , 	1 , 	3 , 	2 , 	5 , 	860 ,,,,,,,,,,
BP, 	11 , 	13 , 	3 , 	4 , 	12 , 	5 , 	11 , 	14 , 	18 , 	14 , 	17 , 	8 , 	14 , 	10 , 	3 , 	1 , 	4 , 	4 , 	3 , 	4 , 	5 , 	2 , 	2 , 	10 , 	13 , 	106 , 	96 , 	394 , 	78 , 	63 , 	66 , 	13 , 	19 , 	15 , 	18 , 	4 , 	8 , 	2 , 	7 , 	8 , 	27 , 	28 , 	18 , 	5 , 	3 , 	2 , 	3 , 	2 , 	0 , 	5 ," 	1,196 ",,,,,,,,,,
DC, 	8 , 	15 , 	3 , 	6 , 	10 , 	6 , 	13 , 	14 , 	14 , 	12 , 	17 , 	21 , 	9 , 	6 , 	6 , 	4 , 	4 , 	3 , 	7 , 	6 , 	7 , 	3 , 	3 , 	9 , 	15 , 	109 , 	77 , 	292 , 	110 , 	91 , 	75 , 	18 , 	18 , 	17 , 	10 , 	4 , 	8 , 	1 , 	7 , 	7 , 	28 , 	55 , 	19 , 	3 , 	4 , 	3 , 	5 , 	4 , 	3 , 	7 ," 	1,195 ",,,,,,,,,,
CM, 	3 , 	6 , 	1 , 	2 , 	5 , 	1 , 	5 , 	4 , 	6 , 	1 , 	3 , 	3 , 	1 , 	3 , 	2 , 	1 , 	1 , 	2 , 	2 , 	2 , 	2 , 	0 , 	0 , 	1 , 	3 , 	32 , 	24 , 	102 , 	46 , 	35 , 	38 , 	14 , 	20 , 	10 , 	6 , 	-   , 	1 , 	1 , 	4 , 	2 , 	17 , 	54 , 	6 , 	0 , 	1 , 	1 , 	1 , 	1 , 	3 , 	3 , 	479 ,,,,,,,,,,
CV, 	0 , 	2 , 	1 , 	2 , 	4 , 	1 , 	4 , 	3 , 	1 , 	17 , 	19 , 	25 , 	17 , 	14 , 	4 , 	3 , 	3 , 	3 , 	1 , 	1 , 	1 , 	-   , 	0 , 	1 , 	3 , 	52 , 	34 , 	47 , 	19 , 	7 , 	6 , 	4 , 	3 , 	5 , 	1 , 	5 , 	23 , 	-   , 	0 , 	0 , 	3 , 	6 , 	1 , 	18 , 	2 , 	1 , 	1 , 	0 , 	-   , 	-   , 	368 ,,,,,,,,,,
ED, 	2 , 	3 , 	1 , 	2 , 	12 , 	4 , 	6 , 	6 , 	5 , 	27 , 	33 , 	101 , 	23 , 	26 , 	12 , 	6 , 	7 , 	7 , 	4 , 	2 , 	2 , 	-   , 	-   , 	1 , 	9 , 	246 , 	82 , 	144 , 	54 , 	27 , 	16 , 	9 , 	11 , 	12 , 	2 , 	18 , 	19 , 	1 , 	1 , 	2 , 	5 , 	30 , 	2 , 	9 , 	18 , 	3 , 	5 , 	5 , 	1 , 	1 ," 	1,023 ",,,,,,,,,,
NC, 	0 , 	1 , 	-   , 	-   , 	1 , 	0 , 	2 , 	2 , 	2 , 	0 , 	2 , 	6 , 	1 , 	1 , 	1 , 	0 , 	0 , 	0 , 	6 , 	5 , 	7 , 	2 , 	1 , 	3 , 	0 , 	25 , 	12 , 	26 , 	6 , 	4 , 	3 , 	2 , 	2 , 	3 , 	0 , 	-   , 	1 , 	2 , 	5 , 	1 , 	1 , 	12 , 	1 , 	-   , 	2 , 	-   , 	0 , 	0 , 	3 , 	3 , 	159 ,,,,,,,,,,
WP, 	4 , 	5 , 	2 , 	1 , 	8 , 	2 , 	11 , 	5 , 	8 , 	2 , 	4 , 	11 , 	3 , 	5 , 	2 , 	2 , 	1 , 	1 , 	36 , 	15 , 	30 , 	7 , 	4 , 	4 , 	4 , 	46 , 	29 , 	75 , 	20 , 	16 , 	18 , 	10 , 	7 , 	6 , 	6 , 	-   , 	1 , 	5 , 	5 , 	4 , 	5 , 	25 , 	2 , 	-   , 	4 , 	1 , 	0 , 	3 , 	3 , 	6 , 	471 ,,,,,,,,,,
SS, 	5 , 	2 , 	1 , 	1 , 	1 , 	1 , 	3 , 	4 , 	5 , 	1 , 	2 , 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	4 , 	3 , 	3 , 	0 , 	0 , 	1 , 	4 , 	27 , 	13 , 	62 , 	31 , 	25 , 	28 , 	7 , 	10 , 	10 , 	2 , 	1 , 	2 , 	0 , 	5 , 	7 , 	7 , 	18 , 	5 , 	2 , 	0 , 	1 , 	2 , 	1 , 	2 , 	4 , 	320 ,,,,,,,,,,
SB, 	6 , 	12 , 	1 , 	2 , 	4 , 	1 , 	5 , 	4 , 	8 , 	3 , 	4 , 	5 , 	5 , 	3 , 	2 , 	2 , 	1 , 	1 , 	5 , 	4 , 	6 , 	1 , 	0 , 	5 , 	7 , 	41 , 	23 , 	84 , 	47 , 	41 , 	51 , 	19 , 	31 , 	36 , 	15 , 	2 , 	5 , 	1 , 	3 , 	6 , 	9 , 	21 , 	3 , 	1 , 	2 , 	0 , 	0 , 	0 , 	0 , 	2 , 	543 ,,,,,,,,,,
