Exit stations,Entry stations->,,SUNDAY,,,Aug 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
WP, 	4 , 	4 , 	1 , 	1 , 	2 , 	0 , 	7 , 	3 , 	4 , 	1 , 	4 , 	3 , 	2 , 	2 , 	1 , 	1 , 	2 , 	0 , 	27 , 	10 , 	14 , 	5 , 	1 , 	4 , 	2 , 	13 , 	10 , 	24 , 	9 , 	5 , 	11 , 	2 , 	5 , 	4 , 	3 , 	0 , 	-   , 	4 , 	2 , 	2 , 	2 , 	15 , 	2 , 	-   , 	5 , 	1 , 	0 , 	0 , 	2 , 	4 , 	231 ,,,,,,,,,,,
SS, 	1 , 	2 , 	1 , 	0 , 	2 , 	1 , 	2 , 	3 , 	1 , 	0 , 	2 , 	1 , 	1 , 	-   , 	0 , 	0 , 	-   , 	0 , 	2 , 	1 , 	2 , 	-   , 	-   , 	0 , 	2 , 	9 , 	5 , 	14 , 	12 , 	7 , 	14 , 	3 , 	5 , 	4 , 	2 , 	0 , 	0 , 	-   , 	2 , 	1 , 	2 , 	8 , 	1 , 	0 , 	0 , 	-   , 	-   , 	1 , 	0 , 	2 , 	123 ,,,,,,,,,,,
SB, 	4 , 	3 , 	1 , 	1 , 	2 , 	1 , 	1 , 	3 , 	3 , 	1 , 	2 , 	1 , 	0 , 	0 , 	0 , 	1 , 	0 , 	-   , 	1 , 	2 , 	1 , 	-   , 	-   , 	1 , 	4 , 	4 , 	6 , 	23 , 	14 , 	14 , 	14 , 	6 , 	13 , 	9 , 	4 , 	0 , 	1 , 	1 , 	4 , 	3 , 	2 , 	5 , 	2 , 	0 , 	0 , 	-   , 	1 , 	-   , 	2 , 	3 , 	164 ,,,,,,,,,,,
SO, 	4 , 	10 , 	4 , 	0 , 	5 , 	1 , 	6 , 	4 , 	7 , 	0 , 	1 , 	3 , 	6 , 	2 , 	1 , 	-   , 	1 , 	0 , 	7 , 	4 , 	4 , 	3 , 	1 , 	5 , 	8 , 	8 , 	13 , 	41 , 	20 , 	10 , 	6 , 	5 , 	16 , 	22 , 	17 , 	2 , 	6 , 	2 , 	15 , 	5 , 	4 , 	9 , 	10 , 	1 , 	2 , 	1 , 	0 , 	0 , 	1 , 	8 , 	312 ,,,,,,,,,,,
MB, 	1 , 	1 , 	1 , 	1 , 	4 , 	1 , 	0 , 	1 , 	4 , 	1 , 	1 , 	0 , 	1 , 	1 , 	1 , 	0 , 	-   , 	0 , 	2 , 	1 , 	1 , 	1 , 	-   , 	0 , 	1 , 	6 , 	3 , 	16 , 	12 , 	9 , 	9 , 	4 , 	9 , 	9 , 	5 , 	0 , 	1 , 	0 , 	1 , 	2 , 	2 , 	28 , 	2 , 	0 , 	1 , 	-   , 	-   , 	-   , 	0 , 	2 , 	148 ,,,,,,,,,,,
WD, 	0 , 	1 , 	-   , 	-   , 	1 , 	0 , 	2 , 	1 , 	0 , 	5 , 	7 , 	6 , 	7 , 	12 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	1 , 	7 , 	6 , 	6 , 	5 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	9 , 	5 , 	-   , 	-   , 	-   , 	0 , 	2 , 	0 , 	1 , 	3 , 	0 , 	0 , 	0 , 	0 , 	-   , 	101 ,,,,,,,,,,,
OA, 	2 , 	2 , 	1 , 	1 , 	2 , 	1 , 	2 , 	1 , 	1 , 	2 , 	2 , 	3 , 	1 , 	1 , 	0 , 	0 , 	0 , 	0 , 	0 , 	3 , 	2 , 	0 , 	0 , 	0 , 	1 , 	5 , 	2 , 	4 , 	1 , 	1 , 	1 , 	0 , 	-   , 	0 , 	-   , 	1 , 	4 , 	1 , 	2 , 	-   , 	0 , 	5 , 	0 , 	1 , 	0 , 	0 , 	0 , 	0 , 	0 , 	2 , 	61 ,,,,,,,,,,,
WS, 	1 , 	4 , 	0 , 	1 , 	1 , 	2 , 	1 , 	1 , 	2 , 	3 , 	3 , 	7 , 	2 , 	1 , 	3 , 	5 , 	8 , 	3 , 	1 , 	0 , 	0 , 	0 , 	-   , 	0 , 	1 , 	3 , 	1 , 	2 , 	3 , 	2 , 	0 , 	0 , 	2 , 	1 , 	0 , 	0 , 	0 , 	-   , 	0 , 	0 , 	-   , 	1 , 	-   , 	1 , 	0 , 	1 , 	3 , 	7 , 	-   , 	1 , 	82 ,,,,,,,,,,,
ML, 	2 , 	3 , 	1 , 	1 , 	4 , 	1 , 	3 , 	1 , 	1 , 	1 , 	3 , 	3 , 	1 , 	2 , 	2 , 	6 , 	2 , 	8 , 	-   , 	1 , 	1 , 	0 , 	0 , 	0 , 	-   , 	4 , 	3 , 	4 , 	3 , 	1 , 	1 , 	0 , 	1 , 	1 , 	0 , 	1 , 	2 , 	-   , 	0 , 	-   , 	-   , 	1 , 	-   , 	0 , 	1 , 	3 , 	2 , 	3 , 	-   , 	1 , 	80 ,,,,,,,,,,,
BE, 	3 , 	4 , 	4 , 	1 , 	3 , 	3 , 	2 , 	4 , 	2 , 	4 , 	10 , 	4 , 	4 , 	5 , 	7 , 	13 , 	10 , 	11 , 	3 , 	1 , 	2 , 	0 , 	1 , 	1 , 	3 , 	8 , 	6 , 	5 , 	4 , 	5 , 	4 , 	2 , 	2 , 	1 , 	1 , 	0 , 	2 , 	0 , 	1 , 	0 , 	0 , 	1 , 	-   , 	1 , 	1 , 	6 , 	4 , 	8 , 	0 , 	2 , 	169 ,,,,,,,,,,,
