Exit stations,Entry stations->,,SATURDAY,,,Aug 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
24, 	37 , 	26 , 	7 , 	11 , 	13 , 	10 , 	22 , 	18 , 	19 , 	14 , 	43 , 	21 , 	12 , 	13 , 	5 , 	5 , 	4 , 	2 , 	13 , 	4 , 	6 , 	2 , 	2 , 	7 , 	35 , 	46 , 	43 , 	163 , 	78 , 	19 , 	4 , 	33 , 	52 , 	46 , 	29 , 	2 , 	5 , 	2 , 	13 , 	20 , 	21 , 	13 , 	16 , 	2 , 	2 , 	0 , 	3 , 	4 , 	3 , 	2 , 	973 ,,,,,,,,,,
GP, 	5 , 	11 , 	3 , 	2 , 	4 , 	3 , 	7 , 	4 , 	6 , 	5 , 	8 , 	4 , 	3 , 	2 , 	1 , 	1 , 	1 , 	1 , 	5 , 	1 , 	2 , 	1 , 	-   , 	3 , 	8 , 	29 , 	19 , 	86 , 	30 , 	29 , 	30 , 	5 , 	7 , 	10 , 	11 , 	2 , 	2 , 	1 , 	5 , 	3 , 	12 , 	7 , 	6 , 	1 , 	0 , 	-   , 	0 , 	1 , 	2 , 	2 , 	391 ,,,,,,,,,,
BP, 	12 , 	11 , 	2 , 	2 , 	10 , 	3 , 	7 , 	8 , 	11 , 	7 , 	14 , 	4 , 	5 , 	8 , 	2 , 	1 , 	3 , 	2 , 	4 , 	2 , 	3 , 	0 , 	1 , 	3 , 	11 , 	47 , 	49 , 	223 , 	72 , 	68 , 	56 , 	11 , 	6 , 	14 , 	14 , 	1 , 	6 , 	1 , 	6 , 	8 , 	21 , 	17 , 	12 , 	3 , 	1 , 	0 , 	1 , 	3 , 	1 , 	3 , 	782 ,,,,,,,,,,
DC, 	9 , 	12 , 	1 , 	4 , 	6 , 	3 , 	6 , 	6 , 	12 , 	7 , 	12 , 	7 , 	7 , 	5 , 	3 , 	2 , 	2 , 	2 , 	4 , 	3 , 	4 , 	1 , 	1 , 	3 , 	8 , 	43 , 	30 , 	178 , 	68 , 	66 , 	43 , 	8 , 	17 , 	8 , 	7 , 	1 , 	2 , 	1 , 	3 , 	5 , 	15 , 	25 , 	12 , 	2 , 	1 , 	2 , 	1 , 	3 , 	2 , 	2 , 	673 ,,,,,,,,,,
CM, 	1 , 	2 , 	1 , 	-   , 	3 , 	0 , 	4 , 	1 , 	4 , 	3 , 	4 , 	1 , 	1 , 	2 , 	-   , 	1 , 	2 , 	1 , 	2 , 	1 , 	1 , 	-   , 	0 , 	1 , 	2 , 	10 , 	14 , 	46 , 	26 , 	20 , 	27 , 	8 , 	11 , 	5 , 	2 , 	-   , 	-   , 	1 , 	2 , 	2 , 	8 , 	26 , 	7 , 	1 , 	0 , 	1 , 	-   , 	0 , 	1 , 	2 , 	258 ,,,,,,,,,,
CV, 	2 , 	2 , 	1 , 	0 , 	1 , 	1 , 	2 , 	2 , 	2 , 	9 , 	14 , 	7 , 	9 , 	11 , 	2 , 	1 , 	1 , 	3 , 	0 , 	0 , 	1 , 	0 , 	0 , 	0 , 	3 , 	10 , 	13 , 	23 , 	9 , 	7 , 	2 , 	3 , 	2 , 	1 , 	0 , 	1 , 	17 , 	0 , 	0 , 	-   , 	0 , 	2 , 	0 , 	17 , 	1 , 	1 , 	1 , 	-   , 	0 , 	0 , 	183 ,,,,,,,,,,
ED, 	3 , 	3 , 	1 , 	0 , 	2 , 	2 , 	6 , 	3 , 	2 , 	8 , 	23 , 	11 , 	13 , 	22 , 	4 , 	2 , 	5 , 	5 , 	1 , 	2 , 	1 , 	0 , 	0 , 	0 , 	3 , 	38 , 	19 , 	31 , 	12 , 	10 , 	8 , 	1 , 	6 , 	5 , 	1 , 	14 , 	4 , 	0 , 	1 , 	1 , 	1 , 	8 , 	1 , 	6 , 	6 , 	1 , 	1 , 	5 , 	0 , 	1 , 	303 ,,,,,,,,,,
NC, 	-   , 	0 , 	0 , 	0 , 	1 , 	0 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	0 , 	1 , 	1 , 	0 , 	0 , 	-   , 	4 , 	3 , 	3 , 	1 , 	0 , 	1 , 	-   , 	5 , 	5 , 	5 , 	3 , 	2 , 	3 , 	2 , 	2 , 	2 , 	0 , 	0 , 	0 , 	1 , 	4 , 	0 , 	-   , 	6 , 	-   , 	-   , 	1 , 	0 , 	-   , 	0 , 	2 , 	2 , 	69 ,,,,,,,,,,
WP, 	3 , 	4 , 	2 , 	2 , 	3 , 	1 , 	13 , 	4 , 	8 , 	0 , 	8 , 	3 , 	1 , 	4 , 	0 , 	2 , 	1 , 	1 , 	26 , 	15 , 	22 , 	7 , 	2 , 	5 , 	5 , 	18 , 	15 , 	33 , 	9 , 	13 , 	15 , 	6 , 	7 , 	5 , 	3 , 	1 , 	2 , 	2 , 	6 , 	2 , 	3 , 	11 , 	2 , 	-   , 	3 , 	0 , 	0 , 	1 , 	2 , 	4 , 	307 ,,,,,,,,,,
SS, 	3 , 	2 , 	1 , 	1 , 	2 , 	-   , 	2 , 	2 , 	1 , 	2 , 	2 , 	2 , 	1 , 	2 , 	0 , 	1 , 	1 , 	-   , 	3 , 	1 , 	3 , 	-   , 	-   , 	1 , 	3 , 	10 , 	8 , 	30 , 	14 , 	12 , 	20 , 	5 , 	6 , 	6 , 	2 , 	-   , 	1 , 	1 , 	4 , 	2 , 	4 , 	7 , 	3 , 	-   , 	0 , 	-   , 	-   , 	0 , 	0 , 	4 , 	175 ,,,,,,,,,,
