Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Mar 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
BP, 	19 , 	32 , 	6 , 	8 , 	22 , 	13 , 	18 , 	13 , 	35 , 	21 , 	37 , 	35 , 	14 , 	18 , 	12 , 	11 , 	12 , 	16 , 	19 , 	11 , 	10 , 	4 , 	5 , 	10 , 	17 , 	164 , 	254 ," 	1,922 ", 	463 , 	243 , 	297 , 	43 , 	53 , 	45 , 	102 , 	7 , 	21 , 	4 , 	34 ," 	4,068 ",,,,,,,,,,
DC, 	15 , 	26 , 	15 , 	8 , 	47 , 	10 , 	20 , 	13 , 	39 , 	16 , 	21 , 	65 , 	15 , 	20 , 	11 , 	10 , 	9 , 	20 , 	24 , 	17 , 	15 , 	6 , 	5 , 	16 , 	13 , 	93 , 	114 , 	560 , 	278 , 	114 , 	169 , 	32 , 	53 , 	11 , 	47 , 	8 , 	29 , 	3 , 	34 ," 	2,025 ",,,,,,,,,,
CM, 	17 , 	31 , 	9 , 	9 , 	48 , 	14 , 	19 , 	15 , 	39 , 	15 , 	20 , 	48 , 	10 , 	11 , 	12 , 	8 , 	10 , 	15 , 	29 , 	23 , 	22 , 	8 , 	11 , 	19 , 	9 , 	108 , 	112 , 	533 , 	309 , 	103 , 	169 , 	59 , 	102 , 	39 , 	8 , 	8 , 	27 , 	9 , 	46 ," 	2,101 ",,,,,,,,,,
CV, 	2 , 	2 , 	2 , 	2 , 	15 , 	4 , 	4 , 	3 , 	10 , 	21 , 	24 , 	29 , 	20 , 	30 , 	8 , 	7 , 	8 , 	12 , 	3 , 	1 , 	2 , 	1 , 	1 , 	3 , 	2 , 	54 , 	30 , 	97 , 	52 , 	9 , 	10 , 	7 , 	8 , 	6 , 	8 , 	2 , 	50 , 	0 , 	3 , 	550 ,,,,,,,,,,
ED, 	7 , 	6 , 	6 , 	4 , 	35 , 	8 , 	10 , 	7 , 	16 , 	33 , 	52 , 	109 , 	28 , 	81 , 	26 , 	19 , 	12 , 	25 , 	6 , 	2 , 	2 , 	2 , 	0 , 	3 , 	12 , 	199 , 	123 , 	306 , 	152 , 	24 , 	23 , 	18 , 	15 , 	25 , 	30 , 	46 , 	8 , 	1 , 	5 ," 	1,484 ",,,,,,,,,,
NC, 	2 , 	3 , 	2 , 	1 , 	5 , 	1 , 	7 , 	3 , 	12 , 	2 , 	2 , 	11 , 	1 , 	2 , 	1 , 	1 , 	1 , 	4 , 	17 , 	7 , 	20 , 	4 , 	2 , 	6 , 	1 , 	35 , 	15 , 	45 , 	22 , 	5 , 	4 , 	5 , 	3 , 	4 , 	7 , 	1 , 	1 , 	3 , 	19 , 	287 ,,,,,,,,,,
WP, 	23 , 	22 , 	8 , 	7 , 	17 , 	12 , 	50 , 	20 , 	40 , 	4 , 	26 , 	46 , 	10 , 	12 , 	18 , 	9 , 	13 , 	22 , 	138 , 	36 , 	56 , 	8 , 	7 , 	18 , 	11 , 	75 , 	52 , 	164 , 	64 , 	35 , 	65 , 	29 , 	38 , 	38 , 	45 , 	3 , 	4 , 	20 , 	14 ," 	1,278 ",,,,,,,,,,
Entries," 	1,507 "," 	1,725 "," 	1,067 "," 	1,109 "," 	3,638 "," 	1,572 "," 	1,904 "," 	1,343 "," 	2,682 "," 	1,409 "," 	2,756 "," 	3,074 "," 	1,301 "," 	1,634 "," 	1,161 ", 	652 , 	895 ," 	1,675 "," 	1,300 ", 	939 ," 	1,319 ", 	647 , 	528 ," 	1,388 "," 	1,252 "," 	3,785 "," 	3,411 "," 	12,375 "," 	6,075 "," 	3,559 "," 	4,418 "," 	2,121 "," 	3,901 "," 	2,002 "," 	2,019 ", 	523 ," 	1,576 ", 	292 ," 	1,181 "," 	85,716 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
