Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,May 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
BP, 	35 , 	74 , 	22 , 	30 , 	83 , 	30 , 	61 , 	95 , 	155 , 	49 , 	80 , 	59 , 	55 , 	27 , 	28 , 	13 , 	21 , 	22 , 	43 , 	35 , 	31 , 	7 , 	14 , 	46 , 	40 ," 	1,265 "," 	1,715 "," 	3,495 "," 	1,744 ", 	762 , 	822 , 	157 , 	39 , 	132 , 	190 , 	12 , 	32 , 	12 , 	50 ," 	11,582 ",,,,,,,,,,,
DC, 	53 , 	120 , 	50 , 	59 , 	167 , 	50 , 	94 , 	149 , 	234 , 	93 , 	98 , 	93 , 	63 , 	55 , 	41 , 	35 , 	44 , 	54 , 	77 , 	101 , 	76 , 	24 , 	23 , 	49 , 	61 ," 	1,130 "," 	1,390 "," 	1,162 ", 	744 , 	231 , 	322 , 	90 , 	162 , 	12 , 	83 , 	23 , 	86 , 	30 , 	71 ," 	7,502 ",,,,,,,,,,,
CM, 	25 , 	48 , 	15 , 	15 , 	83 , 	19 , 	41 , 	134 , 	220 , 	26 , 	37 , 	58 , 	35 , 	19 , 	15 , 	11 , 	13 , 	15 , 	58 , 	76 , 	49 , 	16 , 	16 , 	26 , 	20 ," 	1,212 "," 	1,288 ", 	955 , 	749 , 	181 , 	245 , 	105 , 	201 , 	62 , 	8 , 	8 , 	59 , 	18 , 	80 ," 	6,257 ",,,,,,,,,,,
CV, 	6 , 	8 , 	3 , 	5 , 	28 , 	10 , 	11 , 	36 , 	74 , 	80 , 	58 , 	94 , 	41 , 	55 , 	22 , 	18 , 	15 , 	21 , 	5 , 	2 , 	5 , 	0 , 	3 , 	6 , 	11 , 	406 , 	391 , 	172 , 	155 , 	18 , 	19 , 	13 , 	11 , 	25 , 	11 , 	3 , 	135 , 	1 , 	3 ," 	1,981 ",,,,,,,,,,,
ED, 	23 , 	41 , 	15 , 	14 , 	110 , 	26 , 	47 , 	126 , 	261 , 	181 , 	158 , 	370 , 	93 , 	265 , 	90 , 	52 , 	52 , 	64 , 	10 , 	8 , 	7 , 	3 , 	2 , 	14 , 	26 ," 	1,236 ", 	991 , 	535 , 	431 , 	69 , 	66 , 	53 , 	33 , 	91 , 	58 , 	143 , 	15 , 	3 , 	9 ," 	5,793 ",,,,,,,,,,,
NC, 	10 , 	10 , 	5 , 	3 , 	26 , 	5 , 	23 , 	98 , 	111 , 	6 , 	5 , 	34 , 	5 , 	4 , 	9 , 	3 , 	5 , 	8 , 	72 , 	44 , 	57 , 	11 , 	8 , 	23 , 	3 , 	301 , 	271 , 	140 , 	132 , 	21 , 	19 , 	11 , 	11 , 	27 , 	15 , 	2 , 	2 , 	4 , 	73 ," 	1,617 ",,,,,,,,,,,
WP, 	29 , 	35 , 	10 , 	10 , 	83 , 	19 , 	107 , 	189 , 	276 , 	20 , 	42 , 	99 , 	29 , 	19 , 	38 , 	16 , 	18 , 	30 , 	516 , 	168 , 	226 , 	35 , 	27 , 	56 , 	22 , 	587 , 	538 , 	381 , 	373 , 	81 , 	115 , 	44 , 	54 , 	77 , 	81 , 	3 , 	9 , 	77 , 	16 ," 	4,558 ",,,,,,,,,,,
Entries," 	3,509 "," 	6,747 "," 	3,616 "," 	3,044 "," 	9,621 "," 	3,854 "," 	5,843 "," 	7,689 "," 	11,963 "," 	4,351 "," 	6,125 "," 	6,973 "," 	4,720 "," 	4,753 "," 	4,318 "," 	2,823 "," 	3,666 "," 	5,717 "," 	5,220 "," 	6,122 "," 	5,322 "," 	2,732 "," 	2,372 "," 	4,026 "," 	4,205 "," 	25,912 "," 	26,368 "," 	23,663 "," 	17,528 "," 	8,482 "," 	11,045 "," 	7,068 "," 	12,161 "," 	7,429 "," 	6,457 "," 	2,037 "," 	5,975 "," 	1,734 "," 	4,489 "," 	289,681 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 	1 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
