Exit stations,Entry stations->,,SATURDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	6 , 	21 , 	21 , 	11 , 	46 , 	16 , 	22 , 	12 , 	20 , 	6 , 	24 , 	11 , 	7 , 	6 , 	3 , 	7 , 	1 , 	4 , 	4 , 	2 , 	4 , 	1 , 	1 , 	4 , 	6 , 	45 , 	32 , 	98 , 	34 , 	44 , 	45 , 	8 , 	12 , 	12 , 	4 , 	1 , 	3 , 	-   , 	3 , 	1 , 	5 , 	6 , 	3 , 	1 , 	2 , 	2 , 	2 , 	2 , 	2 , 	2 , 	629 ,,,,,,,,,,
GP, 	8 , 	14 , 	4 , 	4 , 	8 , 	3 , 	8 , 	9 , 	8 , 	5 , 	11 , 	5 , 	5 , 	4 , 	2 , 	1 , 	3 , 	1 , 	5 , 	2 , 	1 , 	1 , 	2 , 	5 , 	10 , 	34 , 	39 , 	140 , 	32 , 	32 , 	39 , 	5 , 	9 , 	10 , 	8 , 	2 , 	2 , 	2 , 	3 , 	4 , 	14 , 	9 , 	5 , 	1 , 	1 , 	1 , 	2 , 	2 , 	1 , 	3 , 	523 ,,,,,,,,,,
BP, 	12 , 	10 , 	4 , 	2 , 	10 , 	3 , 	7 , 	10 , 	17 , 	11 , 	14 , 	5 , 	7 , 	7 , 	3 , 	3 , 	2 , 	3 , 	7 , 	4 , 	5 , 	2 , 	1 , 	5 , 	20 , 	51 , 	56 , 	325 , 	92 , 	83 , 	55 , 	11 , 	4 , 	13 , 	19 , 	2 , 	6 , 	1 , 	5 , 	8 , 	28 , 	26 , 	12 , 	2 , 	2 , 	1 , 	2 , 	3 , 	1 , 	3 , 	976 ,,,,,,,,,,
DC, 	12 , 	11 , 	2 , 	5 , 	9 , 	5 , 	9 , 	9 , 	9 , 	5 , 	14 , 	10 , 	7 , 	8 , 	3 , 	4 , 	2 , 	2 , 	3 , 	2 , 	5 , 	1 , 	1 , 	3 , 	10 , 	50 , 	51 , 	263 , 	80 , 	70 , 	58 , 	11 , 	20 , 	11 , 	7 , 	2 , 	9 , 	3 , 	5 , 	8 , 	26 , 	37 , 	16 , 	3 , 	1 , 	3 , 	3 , 	3 , 	2 , 	6 , 	892 ,,,,,,,,,,
CM, 	3 , 	5 , 	1 , 	1 , 	2 , 	-   , 	3 , 	3 , 	6 , 	2 , 	2 , 	1 , 	3 , 	3 , 	1 , 	-   , 	1 , 	1 , 	1 , 	2 , 	2 , 	-   , 	1 , 	1 , 	4 , 	8 , 	13 , 	72 , 	25 , 	23 , 	21 , 	9 , 	19 , 	9 , 	5 , 	0 , 	2 , 	1 , 	4 , 	3 , 	9 , 	22 , 	2 , 	1 , 	-   , 	0 , 	-   , 	-   , 	2 , 	2 , 	295 ,,,,,,,,,,
CV, 	0 , 	1 , 	1 , 	0 , 	2 , 	1 , 	3 , 	1 , 	1 , 	12 , 	8 , 	8 , 	8 , 	10 , 	5 , 	1 , 	5 , 	2 , 	0 , 	-   , 	0 , 	1 , 	-   , 	-   , 	2 , 	12 , 	11 , 	24 , 	6 , 	7 , 	3 , 	4 , 	1 , 	1 , 	-   , 	2 , 	19 , 	0 , 	-   , 	-   , 	2 , 	2 , 	-   , 	22 , 	1 , 	1 , 	1 , 	2 , 	0 , 	0 , 	189 ,,,,,,,,,,
ED, 	2 , 	5 , 	3 , 	1 , 	4 , 	2 , 	4 , 	2 , 	3 , 	12 , 	29 , 	8 , 	19 , 	21 , 	13 , 	5 , 	4 , 	6 , 	1 , 	1 , 	1 , 	0 , 	0 , 	1 , 	5 , 	41 , 	24 , 	45 , 	16 , 	12 , 	8 , 	4 , 	7 , 	6 , 	2 , 	14 , 	11 , 	-   , 	2 , 	1 , 	2 , 	14 , 	1 , 	6 , 	7 , 	-   , 	4 , 	5 , 	-   , 	1 , 	379 ,,,,,,,,,,
NC, 	0 , 	1 , 	1 , 	-   , 	-   , 	1 , 	2 , 	1 , 	1 , 	0 , 	1 , 	1 , 	1 , 	1 , 	1 , 	0 , 	-   , 	-   , 	4 , 	3 , 	4 , 	2 , 	-   , 	2 , 	0 , 	5 , 	8 , 	13 , 	3 , 	2 , 	3 , 	2 , 	2 , 	3 , 	1 , 	0 , 	-   , 	1 , 	5 , 	1 , 	1 , 	7 , 	1 , 	-   , 	2 , 	0 , 	0 , 	1 , 	5 , 	3 , 	91 ,,,,,,,,,,
WP, 	3 , 	4 , 	1 , 	2 , 	4 , 	1 , 	15 , 	4 , 	6 , 	1 , 	8 , 	7 , 	3 , 	5 , 	2 , 	1 , 	3 , 	3 , 	35 , 	13 , 	28 , 	7 , 	3 , 	5 , 	6 , 	17 , 	15 , 	41 , 	12 , 	12 , 	18 , 	4 , 	8 , 	7 , 	2 , 	-   , 	1 , 	5 , 	8 , 	3 , 	3 , 	15 , 	2 , 	0 , 	1 , 	1 , 	2 , 	3 , 	3 , 	5 , 	351 ,,,,,,,,,,
SS, 	3 , 	3 , 	1 , 	0 , 	2 , 	-   , 	4 , 	2 , 	1 , 	2 , 	2 , 	2 , 	1 , 	2 , 	1 , 	-   , 	1 , 	0 , 	3 , 	1 , 	1 , 	0 , 	-   , 	2 , 	2 , 	10 , 	8 , 	39 , 	14 , 	13 , 	21 , 	5 , 	6 , 	7 , 	2 , 	-   , 	2 , 	1 , 	4 , 	2 , 	7 , 	12 , 	2 , 	1 , 	-   , 	-   , 	-   , 	0 , 	-   , 	5 , 	195 ,,,,,,,,,,
SB, 	5 , 	5 , 	1 , 	1 , 	1 , 	1 , 	3 , 	1 , 	6 , 	4 , 	4 , 	5 , 	3 , 	3 , 	1 , 	1 , 	1 , 	1 , 	4 , 	3 , 	5 , 	0 , 	0 , 	1 , 	3 , 	12 , 	11 , 	47 , 	25 , 	25 , 	30 , 	9 , 	27 , 	27 , 	7 , 	1 , 	1 , 	2 , 	3 , 	9 , 	4 , 	9 , 	3 , 	-   , 	-   , 	1 , 	0 , 	0 , 	1 , 	2 , 	315 ,,,,,,,,,,
