Exit stations,Entry stations->,,SUNDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
GP, 	6 , 	9 , 	2 , 	2 , 	4 , 	5 , 	7 , 	6 , 	7 , 	3 , 	5 , 	4 , 	2 , 	1 , 	2 , 	1 , 	1 , 	1 , 	6 , 	4 , 	1 , 	0 , 	2 , 	4 , 	4 , 	17 , 	17 , 	89 , 	27 , 	20 , 	20 , 	13 , 	6 , 	6 , 	9 , 	1 , 	1 , 	0 , 	3 , 	3 , 	12 , 	8 , 	4 , 	1 , 	0 , 	0 , 	0 , 	1 , 	0 , 	3 , 	353 ,,,,,,,,,,,
BP, 	10 , 	12 , 	3 , 	1 , 	6 , 	2 , 	7 , 	7 , 	9 , 	10 , 	7 , 	5 , 	3 , 	5 , 	3 , 	1 , 	1 , 	2 , 	6 , 	3 , 	3 , 	1 , 	1 , 	1 , 	13 , 	33 , 	33 , 	218 , 	63 , 	48 , 	43 , 	5 , 	21 , 	7 , 	14 , 	1 , 	4 , 	1 , 	8 , 	7 , 	15 , 	26 , 	12 , 	2 , 	1 , 	1 , 	1 , 	3 , 	0 , 	5 , 	694 ,,,,,,,,,,,
DC, 	7 , 	4 , 	1 , 	2 , 	3 , 	1 , 	8 , 	7 , 	5 , 	7 , 	8 , 	4 , 	5 , 	6 , 	2 , 	3 , 	1 , 	2 , 	4 , 	3 , 	4 , 	0 , 	1 , 	2 , 	7 , 	25 , 	24 , 	153 , 	49 , 	43 , 	33 , 	6 , 	10 , 	13 , 	3 , 	2 , 	7 , 	1 , 	5 , 	5 , 	12 , 	37 , 	14 , 	1 , 	2 , 	2 , 	1 , 	3 , 	3 , 	4 , 	556 ,,,,,,,,,,,
CM, 	3 , 	7 , 	0 , 	1 , 	1 , 	0 , 	3 , 	3 , 	9 , 	1 , 	2 , 	1 , 	2 , 	3 , 	0 , 	0 , 	-   , 	1 , 	2 , 	0 , 	1 , 	0 , 	0 , 	1 , 	3 , 	13 , 	8 , 	61 , 	23 , 	18 , 	22 , 	7 , 	13 , 	4 , 	2 , 	-   , 	1 , 	1 , 	3 , 	1 , 	6 , 	28 , 	2 , 	-   , 	0 , 	-   , 	1 , 	1 , 	1 , 	3 , 	264 ,,,,,,,,,,,
CV, 	1 , 	-   , 	0 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	9 , 	7 , 	4 , 	8 , 	7 , 	2 , 	1 , 	1 , 	1 , 	0 , 	0 , 	-   , 	0 , 	0 , 	0 , 	3 , 	10 , 	10 , 	20 , 	7 , 	4 , 	2 , 	2 , 	1 , 	2 , 	-   , 	2 , 	13 , 	-   , 	1 , 	-   , 	1 , 	4 , 	0 , 	15 , 	0 , 	-   , 	-   , 	0 , 	-   , 	0 , 	145 ,,,,,,,,,,,
ED, 	2 , 	4 , 	1 , 	0 , 	2 , 	3 , 	4 , 	3 , 	2 , 	16 , 	16 , 	7 , 	11 , 	16 , 	6 , 	4 , 	3 , 	3 , 	1 , 	2 , 	0 , 	0 , 	-   , 	1 , 	4 , 	30 , 	13 , 	35 , 	15 , 	8 , 	9 , 	2 , 	3 , 	5 , 	1 , 	13 , 	9 , 	0 , 	1 , 	-   , 	1 , 	13 , 	0 , 	5 , 	11 , 	2 , 	3 , 	2 , 	0 , 	1 , 	293 ,,,,,,,,,,,
NC, 	0 , 	0 , 	-   , 	0 , 	1 , 	0 , 	2 , 	1 , 	1 , 	-   , 	1 , 	0 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	1 , 	4 , 	1 , 	0 , 	1 , 	-   , 	4 , 	3 , 	13 , 	1 , 	2 , 	2 , 	1 , 	0 , 	2 , 	1 , 	-   , 	-   , 	1 , 	7 , 	0 , 	-   , 	10 , 	1 , 	-   , 	2 , 	0 , 	-   , 	0 , 	3 , 	3 , 	72 ,,,,,,,,,,,
WP, 	4 , 	2 , 	1 , 	1 , 	4 , 	0 , 	9 , 	4 , 	5 , 	2 , 	7 , 	3 , 	2 , 	3 , 	3 , 	2 , 	1 , 	1 , 	33 , 	9 , 	21 , 	3 , 	2 , 	5 , 	2 , 	14 , 	10 , 	42 , 	9 , 	6 , 	9 , 	3 , 	4 , 	4 , 	2 , 	1 , 	1 , 	4 , 	7 , 	2 , 	2 , 	20 , 	0 , 	-   , 	5 , 	0 , 	1 , 	2 , 	2 , 	8 , 	289 ,,,,,,,,,,,
SS, 	2 , 	3 , 	1 , 	0 , 	1 , 	-   , 	1 , 	1 , 	1 , 	0 , 	1 , 	1 , 	1 , 	1 , 	1 , 	-   , 	1 , 	1 , 	1 , 	1 , 	4 , 	0 , 	-   , 	0 , 	2 , 	6 , 	6 , 	29 , 	14 , 	9 , 	12 , 	2 , 	6 , 	5 , 	1 , 	-   , 	0 , 	0 , 	1 , 	2 , 	4 , 	13 , 	1 , 	0 , 	-   , 	1 , 	1 , 	-   , 	1 , 	3 , 	144 ,,,,,,,,,,,
SB, 	6 , 	2 , 	1 , 	-   , 	1 , 	0 , 	1 , 	3 , 	2 , 	2 , 	3 , 	2 , 	2 , 	3 , 	0 , 	3 , 	1 , 	0 , 	2 , 	3 , 	2 , 	1 , 	0 , 	1 , 	4 , 	7 , 	5 , 	34 , 	18 , 	21 , 	27 , 	10 , 	16 , 	15 , 	7 , 	0 , 	2 , 	0 , 	2 , 	6 , 	3 , 	13 , 	3 , 	0 , 	0 , 	-   , 	1 , 	1 , 	1 , 	0 , 	237 ,,,,,,,,,,,
