Exit stations,Entry stations->,,SUNDAY,,,Mar 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
GP, 	18 , 	17 , 	8 , 	14 , 	44 , 	18 , 	25 , 	21 , 	27 , 	20 , 	27 , 	44 , 	14 , 	14 , 	5 , 	4 , 	7 , 	11 , 	13 , 	16 , 	17 , 	8 , 	4 , 	25 , 	24 , 	132 , 	154 , 	778 , 	221 , 	147 , 	146 , 	22 , 	38 , 	39 , 	29 , 	6 , 	18 , 	4 , 	18 , 	10 , 	51 , 	70 , 	39 , 	1 ," 	2,362 ",,,,,,,,,,,
BP, 	27 , 	39 , 	10 , 	14 , 	27 , 	16 , 	32 , 	18 , 	40 , 	27 , 	43 , 	51 , 	19 , 	24 , 	9 , 	10 , 	9 , 	20 , 	17 , 	18 , 	17 , 	3 , 	6 , 	11 , 	23 , 	235 , 	207 ," 	1,599 ", 	375 , 	256 , 	256 , 	44 , 	53 , 	37 , 	63 , 	7 , 	18 , 	2 , 	25 , 	23 , 	101 , 	57 , 	56 , 	2 ," 	3,942 ",,,,,,,,,,,
DC, 	23 , 	31 , 	11 , 	8 , 	53 , 	13 , 	22 , 	15 , 	27 , 	20 , 	41 , 	76 , 	21 , 	20 , 	10 , 	13 , 	15 , 	31 , 	17 , 	27 , 	27 , 	10 , 	10 , 	16 , 	17 , 	107 , 	116 , 	668 , 	228 , 	141 , 	129 , 	40 , 	52 , 	14 , 	34 , 	6 , 	53 , 	5 , 	28 , 	17 , 	90 , 	130 , 	86 , 	8 ," 	2,522 ",,,,,,,,,,,
CM, 	4 , 	14 , 	1 , 	2 , 	8 , 	3 , 	6 , 	6 , 	11 , 	6 , 	10 , 	9 , 	4 , 	7 , 	3 , 	7 , 	2 , 	6 , 	7 , 	9 , 	11 , 	2 , 	1 , 	5 , 	6 , 	48 , 	53 , 	262 , 	106 , 	48 , 	74 , 	33 , 	59 , 	30 , 	4 , 	1 , 	8 , 	3 , 	13 , 	6 , 	44 , 	66 , 	20 , 	1 ," 	1,026 ",,,,,,,,,,,
CV, 	4 , 	7 , 	6 , 	5 , 	14 , 	4 , 	15 , 	8 , 	11 , 	36 , 	27 , 	46 , 	21 , 	48 , 	13 , 	9 , 	4 , 	13 , 	3 , 	3 , 	3 , 	2 , 	1 , 	2 , 	6 , 	46 , 	42 , 	130 , 	58 , 	13 , 	14 , 	5 , 	8 , 	12 , 	2 , 	2 , 	44 , 	1 , 	4 , 	2 , 	3 , 	10 , 	4 , 	32 , 	737 ,,,,,,,,,,,
ED, 	7 , 	12 , 	10 , 	8 , 	38 , 	11 , 	13 , 	15 , 	23 , 	43 , 	54 , 	153 , 	21 , 	88 , 	28 , 	10 , 	21 , 	30 , 	5 , 	7 , 	5 , 	3 , 	2 , 	5 , 	9 , 	188 , 	105 , 	412 , 	162 , 	43 , 	25 , 	24 , 	20 , 	41 , 	8 , 	40 , 	7 , 	1 , 	6 , 	5 , 	9 , 	89 , 	9 , 	22 ," 	1,828 ",,,,,,,,,,,
NC, 	1 , 	2 , 	2 , 	1 , 	4 , 	1 , 	8 , 	4 , 	7 , 	2 , 	3 , 	10 , 	3 , 	2 , 	2 , 	1 , 	2 , 	3 , 	12 , 	5 , 	10 , 	3 , 	1 , 	8 , 	1 , 	15 , 	15 , 	53 , 	23 , 	3 , 	9 , 	3 , 	2 , 	6 , 	1 , 	0 , 	0 , 	2 , 	15 , 	3 , 	2 , 	19 , 	6 , 	-   , 	271 ,,,,,,,,,,,
WP, 	22 , 	27 , 	8 , 	7 , 	18 , 	12 , 	56 , 	20 , 	41 , 	6 , 	34 , 	61 , 	11 , 	21 , 	17 , 	11 , 	8 , 	25 , 	108 , 	27 , 	49 , 	7 , 	5 , 	24 , 	18 , 	58 , 	43 , 	163 , 	60 , 	23 , 	33 , 	16 , 	25 , 	26 , 	13 , 	4 , 	8 , 	15 , 	13 , 	11 , 	7 , 	45 , 	12 , 	2 ," 	1,213 ",,,,,,,,,,,
SS, 	9 , 	10 , 	2 , 	3 , 	9 , 	2 , 	3 , 	4 , 	7 , 	3 , 	7 , 	14 , 	3 , 	5 , 	3 , 	2 , 	4 , 	6 , 	9 , 	13 , 	9 , 	3 , 	1 , 	4 , 	2 , 	33 , 	33 , 	168 , 	66 , 	28 , 	38 , 	14 , 	30 , 	22 , 	6 , 	3 , 	5 , 	2 , 	8 , 	3 , 	31 , 	27 , 	8 , 	1 , 	656 ,,,,,,,,,,,
SB, 	9 , 	12 , 	1 , 	2 , 	8 , 	3 , 	7 , 	5 , 	10 , 	5 , 	11 , 	18 , 	3 , 	7 , 	8 , 	4 , 	6 , 	8 , 	6 , 	10 , 	7 , 	3 , 	1 , 	3 , 	6 , 	36 , 	28 , 	193 , 	116 , 	78 , 	102 , 	54 , 	114 , 	91 , 	38 , 	3 , 	9 , 	3 , 	7 , 	32 , 	4 , 	44 , 	25 , 	1 ," 	1,134 ",,,,,,,,,,,
SO, 	23 , 	37 , 	27 , 	50 , 	158 , 	29 , 	47 , 	26 , 	42 , 	8 , 	21 , 	32 , 	11 , 	10 , 	5 , 	2 , 	7 , 	21 , 	33 , 	62 , 	68 , 	38 , 	36 , 	70 , 	33 , 	259 , 	268 ," 	1,117 ", 	367 , 	115 , 	100 , 	43 , 	41 , 	81 , 	37 , 	8 , 	71 , 	13 , 	39 , 	16 , 	25 , 	27 , 	180 , 	11 ," 	3,705 ",,,,,,,,,,,
MB, 	8 , 	12 , 	6 , 	19 , 	77 , 	14 , 	21 , 	11 , 	20 , 	7 , 	14 , 	27 , 	5 , 	6 , 	6 , 	3 , 	4 , 	4 , 	9 , 	16 , 	15 , 	10 , 	8 , 	21 , 	9 , 	69 , 	80 , 	361 , 	171 , 	90 , 	93 , 	38 , 	54 , 	83 , 	26 , 	2 , 	10 , 	4 , 	13 , 	13 , 	23 , 	341 , 	11 , 	3 ," 	1,831 ",,,,,,,,,,,
WD, 	1 , 	2 , 	3 , 	1 , 	10 , 	2 , 	7 , 	4 , 	5 , 	17 , 	15 , 	49 , 	12 , 	44 , 	11 , 	7 , 	9 , 	10 , 	2 , 	2 , 	1 , 	0 , 	-   , 	1 , 	3 , 	39 , 	25 , 	80 , 	29 , 	10 , 	4 , 	4 , 	4 , 	7 , 	2 , 	32 , 	10 , 	-   , 	2 , 	1 , 	2 , 	16 , 	4 , 	2 , 	488 ,,,,,,,,,,,
Entries," 	1,237 "," 	1,793 "," 	1,259 "," 	1,406 "," 	4,059 "," 	1,674 "," 	2,738 "," 	1,988 "," 	3,035 "," 	1,773 "," 	2,841 "," 	3,442 "," 	1,353 "," 	1,817 "," 	1,195 ", 	739 , 	926 ," 	1,805 "," 	1,017 "," 	1,372 "," 	1,575 ", 	786 , 	583 ," 	1,758 "," 	1,880 "," 	4,731 "," 	3,937 "," 	15,651 "," 	6,691 "," 	4,603 "," 	4,952 "," 	2,320 "," 	4,056 "," 	2,344 ", 	947 , 	694 ," 	1,680 ", 	247 ," 	1,131 ", 	606 ," 	1,060 "," 	4,702 "," 	1,594 ", 	422 ," 	106,415 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
