Total Trip OD																																																			
																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
BP	"1,083"	"1,223"	482	446	"1,659"	542	"1,090"	"1,306"	"1,747"	"1,037"	"1,491"	698	"1,201"	771	374	268	311	164	692	450	571	316	234	651	"1,512"	"11,825"	"12,546"	"25,820"	"13,103"	"8,133"	"7,284"	"1,299"	525	"1,940"	"1,641"	328	648	269	752	"1,243"	"1,793"	"1,999"	"1,776"	230	100	121	240	626	158	289	"115,007"
DC	"2,431"	"3,008"	788	505	"2,093"	631	"1,222"	"1,778"	"2,303"	"1,310"	"3,464"	"1,977"	"2,315"	"1,312"	829	616	688	763	"1,389"	981	"1,029"	375	355	680	"1,491"	"15,226"	"16,925"	"18,942"	"13,785"	"8,997"	"8,135"	"1,710"	"2,293"	755	"1,045"	609	"1,610"	464	"1,450"	"2,129"	"3,127"	"4,939"	"4,668"	535	197	315	341	"1,611"	591	688	"145,420"
CM	385	349	120	89	554	138	189	460	761	126	103	113	123	90	102	61	73	32	240	194	239	53	55	113	236	"5,627"	"5,611"	"6,308"	"5,073"	"2,824"	"2,371"	"1,053"	"1,659"	832	280	58	105	30	286	395	698	"1,841"	"1,341"	19	24	12	81	271	26	32	"41,855"
CV	85	142	94	77	656	70	270	483	528	"1,568"	"1,091"	751	947	789	392	343	362	364	159	43	56	28	29	51	260	"5,977"	"4,453"	"3,326"	"3,148"	769	516	164	364	587	40	225	"1,986"	12	40	64	74	348	48	"1,468"	143	143	7	52	168	279	"34,039"
ED	266	380	199	192	"1,816"	347	748	"1,358"	"1,911"	"2,609"	"2,704"	"1,941"	"2,578"	"2,025"	"1,410"	695	990	950	194	100	103	14	15	103	524	"18,507"	"11,588"	"7,681"	"6,452"	"1,823"	"1,084"	666	667	"1,607"	115	"1,905"	839	39	90	96	100	"2,502"	219	629	"1,023"	484	23	124	861	"1,086"	"84,382"
NC	62	72	67	26	306	48	472	541	852	130	105	113	93	85	60	18	40	40	580	333	455	197	25	197	71	"2,138"	"1,765"	"1,536"	"1,824"	533	410	144	275	454	22	10	47	99	482	127	64	712	54	8	178	26	416	565	18	48	"16,943"
WP	313	221	104	133	"1,047"	179	"2,033"	"1,249"	"2,053"	330	346	413	269	141	350	114	129	152	"3,844"	"1,472"	"2,348"	474	311	945	250	"6,683"	"5,295"	"8,002"	"5,758"	"2,129"	"1,903"	777	806	"1,498"	275	53	103	454	441	250	315	"2,038"	207	53	376	134	220	545	88	228	"57,851"
SS	323	356	103	56	575	120	228	515	817	124	284	132	133	190	133	99	56	25	279	206	310	72	52	127	246	"4,745"	"4,987"	"5,125"	"5,004"	"2,090"	"1,932"	703	"1,530"	"2,083"	408	61	125	131	264	258	527	"1,162"	683	48	30	30	18	400	19	26	"37,950"
SB	475	540	206	119	661	124	325	699	744	141	425	235	222	275	156	68	24	104	350	256	260	121	99	213	443	"4,540"	"4,744"	"4,569"	"4,327"	"2,534"	"2,474"	"1,162"	"1,948"	"3,000"	717	85	103	95	276	587	318	"2,308"	478	50	44	22	51	371	52	33	"42,173"
SO	"1,461"	"1,994"	"1,339"	"1,888"	"3,986"	"1,284"	"2,189"	"1,838"	"2,310"	602	893	461	504	352	186	117	253	407	"2,106"	"2,713"	"3,239"	"2,075"	"1,487"	"2,590"	"2,517"	"7,058"	"6,050"	"19,962"	"7,865"	"4,497"	"2,710"	"2,020"	"1,677"	"4,065"	"1,559"	265	"1,907"	615	"1,746"	"1,054"	"1,671"	"2,493"	"8,906"	551	228	206	201	"1,597"	176	117	"117,987"
MB	438	740	359	335	"2,126"	387	568	771	988	189	307	238	138	130	121	63	74	49	335	199	227	78	111	140	402	"4,944"	"4,825"	"4,172"	"4,021"	"2,150"	"1,919"	"1,255"	"1,920"	"4,362"	"1,149"	56	221	51	177	548	391	"10,281"	"1,019"	65	60	29	59	249	11	6	"53,453"
WD	107	172	97	56	645	128	420	610	644	"1,450"	"1,045"	692	"1,170"	"1,143"	649	488	397	378	110	50	29	9	8	51	181	"7,596"	"4,824"	"2,604"	"2,479"	868	406	299	266	570	12	"1,507"	615	16	60	59	62	771	79	247	441	171	25	26	347	477	"35,556"
OA	189	545	396	490	"1,668"	382	423	490	599	351	218	344	205	123	159	133	162	221	422	539	394	292	150	195	131	"1,492"	863	"1,167"	710	293	294	185	103	166	21	67	731	148	358	26	29	301	39	344	281	90	71	364	138	185	"17,687"
WS	197	456	220	159	"1,068"	190	644	846	578	851	"1,131"	935	"1,188"	"1,068"	"1,927"	"1,699"	"1,893"	"1,754"	123	79	76	43	10	65	124	"2,888"	"1,895"	"1,244"	"1,276"	544	299	98	157	315	13	140	413	22	134	30	18	234	33	184	105	265	71	150	"2,070"	"2,096"	"32,018"
PC	135	83	20	33	197	76	479	351	476	192	257	211	98	106	131	44	39	39	"1,969"	570	776	145	146	314	206	799	591	"1,141"	"1,005"	381	309	80	238	350	54	6	27	412	223	40	61	223	47	43	90	72	52	764	30	58	"14,189"
AN	415	304	112	136	838	223	"2,095"	"1,518"	"2,141"	470	512	780	508	223	464	141	147	182	"3,118"	"1,145"	"1,875"	339	260	794	366	"5,675"	"4,640"	"4,817"	"4,564"	"1,661"	"1,114"	804	692	"1,656"	266	58	125	543	653	377	364	"2,051"	233	15	500	266	733	939	143	266	"52,261"
ML	244	435	245	279	"2,452"	310	594	996	949	863	"1,038"	"1,126"	"1,078"	706	"1,842"	"1,126"	"2,063"	"2,569"	240	176	170	43	70	132	196	"4,228"	"2,919"	"2,858"	"1,754"	617	339	188	195	630	22	155	789	15	99	22	32	254	11	335	126	"2,127"	18	150	674	904	"39,403"
BE	485	668	337	338	"3,775"	512	771	"1,384"	"1,232"	"1,217"	"1,584"	"1,457"	"1,765"	"1,628"	"2,457"	"1,712"	"2,385"	"3,524"	316	251	236	77	87	236	289	"4,261"	"2,874"	"2,552"	"2,154"	760	420	223	288	684	42	214	991	68	210	16	27	216	12	461	204	"2,537"	58	219	703	456	"49,373"
Grand Total	"72,410"	"101,427"	"58,198"	"51,957"	"174,344"	"57,879"	"107,933"	"131,434"	"138,245"	"81,547"	"116,988"	"71,060"	"92,776"	"73,019"	"65,846"	"41,384"	"51,822"	"57,941"	"74,420"	"68,938"	"79,042"	"44,934"	"36,655"	"72,841"	"106,800"	"419,888"	"325,564"	"352,404"	"276,388"	"162,945"	"162,342"	"90,080"	"123,818"	"141,511"	"42,009"	"33,930"	"84,593"	"17,720"	"54,984"	"37,583"	"40,926"	"137,814"	"54,452"	"34,531"	"20,005"	"34,234"	"14,524"	"51,595"	"39,562"	"48,189"	"4,831,431"
