Exit stations,Entry stations->,,SATURDAY,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
GP, 	3 , 	5 , 	1 , 	0 , 	3 , 	1 , 	3 , 	2 , 	5 , 	2 , 	5 , 	3 , 	1 , 	3 , 	2 , 	0 , 	0 , 	-   , 	2 , 	1 , 	1 , 	1 , 	-   , 	2 , 	4 , 	11 , 	17 , 	35 , 	32 , 	19 , 	17 , 	4 , 	6 , 	5 , 	4 , 	0 , 	1 , 	-   , 	4 , 	2 , 	4 , 	3 , 	5 , 	1 , 	1 , 	-   , 	-   , 	-   , 	0 , 	1 , 	218 ,,,,,,,,,,
BP, 	4 , 	6 , 	-   , 	-   , 	2 , 	2 , 	4 , 	3 , 	4 , 	3 , 	7 , 	2 , 	4 , 	5 , 	1 , 	2 , 	1 , 	1 , 	2 , 	1 , 	1 , 	-   , 	-   , 	2 , 	6 , 	21 , 	20 , 	80 , 	58 , 	43 , 	36 , 	8 , 	3 , 	9 , 	6 , 	1 , 	2 , 	1 , 	2 , 	3 , 	7 , 	11 , 	4 , 	-   , 	1 , 	1 , 	-   , 	-   , 	1 , 	1 , 	376 ,,,,,,,,,,
DC, 	3 , 	3 , 	1 , 	1 , 	4 , 	1 , 	4 , 	3 , 	4 , 	3 , 	7 , 	3 , 	2 , 	3 , 	2 , 	1 , 	1 , 	1 , 	2 , 	1 , 	0 , 	1 , 	-   , 	0 , 	5 , 	16 , 	17 , 	54 , 	39 , 	30 , 	33 , 	6 , 	7 , 	5 , 	4 , 	-   , 	1 , 	1 , 	1 , 	2 , 	4 , 	17 , 	4 , 	-   , 	1 , 	1 , 	-   , 	-   , 	1 , 	2 , 	298 ,,,,,,,,,,
CM, 	1 , 	2 , 	0 , 	1 , 	1 , 	0 , 	2 , 	1 , 	1 , 	0 , 	1 , 	0 , 	2 , 	0 , 	0 , 	0 , 	1 , 	-   , 	1 , 	0 , 	1 , 	-   , 	-   , 	0 , 	1 , 	3 , 	2 , 	18 , 	9 , 	11 , 	12 , 	4 , 	6 , 	3 , 	1 , 	-   , 	0 , 	-   , 	2 , 	2 , 	4 , 	15 , 	3 , 	-   , 	-   , 	1 , 	-   , 	-   , 	2 , 	1 , 	112 ,,,,,,,,,,
CV, 	-   , 	0 , 	1 , 	1 , 	0 , 	-   , 	1 , 	1 , 	1 , 	4 , 	11 , 	6 , 	6 , 	9 , 	5 , 	2 , 	2 , 	2 , 	-   , 	-   , 	0 , 	-   , 	-   , 	-   , 	1 , 	4 , 	6 , 	5 , 	5 , 	3 , 	1 , 	2 , 	1 , 	0 , 	-   , 	1 , 	13 , 	0 , 	0 , 	-   , 	0 , 	2 , 	-   , 	7 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	104 ,,,,,,,,,,
ED, 	2 , 	3 , 	0 , 	0 , 	1 , 	0 , 	2 , 	2 , 	3 , 	5 , 	17 , 	5 , 	8 , 	15 , 	5 , 	3 , 	2 , 	2 , 	1 , 	2 , 	0 , 	-   , 	-   , 	-   , 	3 , 	5 , 	4 , 	6 , 	5 , 	2 , 	3 , 	1 , 	2 , 	0 , 	-   , 	10 , 	3 , 	-   , 	-   , 	-   , 	1 , 	3 , 	-   , 	4 , 	2 , 	3 , 	-   , 	-   , 	1 , 	-   , 	130 ,,,,,,,,,,
NC, 	0 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	1 , 	0 , 	1 , 	1 , 	0 , 	-   , 	1 , 	-   , 	0 , 	-   , 	5 , 	3 , 	2 , 	1 , 	-   , 	1 , 	-   , 	3 , 	0 , 	2 , 	1 , 	1 , 	2 , 	0 , 	0 , 	1 , 	-   , 	-   , 	0 , 	-   , 	1 , 	-   , 	-   , 	2 , 	-   , 	-   , 	0 , 	-   , 	-   , 	-   , 	1 , 	1 , 	32 ,,,,,,,,,,
WP, 	2 , 	4 , 	1 , 	1 , 	2 , 	0 , 	5 , 	2 , 	5 , 	1 , 	5 , 	4 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	21 , 	5 , 	12 , 	3 , 	1 , 	4 , 	1 , 	8 , 	6 , 	13 , 	7 , 	5 , 	11 , 	2 , 	2 , 	2 , 	3 , 	0 , 	0 , 	2 , 	4 , 	1 , 	-   , 	4 , 	1 , 	-   , 	1 , 	2 , 	-   , 	-   , 	3 , 	4 , 	164 ,,,,,,,,,,
SS, 	1 , 	1 , 	1 , 	0 , 	0 , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	1 , 	1 , 	0 , 	0 , 	1 , 	-   , 	-   , 	2 , 	1 , 	-   , 	-   , 	-   , 	-   , 	2 , 	4 , 	3 , 	12 , 	9 , 	5 , 	8 , 	2 , 	5 , 	2 , 	2 , 	-   , 	0 , 	-   , 	1 , 	1 , 	3 , 	3 , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	2 , 	80 ,,,,,,,,,,
SB, 	3 , 	1 , 	-   , 	-   , 	1 , 	1 , 	2 , 	0 , 	3 , 	1 , 	1 , 	1 , 	-   , 	1 , 	1 , 	1 , 	1 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	3 , 	4 , 	3 , 	9 , 	10 , 	8 , 	10 , 	2 , 	8 , 	6 , 	4 , 	0 , 	0 , 	-   , 	0 , 	2 , 	1 , 	5 , 	1 , 	0 , 	0 , 	-   , 	-   , 	-   , 	-   , 	1 , 	91 ,,,,,,,,,,
SO, 	3 , 	3 , 	1 , 	0 , 	1 , 	0 , 	4 , 	2 , 	2 , 	2 , 	4 , 	2 , 	3 , 	3 , 	-   , 	-   , 	0 , 	0 , 	4 , 	1 , 	2 , 	1 , 	0 , 	0 , 	4 , 	3 , 	3 , 	18 , 	11 , 	6 , 	6 , 	2 , 	8 , 	18 , 	12 , 	0 , 	1 , 	1 , 	5 , 	1 , 	2 , 	3 , 	8 , 	-   , 	1 , 	0 , 	-   , 	-   , 	1 , 	6 , 	154 ,,,,,,,,,,
MB, 	1 , 	1 , 	0 , 	0 , 	1 , 	1 , 	0 , 	1 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	2 , 	0 , 	-   , 	-   , 	-   , 	1 , 	0 , 	-   , 	-   , 	-   , 	1 , 	1 , 	2 , 	5 , 	6 , 	4 , 	5 , 	1 , 	3 , 	7 , 	3 , 	-   , 	1 , 	-   , 	1 , 	3 , 	2 , 	6 , 	1 , 	1 , 	-   , 	-   , 	-   , 	-   , 	0 , 	1 , 	66 ,,,,,,,,,,
WD, 	-   , 	1 , 	1 , 	-   , 	0 , 	-   , 	1 , 	-   , 	1 , 	3 , 	5 , 	4 , 	3 , 	5 , 	3 , 	1 , 	0 , 	0 , 	-   , 	0 , 	1 , 	-   , 	-   , 	0 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	0 , 	8 , 	5 , 	-   , 	-   , 	-   , 	1 , 	0 , 	1 , 	0 , 	-   , 	0 , 	-   , 	-   , 	-   , 	-   , 	53 ,,,,,,,,,,
OA, 	1 , 	1 , 	0 , 	0 , 	2 , 	-   , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	0 , 	1 , 	0 , 	1 , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	0 , 	-   , 	0 , 	1 , 	2 , 	0 , 	0 , 	2 , 	-   , 	1 , 	0 , 	-   , 	-   , 	1 , 	-   , 	1 , 	-   , 	0 , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	0 , 	23 ,,,,,,,,,,
WS, 	1 , 	2 , 	1 , 	2 , 	3 , 	1 , 	2 , 	2 , 	4 , 	2 , 	5 , 	2 , 	4 , 	2 , 	5 , 	3 , 	6 , 	6 , 	0 , 	0 , 	1 , 	-   , 	0 , 	-   , 	1 , 	2 , 	2 , 	4 , 	3 , 	1 , 	1 , 	-   , 	1 , 	0 , 	1 , 	0 , 	3 , 	0 , 	1 , 	0 , 	0 , 	0 , 	-   , 	-   , 	0 , 	1 , 	-   , 	-   , 	-   , 	1 , 	75 ,,,,,,,,,,
ML, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,
BE, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,
