Exit stations,Entry stations->,,TOTAL,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
CM, 	44 , 	83 , 	10 , 	25 , 	55 , 	7 , 	95 , 	86 , 	116 , 	12 , 	75 , 	46 , 	30 , 	41 , 	23 , 	40 , 	25 , 	16 , 	31 , 	5 , 	38 , 	2 , 	-   , 	11 , 	47 , 	429 , 	465 , 	854 , 	767 , 	509 , 	550 , 	155 , 	224 , 	113 , 	37 , 	4 , 	39 , 	9 , 	92 , 	55 , 	177 , 	525 , 	209 , 	3 , 	-   , 	13 , 	-   , 	-   , 	27 , 	85 ," 	6,304 ",,,,,,,,,,,,,
CV, 	13 , 	19 , 	27 , 	12 , 	29 , 	65 , 	46 , 	58 , 	63 , 	222 , 	377 , 	233 , 	307 , 	297 , 	79 , 	106 , 	84 , 	89 , 	8 , 	4 , 	19 , 	1 , 	2 , 	7 , 	73 , 	234 , 	387 , 	257 , 	383 , 	173 , 	88 , 	37 , 	19 , 	25 , 	5 , 	42 , 	473 , 	4 , 	4 , 	11 , 	16 , 	46 , 	16 , 	246 , 	10 , 	22 , 	-   , 	-   , 	2 , 	7 ," 	4,747 ",,,,,,,,,,,,,
ED, 	68 , 	113 , 	14 , 	36 , 	54 , 	44 , 	205 , 	140 , 	145 , 	432 , 	804 , 	335 , 	416 , 	610 , 	245 , 	180 , 	158 , 	151 , 	17 , 	34 , 	14 , 	5 , 	5 , 	8 , 	131 , 	597 , 	677 , 	606 ," 	1,000 ", 	237 , 	161 , 	58 , 	56 , 	157 , 	41 , 	403 , 	90 , 	4 , 	6 , 	42 , 	36 , 	86 , 	31 , 	121 , 	33 , 	129 , 	-   , 	-   , 	29 , 	10 ," 	8,974 ",,,,,,,,,,,,,
NC, 	24 , 	41 , 	23 , 	8 , 	12 , 	1 , 	112 , 	112 , 	78 , 	21 , 	15 , 	25 , 	16 , 	22 , 	7 , 	6 , 	8 , 	9 , 	293 , 	172 , 	140 , 	37 , 	4 , 	12 , 	4 , 	234 , 	249 , 	164 , 	318 , 	65 , 	82 , 	26 , 	12 , 	31 , 	4 , 	-   , 	4 , 	13 , 	132 , 	5 , 	38 , 	101 , 	15 , 	1 , 	8 , 	3 , 	-   , 	-   , 	51 , 	64 ," 	2,822 ",,,,,,,,,,,,,
WP, 	76 , 	96 , 	19 , 	74 , 	95 , 	38 , 	477 , 	241 , 	419 , 	63 , 	116 , 	104 , 	71 , 	28 , 	35 , 	48 , 	40 , 	24 , 	831 , 	280 , 	453 , 	135 , 	37 , 	120 , 	135 , 	705 , 	920 ," 	1,062 "," 	1,200 ", 	461 , 	491 , 	113 , 	123 , 	131 , 	98 , 	1 , 	12 , 	119 , 	102 , 	50 , 	67 , 	265 , 	17 , 	1 , 	35 , 	34 , 	-   , 	-   , 	101 , 	274 ," 	10,437 ",,,,,,,,,,,,,
SS, 	78 , 	123 , 	14 , 	7 , 	10 , 	13 , 	46 , 	109 , 	100 , 	25 , 	43 , 	77 , 	50 , 	36 , 	23 , 	34 , 	30 , 	11 , 	32 , 	61 , 	20 , 	4 , 	3 , 	19 , 	102 , 	369 , 	317 , 	634 , 	700 , 	404 , 	371 , 	79 , 	191 , 	208 , 	62 , 	18 , 	46 , 	3 , 	52 , 	44 , 	88 , 	136 , 	87 , 	1 , 	1 , 	-   , 	-   , 	-   , 	35 , 	76 ," 	4,992 ",,,,,,,,,,,,,
SB, 	141 , 	102 , 	38 , 	14 , 	35 , 	85 , 	79 , 	88 , 	96 , 	21 , 	66 , 	69 , 	60 , 	33 , 	49 , 	50 , 	12 , 	8 , 	84 , 	59 , 	31 , 	2 , 	2 , 	20 , 	92 , 	251 , 	366 , 	431 , 	685 , 	414 , 	404 , 	234 , 	362 , 	421 , 	160 , 	14 , 	28 , 	39 , 	72 , 	128 , 	39 , 	164 , 	95 , 	6 , 	5 , 	11 , 	-   , 	-   , 	42 , 	100 ," 	5,807 ",,,,,,,,,,,,,
SO, 	151 , 	279 , 	32 , 	18 , 	58 , 	10 , 	140 , 	66 , 	125 , 	66 , 	114 , 	67 , 	184 , 	126 , 	46 , 	47 , 	30 , 	18 , 	252 , 	94 , 	92 , 	15 , 	35 , 	19 , 	203 , 	90 , 	126 , 	492 , 	429 , 	271 , 	148 , 	117 , 	439 , 	605 , 	445 , 	29 , 	71 , 	77 , 	305 , 	105 , 	107 , 	104 , 	385 , 	5 , 	27 , 	17 , 	-   , 	-   , 	62 , 	367 ," 	7,110 ",,,,,,,,,,,,,
MB, 	80 , 	160 , 	43 , 	16 , 	40 , 	24 , 	45 , 	47 , 	68 , 	19 , 	49 , 	66 , 	31 , 	15 , 	48 , 	32 , 	1 , 	28 , 	75 , 	20 , 	12 , 	1 , 	7 , 	7 , 	42 , 	181 , 	261 , 	317 , 	518 , 	276 , 	217 , 	109 , 	224 , 	304 , 	201 , 	14 , 	30 , 	1 , 	15 , 	86 , 	95 , 	319 , 	56 , 	7 , 	4 , 	2 , 	-   , 	-   , 	13 , 	51 ," 	4,277 ",,,,,,,,,,,,,
WD, 	23 , 	21 , 	4 , 	3 , 	5 , 	14 , 	38 , 	44 , 	31 , 	171 , 	186 , 	170 , 	164 , 	214 , 	113 , 	91 , 	52 , 	27 , 	17 , 	2 , 	5 , 	4 , 	2 , 	5 , 	36 , 	150 , 	131 , 	165 , 	239 , 	75 , 	93 , 	61 , 	7 , 	29 , 	2 , 	282 , 	174 , 	4 , 	4 , 	1 , 	7 , 	14 , 	7 , 	20 , 	19 , 	31 , 	-   , 	-   , 	1 , 	-   ," 	2,958 ",,,,,,,,,,,,,
