Exit stations,Entry stations->,,SUNDAY,,,Apr 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
ED, 	7 , 	14 , 	4 , 	8 , 	44 , 	9 , 	15 , 	13 , 	17 , 	55 , 	53 , 	450 , 	27 , 	75 , 	34 , 	17 , 	24 , 	36 , 	7 , 	3 , 	6 , 	2 , 	2 , 	6 , 	15 , 	519 , 	193 , 	439 , 	252 , 	65 , 	38 , 	22 , 	30 , 	45 , 	7 , 	44 , 	44 , 	-   , 	8 , 	4 , 	4 , 	122 , 	9 , 	22 ," 	2,807 ",,,,,,,,,,,
NC, 	3 , 	3 , 	2 , 	2 , 	10 , 	2 , 	9 , 	6 , 	14 , 	3 , 	6 , 	34 , 	3 , 	3 , 	2 , 	2 , 	2 , 	4 , 	20 , 	9 , 	19 , 	5 , 	1 , 	12 , 	2 , 	83 , 	43 , 	83 , 	42 , 	13 , 	6 , 	7 , 	8 , 	12 , 	5 , 	1 , 	1 , 	3 , 	23 , 	2 , 	2 , 	29 , 	4 , 	1 , 	538 ,,,,,,,,,,,
WP, 	29 , 	24 , 	10 , 	10 , 	32 , 	23 , 	84 , 	39 , 	54 , 	12 , 	45 , 	100 , 	18 , 	25 , 	20 , 	13 , 	14 , 	24 , 	167 , 	54 , 	84 , 	22 , 	15 , 	29 , 	32 , 	180 , 	88 , 	281 , 	154 , 	39 , 	49 , 	29 , 	37 , 	37 , 	20 , 	8 , 	10 , 	25 , 	18 , 	12 , 	14 , 	72 , 	18 , 	3 ," 	2,072 ",,,,,,,,,,,
SS, 	5 , 	7 , 	2 , 	6 , 	12 , 	2 , 	4 , 	8 , 	9 , 	3 , 	9 , 	24 , 	4 , 	4 , 	4 , 	2 , 	2 , 	6 , 	10 , 	6 , 	7 , 	3 , 	1 , 	3 , 	5 , 	61 , 	50 , 	230 , 	95 , 	49 , 	43 , 	21 , 	30 , 	33 , 	9 , 	3 , 	6 , 	4 , 	15 , 	7 , 	26 , 	48 , 	16 , 	2 , 	889 ,,,,,,,,,,,
SB, 	9 , 	12 , 	3 , 	5 , 	13 , 	5 , 	10 , 	6 , 	14 , 	8 , 	12 , 	25 , 	8 , 	8 , 	5 , 	2 , 	4 , 	4 , 	14 , 	7 , 	8 , 	3 , 	3 , 	4 , 	11 , 	59 , 	58 , 	216 , 	131 , 	73 , 	102 , 	50 , 	104 , 	88 , 	42 , 	2 , 	4 , 	2 , 	13 , 	23 , 	6 , 	60 , 	22 , 	1 ," 	1,251 ",,,,,,,,,,,
SO, 	21 , 	36 , 	30 , 	53 , 	128 , 	35 , 	67 , 	36 , 	62 , 	17 , 	28 , 	29 , 	14 , 	14 , 	10 , 	5 , 	10 , 	24 , 	61 , 	72 , 	104 , 	51 , 	40 , 	84 , 	50 , 	343 , 	334 ," 	1,254 ", 	422 , 	189 , 	132 , 	58 , 	58 , 	90 , 	56 , 	10 , 	68 , 	23 , 	52 , 	25 , 	29 , 	30 , 	188 , 	19 ," 	4,455 ",,,,,,,,,,,
MB, 	12 , 	15 , 	15 , 	15 , 	76 , 	16 , 	28 , 	20 , 	34 , 	12 , 	15 , 	34 , 	11 , 	8 , 	5 , 	2 , 	3 , 	4 , 	10 , 	13 , 	18 , 	8 , 	6 , 	24 , 	14 , 	136 , 	116 , 	424 , 	268 , 	123 , 	115 , 	51 , 	81 , 	95 , 	29 , 	2 , 	10 , 	4 , 	14 , 	16 , 	21 , 	412 , 	17 , 	5 ," 	2,352 ",,,,,,,,,,,
WD, 	3 , 	3 , 	3 , 	2 , 	17 , 	7 , 	8 , 	8 , 	11 , 	29 , 	37 , 	203 , 	27 , 	72 , 	30 , 	12 , 	10 , 	18 , 	5 , 	2 , 	2 , 	1 , 	1 , 	3 , 	6 , 	161 , 	67 , 	129 , 	98 , 	25 , 	12 , 	8 , 	8 , 	12 , 	2 , 	64 , 	19 , 	1 , 	6 , 	3 , 	1 , 	42 , 	4 , 	7 ," 	1,183 ",,,,,,,,,,,
Entries," 	1,681 "," 	2,502 "," 	1,597 "," 	1,868 "," 	5,359 "," 	2,370 "," 	3,252 "," 	2,916 "," 	3,267 "," 	2,580 "," 	3,536 "," 	6,625 "," 	1,963 "," 	2,381 "," 	1,695 ", 	920 ," 	1,229 "," 	2,660 "," 	1,728 "," 	1,483 "," 	2,076 "," 	1,073 ", 	829 ," 	2,130 "," 	2,897 "," 	8,862 "," 	5,782 "," 	18,054 "," 	9,396 "," 	6,033 "," 	5,652 "," 	2,844 "," 	4,793 "," 	3,147 "," 	1,167 "," 	1,039 "," 	2,805 ", 	544 ," 	1,915 ", 	814 ," 	1,167 "," 	6,260 "," 	2,075 "," 	1,101 "," 	144,063 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
