Exit stations,Entry stations->,,WEEKDAY,,,Aug 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
SS, 	16 , 	32 , 	12 , 	11 , 	40 , 	10 , 	31 , 	72 , 	85 , 	12 , 	16 , 	17 , 	17 , 	15 , 	9 , 	6 , 	11 , 	9 , 	24 , 	21 , 	21 , 	7 , 	6 , 	8 , 	16 , 	699 , 	805 , 	535 , 	395 , 	133 , 	117 , 	49 , 	87 , 	80 , 	21 , 	3 , 	24 , 	11 , 	38 , 	18 , 	39 , 	52 , 	68 , 	6 , 	3 , 	-   ," 	3,708 ",,,,,,,,,
SB, 	24 , 	47 , 	13 , 	8 , 	51 , 	20 , 	34 , 	69 , 	89 , 	24 , 	24 , 	36 , 	19 , 	20 , 	17 , 	6 , 	5 , 	10 , 	23 , 	28 , 	26 , 	11 , 	10 , 	18 , 	25 , 	659 , 	777 , 	479 , 	404 , 	138 , 	150 , 	82 , 	153 , 	161 , 	67 , 	5 , 	14 , 	17 , 	54 , 	39 , 	15 , 	73 , 	61 , 	4 , 	4 , 	-   ," 	4,013 ",,,,,,,,,
SO, 	59 , 	120 , 	75 , 	107 , 	205 , 	77 , 	139 , 	108 , 	130 , 	49 , 	70 , 	42 , 	46 , 	33 , 	22 , 	15 , 	25 , 	52 , 	130 , 	186 , 	202 , 	96 , 	84 , 	152 , 	124 , 	523 , 	535 ," 	1,218 ", 	492 , 	206 , 	181 , 	103 , 	118 , 	206 , 	135 , 	26 , 	129 , 	69 , 	163 , 	45 , 	63 , 	51 , 	313 , 	40 , 	24 , 	-   ," 	6,990 ",,,,,,,,,
MB, 	30 , 	73 , 	30 , 	43 , 	203 , 	52 , 	66 , 	125 , 	152 , 	23 , 	29 , 	22 , 	12 , 	8 , 	6 , 	4 , 	5 , 	7 , 	29 , 	23 , 	30 , 	15 , 	11 , 	25 , 	41 ," 	1,117 "," 	1,461 ", 	728 , 	626 , 	252 , 	232 , 	146 , 	178 , 	259 , 	102 , 	5 , 	18 , 	13 , 	35 , 	66 , 	49 , 	319 , 	48 , 	5 , 	9 , 	-   ," 	6,734 ",,,,,,,,,
WD, 	5 , 	17 , 	9 , 	10 , 	80 , 	13 , 	30 , 	100 , 	120 , 	87 , 	63 , 	96 , 	56 , 	110 , 	38 , 	17 , 	28 , 	38 , 	6 , 	3 , 	3 , 	3 , 	2 , 	5 , 	13 , 	922 , 	775 , 	337 , 	288 , 	69 , 	41 , 	24 , 	26 , 	45 , 	4 , 	93 , 	48 , 	1 , 	6 , 	7 , 	6 , 	50 , 	6 , 	20 , 	38 , 	-   ," 	3,759 ",,,,,,,,,
OA, 	11 , 	36 , 	33 , 	40 , 	85 , 	32 , 	37 , 	43 , 	53 , 	21 , 	11 , 	44 , 	9 , 	7 , 	12 , 	7 , 	21 , 	38 , 	36 , 	50 , 	43 , 	23 , 	14 , 	21 , 	8 , 	169 , 	131 , 	115 , 	84 , 	28 , 	23 , 	15 , 	10 , 	12 , 	2 , 	10 , 	76 , 	13 , 	29 , 	2 , 	3 , 	28 , 	6 , 	34 , 	11 , 	-   ," 	1,538 ",,,,,,,,,
WS, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,
Entries," 	4,413 "," 	8,626 "," 	4,943 "," 	4,497 "," 	12,876 "," 	5,698 "," 	9,207 "," 	13,152 "," 	13,782 "," 	6,885 "," 	8,279 "," 	6,465 "," 	6,113 "," 	5,892 "," 	4,842 "," 	3,147 "," 	4,959 "," 	9,398 "," 	6,277 "," 	7,807 "," 	7,139 "," 	3,723 "," 	3,013 "," 	5,672 "," 	7,613 "," 	43,185 "," 	44,230 "," 	32,376 "," 	25,299 "," 	12,779 "," 	13,175 "," 	8,047 "," 	11,910 "," 	9,168 "," 	4,631 "," 	3,026 "," 	8,406 "," 	2,849 "," 	6,434 "," 	3,721 "," 	3,904 "," 	7,629 "," 	7,023 "," 	3,617 "," 	1,625 ", 	-   ," 	427,453 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
