Exit stations,Entry stations->,,SUNDAY,,,Jan 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
DC, 	3 , 	8 , 	1 , 	1 , 	3 , 	1 , 	3 , 	4 , 	5 , 	4 , 	5 , 	3 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	3 , 	0 , 	1 , 	1 , 	7 , 	18 , 	17 , 	116 , 	42 , 	28 , 	32 , 	4 , 	9 , 	9 , 	3 , 	0 , 	2 , 	1 , 	3 , 	3 , 	14 , 	37 , 	8 , 	-   , 	1 , 	2 , 	2 , 	0 , 	3 , 	3 , 	424 ,,,,,,,,,,,
CM, 	1 , 	4 , 	1 , 	0 , 	1 , 	-   , 	1 , 	2 , 	4 , 	2 , 	2 , 	2 , 	2 , 	2 , 	1 , 	-   , 	-   , 	1 , 	2 , 	-   , 	0 , 	0 , 	-   , 	-   , 	1 , 	5 , 	3 , 	44 , 	20 , 	15 , 	18 , 	5 , 	8 , 	2 , 	2 , 	-   , 	0 , 	1 , 	2 , 	2 , 	6 , 	21 , 	3 , 	0 , 	-   , 	-   , 	-   , 	0 , 	0 , 	3 , 	193 ,,,,,,,,,,,
CV, 	0 , 	1 , 	-   , 	1 , 	1 , 	-   , 	1 , 	0 , 	1 , 	8 , 	4 , 	7 , 	7 , 	7 , 	2 , 	1 , 	3 , 	1 , 	-   , 	0 , 	0 , 	0 , 	1 , 	0 , 	2 , 	4 , 	7 , 	17 , 	6 , 	3 , 	1 , 	0 , 	1 , 	2 , 	-   , 	1 , 	13 , 	0 , 	-   , 	0 , 	0 , 	2 , 	-   , 	14 , 	1 , 	0 , 	-   , 	1 , 	0 , 	0 , 	121 ,,,,,,,,,,,
ED, 	0 , 	3 , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	2 , 	9 , 	14 , 	8 , 	9 , 	13 , 	5 , 	2 , 	7 , 	4 , 	1 , 	1 , 	0 , 	-   , 	-   , 	0 , 	4 , 	18 , 	9 , 	24 , 	8 , 	7 , 	4 , 	2 , 	3 , 	3 , 	1 , 	9 , 	5 , 	-   , 	1 , 	0 , 	0 , 	13 , 	1 , 	3 , 	8 , 	1 , 	4 , 	3 , 	0 , 	1 , 	224 ,,,,,,,,,,,
NC, 	0 , 	1 , 	-   , 	1 , 	0 , 	0 , 	3 , 	1 , 	1 , 	0 , 	1 , 	0 , 	0 , 	0 , 	1 , 	0 , 	0 , 	-   , 	4 , 	1 , 	3 , 	1 , 	1 , 	0 , 	0 , 	4 , 	2 , 	8 , 	2 , 	0 , 	1 , 	0 , 	0 , 	2 , 	0 , 	0 , 	0 , 	1 , 	6 , 	0 , 	0 , 	5 , 	1 , 	-   , 	1 , 	0 , 	1 , 	0 , 	3 , 	2 , 	62 ,,,,,,,,,,,
WP, 	2 , 	4 , 	1 , 	1 , 	3 , 	0 , 	5 , 	3 , 	4 , 	2 , 	4 , 	3 , 	2 , 	4 , 	1 , 	1 , 	0 , 	0 , 	27 , 	7 , 	12 , 	6 , 	1 , 	3 , 	2 , 	12 , 	8 , 	30 , 	7 , 	7 , 	8 , 	3 , 	4 , 	4 , 	2 , 	1 , 	1 , 	6 , 	4 , 	2 , 	1 , 	15 , 	1 , 	-   , 	3 , 	1 , 	0 , 	2 , 	1 , 	6 , 	227 ,,,,,,,,,,,
SS, 	1 , 	4 , 	1 , 	-   , 	1 , 	0 , 	-   , 	1 , 	1 , 	0 , 	2 , 	1 , 	1 , 	2 , 	1 , 	-   , 	0 , 	0 , 	2 , 	1 , 	1 , 	-   , 	-   , 	1 , 	2 , 	4 , 	7 , 	17 , 	11 , 	9 , 	11 , 	2 , 	5 , 	6 , 	2 , 	-   , 	1 , 	0 , 	1 , 	3 , 	3 , 	8 , 	2 , 	0 , 	-   , 	0 , 	-   , 	0 , 	0 , 	2 , 	116 ,,,,,,,,,,,
SB, 	2 , 	4 , 	1 , 	1 , 	0 , 	1 , 	0 , 	2 , 	2 , 	1 , 	2 , 	-   , 	2 , 	1 , 	0 , 	1 , 	0 , 	0 , 	2 , 	1 , 	2 , 	-   , 	-   , 	1 , 	5 , 	6 , 	5 , 	21 , 	8 , 	10 , 	18 , 	6 , 	16 , 	11 , 	5 , 	-   , 	1 , 	-   , 	3 , 	5 , 	3 , 	8 , 	3 , 	-   , 	0 , 	-   , 	1 , 	-   , 	0 , 	1 , 	163 ,,,,,,,,,,,
SO, 	2 , 	8 , 	4 , 	0 , 	5 , 	1 , 	7 , 	5 , 	4 , 	1 , 	3 , 	3 , 	4 , 	1 , 	0 , 	1 , 	1 , 	0 , 	10 , 	3 , 	6 , 	1 , 	2 , 	2 , 	5 , 	5 , 	7 , 	28 , 	18 , 	10 , 	5 , 	3 , 	12 , 	21 , 	12 , 	0 , 	5 , 	2 , 	11 , 	5 , 	4 , 	13 , 	9 , 	1 , 	3 , 	1 , 	0 , 	0 , 	2 , 	7 , 	262 ,,,,,,,,,,,
MB, 	1 , 	2 , 	1 , 	1 , 	2 , 	1 , 	2 , 	2 , 	4 , 	1 , 	1 , 	1 , 	1 , 	1 , 	-   , 	1 , 	0 , 	0 , 	1 , 	0 , 	-   , 	0 , 	-   , 	2 , 	1 , 	4 , 	2 , 	10 , 	7 , 	7 , 	5 , 	4 , 	6 , 	11 , 	3 , 	1 , 	1 , 	1 , 	1 , 	2 , 	2 , 	31 , 	4 , 	-   , 	1 , 	-   , 	0 , 	-   , 	0 , 	1 , 	127 ,,,,,,,,,,,
WD, 	1 , 	0 , 	-   , 	-   , 	1 , 	-   , 	1 , 	1 , 	0 , 	5 , 	12 , 	4 , 	12 , 	12 , 	4 , 	3 , 	2 , 	3 , 	1 , 	0 , 	0 , 	-   , 	-   , 	1 , 	1 , 	5 , 	3 , 	10 , 	6 , 	2 , 	1 , 	-   , 	0 , 	1 , 	-   , 	12 , 	5 , 	-   , 	0 , 	0 , 	-   , 	3 , 	0 , 	1 , 	4 , 	0 , 	0 , 	0 , 	0 , 	0 , 	120 ,,,,,,,,,,,
OA, 	0 , 	3 , 	0 , 	0 , 	2 , 	1 , 	1 , 	0 , 	1 , 	3 , 	2 , 	1 , 	2 , 	1 , 	1 , 	1 , 	0 , 	0 , 	2 , 	1 , 	1 , 	0 , 	-   , 	-   , 	0 , 	2 , 	1 , 	1 , 	2 , 	1 , 	1 , 	0 , 	1 , 	0 , 	-   , 	0 , 	3 , 	-   , 	1 , 	0 , 	-   , 	2 , 	-   , 	1 , 	0 , 	-   , 	1 , 	0 , 	0 , 	2 , 	44 ,,,,,,,,,,,
WS, 	2 , 	2 , 	1 , 	1 , 	1 , 	2 , 	2 , 	3 , 	1 , 	1 , 	6 , 	4 , 	5 , 	3 , 	6 , 	5 , 	6 , 	5 , 	1 , 	1 , 	0 , 	-   , 	-   , 	0 , 	-   , 	3 , 	0 , 	4 , 	1 , 	2 , 	2 , 	1 , 	0 , 	1 , 	-   , 	0 , 	1 , 	-   , 	0 , 	-   , 	-   , 	1 , 	0 , 	1 , 	1 , 	2 , 	3 , 	2 , 	-   , 	0 , 	85 ,,,,,,,,,,,
ML, 	1 , 	1 , 	-   , 	1 , 	2 , 	1 , 	2 , 	1 , 	0 , 	4 , 	3 , 	4 , 	3 , 	8 , 	6 , 	5 , 	5 , 	7 , 	1 , 	0 , 	1 , 	0 , 	-   , 	0 , 	1 , 	6 , 	3 , 	5 , 	4 , 	-   , 	2 , 	0 , 	1 , 	3 , 	-   , 	1 , 	3 , 	0 , 	1 , 	-   , 	-   , 	2 , 	-   , 	1 , 	2 , 	3 , 	4 , 	4 , 	1 , 	1 , 	102 ,,,,,,,,,,,
