Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jan 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
BP, 	28 , 	39 , 	8 , 	14 , 	36 , 	16 , 	24 , 	21 , 	48 , 	23 , 	38 , 	43 , 	24 , 	20 , 	13 , 	15 , 	15 , 	18 , 	24 , 	15 , 	12 , 	6 , 	5 , 	11 , 	25 , 	259 , 	426 ," 	2,585 ", 	749 , 	315 , 	408 , 	75 , 	46 , 	69 , 	107 , 	5 , 	13 , 	7 , 	30 ," 	5,634 ",,,,,,,,,,
DC, 	24 , 	38 , 	14 , 	12 , 	71 , 	17 , 	27 , 	31 , 	59 , 	19 , 	37 , 	68 , 	21 , 	22 , 	16 , 	15 , 	14 , 	31 , 	27 , 	21 , 	20 , 	7 , 	6 , 	17 , 	16 , 	192 , 	251 ," 	1,060 ", 	679 , 	140 , 	228 , 	53 , 	84 , 	21 , 	62 , 	9 , 	35 , 	8 , 	31 ," 	3,500 ",,,,,,,,,,
CM, 	19 , 	27 , 	8 , 	7 , 	49 , 	8 , 	19 , 	19 , 	46 , 	11 , 	19 , 	49 , 	15 , 	12 , 	14 , 	6 , 	9 , 	16 , 	33 , 	24 , 	24 , 	9 , 	10 , 	16 , 	11 , 	164 , 	209 , 	766 , 	582 , 	134 , 	175 , 	73 , 	127 , 	60 , 	19 , 	8 , 	24 , 	6 , 	41 ," 	2,872 ",,,,,,,,,,
CV, 	3 , 	4 , 	2 , 	2 , 	16 , 	4 , 	6 , 	5 , 	15 , 	34 , 	32 , 	40 , 	31 , 	51 , 	20 , 	7 , 	9 , 	15 , 	2 , 	1 , 	2 , 	1 , 	-   , 	3 , 	4 , 	95 , 	66 , 	167 , 	79 , 	9 , 	12 , 	4 , 	8 , 	13 , 	5 , 	5 , 	60 , 	1 , 	3 , 	838 ,,,,,,,,,,
ED, 	9 , 	19 , 	7 , 	8 , 	44 , 	11 , 	19 , 	19 , 	34 , 	49 , 	69 , 	142 , 	44 , 	112 , 	44 , 	24 , 	19 , 	34 , 	8 , 	8 , 	5 , 	1 , 	2 , 	6 , 	11 , 	463 , 	216 , 	581 , 	277 , 	29 , 	32 , 	16 , 	15 , 	30 , 	28 , 	61 , 	20 , 	2 , 	3 ," 	2,523 ",,,,,,,,,,
NC, 	3 , 	3 , 	1 , 	1 , 	7 , 	2 , 	7 , 	9 , 	9 , 	2 , 	4 , 	15 , 	2 , 	2 , 	4 , 	1 , 	2 , 	3 , 	28 , 	12 , 	23 , 	5 , 	2 , 	7 , 	1 , 	74 , 	38 , 	84 , 	72 , 	7 , 	13 , 	3 , 	4 , 	10 , 	10 , 	1 , 	1 , 	6 , 	33 , 	504 ,,,,,,,,,,
WP, 	29 , 	26 , 	6 , 	5 , 	35 , 	12 , 	58 , 	28 , 	59 , 	7 , 	35 , 	59 , 	13 , 	14 , 	20 , 	12 , 	9 , 	24 , 	240 , 	59 , 	78 , 	16 , 	11 , 	21 , 	16 , 	139 , 	91 , 	258 , 	112 , 	28 , 	79 , 	29 , 	37 , 	41 , 	53 , 	3 , 	7 , 	38 , 	16 ," 	1,817 ",,,,,,,,,,
Entries," 	2,154 "," 	3,324 "," 	1,879 "," 	2,320 "," 	5,633 "," 	2,303 "," 	3,296 "," 	2,401 "," 	3,950 "," 	1,942 "," 	5,118 "," 	3,682 "," 	2,136 "," 	2,465 "," 	1,809 "," 	1,070 "," 	1,440 "," 	2,509 "," 	2,078 "," 	1,644 "," 	2,209 "," 	1,179 "," 	1,077 "," 	2,648 "," 	2,246 "," 	6,522 "," 	6,530 "," 	20,839 "," 	12,941 "," 	4,598 "," 	6,639 "," 	3,237 "," 	5,940 "," 	3,207 "," 	2,569 ", 	856 ," 	2,498 ", 	563 ," 	1,660 "," 	141,112 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
