Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Feb 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
ED, 	11 , 	8 , 	7 , 	6 , 	37 , 	9 , 	14 , 	9 , 	24 , 	35 , 	49 , 	124 , 	28 , 	79 , 	23 , 	14 , 	16 , 	26 , 	9 , 	4 , 	2 , 	1 , 	1 , 	6 , 	11 , 	208 , 	100 , 	410 , 	163 , 	21 , 	26 , 	19 , 	17 , 	32 , 	13 , 	51 , 	12 , 	1 , 	6 , 	6 , 	5 , 	69 , 	6 ," 	1,717 ",,,,,,,,,,,
NC, 	2 , 	3 , 	1 , 	2 , 	5 , 	3 , 	4 , 	3 , 	8 , 	1 , 	3 , 	10 , 	1 , 	3 , 	2 , 	1 , 	2 , 	2 , 	14 , 	4 , 	18 , 	2 , 	3 , 	8 , 	1 , 	24 , 	16 , 	46 , 	27 , 	3 , 	6 , 	4 , 	3 , 	3 , 	3 , 	1 , 	0 , 	2 , 	15 , 	2 , 	1 , 	9 , 	2 , 	273 ,,,,,,,,,,,
WP, 	16 , 	27 , 	7 , 	5 , 	14 , 	11 , 	56 , 	18 , 	34 , 	5 , 	30 , 	52 , 	11 , 	14 , 	13 , 	11 , 	7 , 	27 , 	133 , 	36 , 	66 , 	9 , 	8 , 	23 , 	11 , 	71 , 	48 , 	171 , 	79 , 	32 , 	61 , 	26 , 	36 , 	28 , 	20 , 	2 , 	6 , 	21 , 	13 , 	10 , 	8 , 	27 , 	11 ," 	1,312 ",,,,,,,,,,,
SS, 	4 , 	6 , 	0 , 	1 , 	5 , 	2 , 	2 , 	2 , 	5 , 	3 , 	3 , 	11 , 	3 , 	3 , 	2 , 	1 , 	3 , 	2 , 	5 , 	5 , 	5 , 	1 , 	2 , 	1 , 	2 , 	24 , 	22 , 	105 , 	46 , 	18 , 	30 , 	11 , 	21 , 	18 , 	4 , 	1 , 	4 , 	2 , 	10 , 	4 , 	5 , 	27 , 	2 , 	434 ,,,,,,,,,,,
SB, 	6 , 	7 , 	1 , 	2 , 	4 , 	1 , 	2 , 	3 , 	5 , 	1 , 	5 , 	14 , 	3 , 	2 , 	2 , 	1 , 	2 , 	2 , 	5 , 	3 , 	4 , 	1 , 	2 , 	3 , 	2 , 	22 , 	20 , 	95 , 	57 , 	32 , 	62 , 	17 , 	29 , 	33 , 	17 , 	1 , 	5 , 	0 , 	6 , 	7 , 	4 , 	19 , 	8 , 	515 ,,,,,,,,,,,
SO, 	7 , 	15 , 	18 , 	19 , 	45 , 	10 , 	17 , 	7 , 	20 , 	14 , 	15 , 	28 , 	8 , 	9 , 	5 , 	3 , 	5 , 	15 , 	16 , 	21 , 	26 , 	17 , 	13 , 	20 , 	10 , 	107 , 	99 , 	497 , 	201 , 	40 , 	48 , 	21 , 	31 , 	55 , 	72 , 	4 , 	46 , 	4 , 	15 , 	14 , 	12 , 	8 , 	66 ," 	1,722 ",,,,,,,,,,,
MB, 	4 , 	9 , 	6 , 	5 , 	31 , 	6 , 	7 , 	5 , 	18 , 	6 , 	7 , 	10 , 	2 , 	1 , 	3 , 	1 , 	1 , 	6 , 	10 , 	8 , 	14 , 	4 , 	6 , 	12 , 	4 , 	61 , 	40 , 	229 , 	110 , 	29 , 	37 , 	17 , 	28 , 	26 , 	13 , 	2 , 	8 , 	4 , 	18 , 	6 , 	6 , 	99 , 	6 , 	922 ,,,,,,,,,,,
Entries," 	1,193 "," 	1,595 "," 	1,123 "," 	1,110 "," 	3,546 "," 	1,509 "," 	1,890 "," 	1,299 "," 	2,750 "," 	1,484 "," 	2,216 "," 	2,962 "," 	1,292 "," 	1,573 "," 	1,133 ", 	692 , 	895 ," 	1,742 "," 	1,268 ", 	903 ," 	1,353 ", 	617 , 	527 ," 	1,388 "," 	1,321 "," 	3,760 "," 	3,538 "," 	12,858 "," 	6,057 "," 	3,633 "," 	4,404 "," 	2,036 "," 	3,842 "," 	1,788 "," 	1,098 ", 	500 ," 	1,689 ", 	281 ," 	1,230 ", 	394 , 	476 ," 	2,334 ", 	886 ," 	88,186 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
