Exit stations,Entry stations->,,SATURDAY,,,Apr 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
CM, 	5 , 	9 , 	4 , 	3 , 	9 , 	3 , 	4 , 	8 , 	12 , 	4 , 	5 , 	2 , 	2 , 	3 , 	2 , 	1 , 	1 , 	2 , 	3 , 	4 , 	2 , 	0 , 	1 , 	4 , 	4 , 	44 , 	37 , 	165 , 	70 , 	55 , 	57 , 	25 , 	32 , 	15 , 	5 , 	1 , 	0 , 	1 , 	6 , 	4 , 	20 , 	59 , 	18 , 	1 , 	0 , 	-   , 	1 , 	2 , 	2 , 	3 , 	723 ,,,,,,,,,,
CV, 	3 , 	2 , 	3 , 	2 , 	10 , 	2 , 	1 , 	2 , 	3 , 	24 , 	25 , 	38 , 	20 , 	15 , 	4 , 	8 , 	4 , 	4 , 	2 , 	1 , 	0 , 	-   , 	-   , 	1 , 	6 , 	61 , 	50 , 	89 , 	42 , 	14 , 	15 , 	6 , 	5 , 	9 , 	0 , 	10 , 	39 , 	-   , 	1 , 	1 , 	2 , 	5 , 	1 , 	31 , 	2 , 	2 , 	3 , 	3 , 	-   , 	0 , 	571 ,,,,,,,,,,
ED, 	5 , 	8 , 	2 , 	5 , 	31 , 	6 , 	8 , 	14 , 	9 , 	34 , 	43 , 	134 , 	23 , 	40 , 	18 , 	7 , 	7 , 	16 , 	2 , 	2 , 	3 , 	1 , 	0 , 	4 , 	12 , 	269 , 	117 , 	248 , 	121 , 	46 , 	30 , 	10 , 	16 , 	28 , 	2 , 	36 , 	39 , 	-   , 	1 , 	1 , 	3 , 	45 , 	4 , 	21 , 	18 , 	9 , 	13 , 	16 , 	2 , 	1 ," 	1,528 ",,,,,,,,,,
NC, 	1 , 	3 , 	0 , 	0 , 	4 , 	-   , 	5 , 	4 , 	6 , 	0 , 	0 , 	9 , 	1 , 	1 , 	0 , 	1 , 	1 , 	1 , 	9 , 	7 , 	8 , 	3 , 	2 , 	2 , 	1 , 	28 , 	11 , 	32 , 	13 , 	5 , 	5 , 	3 , 	2 , 	4 , 	1 , 	0 , 	1 , 	5 , 	10 , 	1 , 	2 , 	15 , 	1 , 	-   , 	1 , 	1 , 	-   , 	1 , 	6 , 	7 , 	224 ,,,,,,,,,,
WP, 	5 , 	6 , 	1 , 	2 , 	6 , 	2 , 	15 , 	9 , 	13 , 	3 , 	6 , 	12 , 	2 , 	3 , 	4 , 	2 , 	2 , 	1 , 	64 , 	24 , 	48 , 	9 , 	7 , 	9 , 	6 , 	51 , 	42 , 	115 , 	33 , 	19 , 	24 , 	10 , 	12 , 	11 , 	6 , 	0 , 	1 , 	9 , 	10 , 	5 , 	5 , 	32 , 	2 , 	-   , 	6 , 	4 , 	1 , 	4 , 	6 , 	11 , 	683 ,,,,,,,,,,
SS, 	6 , 	7 , 	2 , 	1 , 	8 , 	0 , 	4 , 	7 , 	9 , 	1 , 	5 , 	6 , 	2 , 	2 , 	2 , 	3 , 	1 , 	1 , 	5 , 	1 , 	4 , 	2 , 	0 , 	2 , 	6 , 	41 , 	28 , 	116 , 	51 , 	39 , 	48 , 	14 , 	18 , 	25 , 	4 , 	0 , 	2 , 	2 , 	5 , 	6 , 	18 , 	31 , 	9 , 	0 , 	1 , 	0 , 	1 , 	1 , 	1 , 	5 , 	553 ,,,,,,,,,,
SB, 	10 , 	10 , 	2 , 	2 , 	14 , 	5 , 	8 , 	7 , 	11 , 	4 , 	5 , 	8 , 	4 , 	5 , 	5 , 	1 , 	2 , 	1 , 	9 , 	3 , 	3 , 	2 , 	0 , 	3 , 	8 , 	45 , 	40 , 	156 , 	86 , 	59 , 	61 , 	21 , 	47 , 	53 , 	19 , 	2 , 	2 , 	2 , 	5 , 	18 , 	11 , 	44 , 	9 , 	2 , 	2 , 	3 , 	1 , 	1 , 	2 , 	3 , 	828 ,,,,,,,,,,
SO, 	31 , 	35 , 	23 , 	37 , 	86 , 	22 , 	46 , 	35 , 	36 , 	8 , 	15 , 	9 , 	7 , 	5 , 	3 , 	3 , 	5 , 	13 , 	30 , 	31 , 	39 , 	20 , 	11 , 	70 , 	38 , 	144 , 	112 , 	629 , 	137 , 	97 , 	68 , 	46 , 	41 , 	86 , 	49 , 	3 , 	41 , 	10 , 	32 , 	16 , 	25 , 	56 , 	115 , 	11 , 	11 , 	4 , 	4 , 	2 , 	2 , 	29 ," 	2,424 ",,,,,,,,,,
MB, 	6 , 	8 , 	4 , 	8 , 	49 , 	5 , 	12 , 	12 , 	14 , 	4 , 	5 , 	9 , 	3 , 	3 , 	1 , 	1 , 	2 , 	1 , 	4 , 	3 , 	3 , 	1 , 	2 , 	5 , 	8 , 	87 , 	55 , 	189 , 	124 , 	84 , 	48 , 	26 , 	32 , 	56 , 	17 , 	1 , 	2 , 	1 , 	2 , 	11 , 	9 , 	158 , 	34 , 	2 , 	0 , 	0 , 	1 , 	1 , 	1 , 	3 ," 	1,115 ",,,,,,,,,,
WD, 	1 , 	1 , 	1 , 	1 , 	15 , 	2 , 	5 , 	5 , 	4 , 	22 , 	28 , 	49 , 	24 , 	32 , 	11 , 	13 , 	7 , 	4 , 	2 , 	2 , 	0 , 	0 , 	0 , 	0 , 	2 , 	83 , 	39 , 	78 , 	34 , 	15 , 	6 , 	4 , 	6 , 	8 , 	1 , 	31 , 	19 , 	0 , 	0 , 	1 , 	2 , 	16 , 	3 , 	14 , 	6 , 	3 , 	7 , 	9 , 	0 , 	0 , 	616 ,,,,,,,,,,
