Exit stations,Entry stations->,,SATURDAY,,,Mar 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	19 , 	39 , 	39 , 	21 , 	148 , 	31 , 	44 , 	28 , 	33 , 	10 , 	28 , 	21 , 	9 , 	8 , 	7 , 	6 , 	3 , 	4 , 	7 , 	8 , 	8 , 	3 , 	5 , 	13 , 	10 , 	73 , 	51 , 	146 , 	59 , 	51 , 	56 , 	13 , 	15 , 	16 , 	7 , 	3 , 	3 , 	1 , 	6 , 	6 , 	8 , 	24 , 	9 , 	1 , 	4 , 	6 , 	7 , 	6 , 	3 , 	5 ," 	1,126 ",,,,,,,,,,
GP, 	13 , 	15 , 	8 , 	14 , 	55 , 	10 , 	20 , 	27 , 	26 , 	13 , 	17 , 	11 , 	7 , 	5 , 	4 , 	4 , 	6 , 	3 , 	7 , 	8 , 	6 , 	7 , 	7 , 	16 , 	21 , 	123 , 	103 , 	404 , 	164 , 	104 , 	100 , 	11 , 	20 , 	21 , 	23 , 	6 , 	9 , 	5 , 	7 , 	15 , 	24 , 	50 , 	30 , 	3 , 	3 , 	6 , 	4 , 	6 , 	2 , 	7 ," 	1,572 ",,,,,,,,,,
BP, 	14 , 	17 , 	5 , 	7 , 	29 , 	7 , 	16 , 	19 , 	26 , 	13 , 	21 , 	14 , 	17 , 	13 , 	6 , 	4 , 	4 , 	3 , 	8 , 	5 , 	7 , 	4 , 	1 , 	10 , 	21 , 	138 , 	135 , 	628 , 	139 , 	118 , 	126 , 	17 , 	14 , 	24 , 	28 , 	6 , 	8 , 	2 , 	12 , 	18 , 	36 , 	43 , 	32 , 	3 , 	2 , 	4 , 	3 , 	6 , 	3 , 	8 ," 	1,837 ",,,,,,,,,,
DC, 	15 , 	22 , 	6 , 	6 , 	31 , 	6 , 	15 , 	30 , 	21 , 	15 , 	24 , 	24 , 	12 , 	10 , 	8 , 	4 , 	7 , 	9 , 	11 , 	10 , 	7 , 	5 , 	4 , 	11 , 	20 , 	127 , 	119 , 	566 , 	227 , 	158 , 	145 , 	28 , 	28 , 	20 , 	15 , 	5 , 	16 , 	4 , 	11 , 	17 , 	50 , 	128 , 	54 , 	6 , 	4 , 	4 , 	6 , 	12 , 	1 , 	7 ," 	2,085 ",,,,,,,,,,
CM, 	7 , 	9 , 	4 , 	2 , 	8 , 	3 , 	2 , 	10 , 	11 , 	3 , 	3 , 	1 , 	2 , 	2 , 	2 , 	3 , 	2 , 	2 , 	5 , 	3 , 	3 , 	1 , 	1 , 	2 , 	6 , 	36 , 	36 , 	170 , 	72 , 	55 , 	55 , 	23 , 	24 , 	14 , 	7 , 	1 , 	1 , 	1 , 	11 , 	4 , 	18 , 	50 , 	17 , 	1 , 	-   , 	-   , 	1 , 	1 , 	2 , 	5 , 	695 ,,,,,,,,,,
CV, 	3 , 	3 , 	2 , 	3 , 	9 , 	2 , 	4 , 	6 , 	3 , 	25 , 	20 , 	23 , 	17 , 	18 , 	5 , 	7 , 	3 , 	4 , 	2 , 	1 , 	1 , 	0 , 	0 , 	1 , 	2 , 	39 , 	38 , 	86 , 	40 , 	14 , 	12 , 	5 , 	5 , 	7 , 	0 , 	7 , 	35 , 	-   , 	-   , 	2 , 	3 , 	12 , 	1 , 	32 , 	2 , 	2 , 	3 , 	4 , 	-   , 	1 , 	507 ,,,,,,,,,,
ED, 	3 , 	5 , 	2 , 	3 , 	33 , 	5 , 	15 , 	14 , 	9 , 	32 , 	38 , 	46 , 	24 , 	39 , 	20 , 	5 , 	15 , 	18 , 	3 , 	3 , 	2 , 	0 , 	0 , 	5 , 	10 , 	160 , 	100 , 	242 , 	133 , 	42 , 	27 , 	12 , 	10 , 	20 , 	2 , 	30 , 	31 , 	-   , 	2 , 	3 , 	4 , 	41 , 	5 , 	19 , 	21 , 	7 , 	20 , 	20 , 	1 , 	2 ," 	1,296 ",,,,,,,,,,
NC, 	1 , 	1 , 	-   , 	0 , 	3 , 	-   , 	7 , 	5 , 	6 , 	1 , 	2 , 	4 , 	0 , 	2 , 	1 , 	1 , 	0 , 	1 , 	10 , 	5 , 	9 , 	3 , 	2 , 	4 , 	1 , 	14 , 	12 , 	36 , 	14 , 	7 , 	6 , 	3 , 	3 , 	4 , 	1 , 	1 , 	1 , 	2 , 	9 , 	1 , 	2 , 	15 , 	1 , 	-   , 	1 , 	1 , 	0 , 	2 , 	6 , 	4 , 	208 ,,,,,,,,,,
WP, 	6 , 	12 , 	2 , 	4 , 	5 , 	2 , 	17 , 	12 , 	16 , 	4 , 	9 , 	12 , 	3 , 	3 , 	4 , 	4 , 	3 , 	2 , 	56 , 	18 , 	48 , 	10 , 	5 , 	13 , 	7 , 	49 , 	41 , 	146 , 	39 , 	18 , 	28 , 	8 , 	13 , 	10 , 	8 , 	1 , 	1 , 	7 , 	11 , 	7 , 	9 , 	36 , 	3 , 	0 , 	7 , 	4 , 	1 , 	4 , 	5 , 	10 , 	735 ,,,,,,,,,,
SS, 	3 , 	6 , 	2 , 	2 , 	7 , 	2 , 	5 , 	8 , 	9 , 	1 , 	4 , 	3 , 	1 , 	2 , 	2 , 	3 , 	0 , 	0 , 	4 , 	5 , 	5 , 	3 , 	1 , 	3 , 	5 , 	32 , 	28 , 	135 , 	63 , 	35 , 	43 , 	17 , 	23 , 	21 , 	4 , 	1 , 	1 , 	1 , 	5 , 	5 , 	16 , 	28 , 	8 , 	1 , 	0 , 	1 , 	1 , 	1 , 	2 , 	4 , 	556 ,,,,,,,,,,
SB, 	10 , 	11 , 	3 , 	2 , 	10 , 	4 , 	5 , 	10 , 	12 , 	5 , 	5 , 	4 , 	5 , 	4 , 	5 , 	2 , 	3 , 	1 , 	6 , 	3 , 	5 , 	4 , 	1 , 	3 , 	7 , 	43 , 	39 , 	162 , 	84 , 	64 , 	62 , 	25 , 	49 , 	48 , 	22 , 	3 , 	2 , 	3 , 	9 , 	14 , 	9 , 	54 , 	13 , 	1 , 	2 , 	1 , 	1 , 	0 , 	3 , 	6 , 	842 ,,,,,,,,,,
