Exit stations,Entry stations->,,SATURDAY,,,Jan 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	13 , 	28 , 	22 , 	14 , 	80 , 	16 , 	29 , 	19 , 	26 , 	6 , 	22 , 	22 , 	6 , 	5 , 	5 , 	6 , 	3 , 	2 , 	6 , 	4 , 	4 , 	2 , 	1 , 	7 , 	9 , 	55 , 	31 , 	110 , 	42 , 	43 , 	53 , 	8 , 	15 , 	11 , 	4 , 	3 , 	3 , 	0 , 	3 , 	2 , 	7 , 	19 , 	4 , 	-   , 	3 , 	4 , 	2 , 	5 , 	2 , 	3 , 	784 ,,,,,,,,,,
CV, 	1 , 	1 , 	1 , 	1 , 	3 , 	1 , 	3 , 	1 , 	3 , 	17 , 	17 , 	21 , 	18 , 	19 , 	8 , 	6 , 	6 , 	5 , 	1 , 	0 , 	-   , 	0 , 	0 , 	1 , 	3 , 	35 , 	23 , 	58 , 	18 , 	8 , 	5 , 	4 , 	2 , 	3 , 	0 , 	10 , 	21 , 	0 , 	0 , 	0 , 	3 , 	4 , 	1 , 	18 , 	3 , 	1 , 	2 , 	1 , 	0 , 	0 , 	361 ,,,,,,,,,,
ED, 	3 , 	2 , 	1 , 	3 , 	12 , 	4 , 	7 , 	6 , 	6 , 	19 , 	28 , 	94 , 	18 , 	20 , 	9 , 	8 , 	10 , 	8 , 	3 , 	2 , 	1 , 	-   , 	-   , 	2 , 	7 , 	103 , 	51 , 	116 , 	43 , 	19 , 	13 , 	5 , 	5 , 	5 , 	1 , 	17 , 	33 , 	1 , 	1 , 	0 , 	1 , 	26 , 	3 , 	8 , 	15 , 	3 , 	7 , 	5 , 	0 , 	1 , 	757 ,,,,,,,,,,
NC, 	1 , 	0 , 	0 , 	0 , 	4 , 	0 , 	3 , 	2 , 	3 , 	-   , 	1 , 	5 , 	1 , 	0 , 	1 , 	1 , 	0 , 	0 , 	8 , 	5 , 	11 , 	2 , 	1 , 	2 , 	1 , 	18 , 	8 , 	32 , 	8 , 	5 , 	3 , 	2 , 	2 , 	3 , 	1 , 	-   , 	1 , 	0 , 	5 , 	0 , 	1 , 	11 , 	1 , 	-   , 	2 , 	0 , 	1 , 	0 , 	3 , 	2 , 	162 ,,,,,,,,,,
WP, 	4 , 	5 , 	0 , 	1 , 	7 , 	1 , 	12 , 	6 , 	10 , 	2 , 	5 , 	14 , 	3 , 	3 , 	3 , 	2 , 	1 , 	2 , 	42 , 	15 , 	27 , 	10 , 	3 , 	7 , 	5 , 	45 , 	23 , 	83 , 	30 , 	14 , 	15 , 	7 , 	5 , 	8 , 	6 , 	1 , 	1 , 	6 , 	7 , 	2 , 	5 , 	31 , 	2 , 	0 , 	7 , 	4 , 	1 , 	1 , 	5 , 	7 , 	506 ,,,,,,,,,,
SS, 	3 , 	5 , 	0 , 	2 , 	4 , 	1 , 	2 , 	3 , 	5 , 	1 , 	4 , 	4 , 	1 , 	2 , 	1 , 	0 , 	1 , 	-   , 	3 , 	2 , 	3 , 	0 , 	-   , 	1 , 	3 , 	24 , 	16 , 	73 , 	25 , 	29 , 	28 , 	8 , 	11 , 	17 , 	2 , 	0 , 	2 , 	-   , 	2 , 	3 , 	8 , 	29 , 	7 , 	0 , 	1 , 	0 , 	-   , 	1 , 	1 , 	3 , 	342 ,,,,,,,,,,
SB, 	7 , 	11 , 	2 , 	1 , 	6 , 	1 , 	4 , 	4 , 	7 , 	6 , 	6 , 	8 , 	3 , 	5 , 	3 , 	2 , 	2 , 	2 , 	4 , 	2 , 	5 , 	1 , 	1 , 	1 , 	6 , 	28 , 	20 , 	95 , 	42 , 	41 , 	46 , 	21 , 	29 , 	31 , 	16 , 	3 , 	2 , 	1 , 	5 , 	10 , 	7 , 	37 , 	7 , 	1 , 	0 , 	0 , 	1 , 	0 , 	2 , 	3 , 	551 ,,,,,,,,,,
SO, 	9 , 	22 , 	12 , 	13 , 	27 , 	6 , 	17 , 	14 , 	21 , 	6 , 	5 , 	7 , 	10 , 	8 , 	4 , 	6 , 	3 , 	4 , 	26 , 	21 , 	21 , 	11 , 	9 , 	12 , 	21 , 	61 , 	52 , 	214 , 	70 , 	42 , 	33 , 	23 , 	39 , 	56 , 	47 , 	4 , 	16 , 	8 , 	26 , 	20 , 	15 , 	23 , 	63 , 	4 , 	7 , 	2 , 	4 , 	1 , 	3 , 	20 ," 	1,167 ",,,,,,,,,,
MB, 	5 , 	6 , 	2 , 	3 , 	24 , 	3 , 	7 , 	5 , 	9 , 	1 , 	3 , 	2 , 	2 , 	2 , 	1 , 	2 , 	0 , 	1 , 	2 , 	3 , 	3 , 	0 , 	2 , 	2 , 	4 , 	36 , 	21 , 	80 , 	43 , 	43 , 	29 , 	11 , 	19 , 	27 , 	10 , 	1 , 	2 , 	1 , 	2 , 	5 , 	7 , 	129 , 	17 , 	0 , 	1 , 	0 , 	-   , 	-   , 	1 , 	2 , 	583 ,,,,,,,,,,
WD, 	0 , 	1 , 	2 , 	1 , 	5 , 	1 , 	3 , 	2 , 	3 , 	12 , 	19 , 	26 , 	18 , 	19 , 	10 , 	3 , 	3 , 	3 , 	0 , 	1 , 	0 , 	0 , 	-   , 	-   , 	1 , 	37 , 	20 , 	42 , 	20 , 	9 , 	6 , 	3 , 	2 , 	3 , 	0 , 	19 , 	21 , 	-   , 	-   , 	0 , 	1 , 	9 , 	0 , 	11 , 	5 , 	0 , 	2 , 	2 , 	-   , 	-   , 	344 ,,,,,,,,,,
OA, 	2 , 	3 , 	4 , 	3 , 	7 , 	3 , 	3 , 	4 , 	4 , 	6 , 	3 , 	11 , 	4 , 	1 , 	1 , 	1 , 	4 , 	5 , 	4 , 	4 , 	5 , 	1 , 	2 , 	1 , 	1 , 	15 , 	6 , 	14 , 	6 , 	5 , 	2 , 	1 , 	2 , 	1 , 	0 , 	1 , 	5 , 	1 , 	4 , 	1 , 	0 , 	6 , 	0 , 	1 , 	2 , 	1 , 	2 , 	1 , 	-   , 	3 , 	168 ,,,,,,,,,,
