Exit stations,Entry stations->,,SATURDAY,,,Oct 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
NC, 	1 , 	3 , 	2 , 	3 , 	27 , 	3 , 	10 , 	10 , 	11 , 	1 , 	6 , 	11 , 	2 , 	4 , 	1 , 	0 , 	3 , 	3 , 	16 , 	10 , 	19 , 	7 , 	4 , 	13 , 	3 , 	78 , 	49 , 	98 , 	48 , 	15 , 	18 , 	7 , 	6 , 	9 , 	2 , 	1 , 	2 , 	4 , 	13 , 	4 , 	4 , 	38 , 	5 , 	1 , 	10 , 	5 , 	-   , 	-   , 	6 , 	9 , 	599 ,,,,,,,,,,
WP, 	11 , 	13 , 	4 , 	5 , 	34 , 	5 , 	31 , 	21 , 	31 , 	4 , 	21 , 	36 , 	7 , 	10 , 	11 , 	7 , 	6 , 	8 , 	98 , 	37 , 	56 , 	14 , 	9 , 	21 , 	13 , 	145 , 	82 , 	222 , 	78 , 	40 , 	47 , 	20 , 	25 , 	26 , 	14 , 	3 , 	5 , 	14 , 	10 , 	9 , 	10 , 	82 , 	6 , 	2 , 	14 , 	10 , 	-   , 	-   , 	8 , 	13 ," 	1,390 ",,,,,,,,,,
SS, 	9 , 	14 , 	2 , 	3 , 	29 , 	5 , 	7 , 	10 , 	12 , 	6 , 	7 , 	7 , 	4 , 	6 , 	3 , 	4 , 	2 , 	3 , 	9 , 	6 , 	10 , 	2 , 	4 , 	7 , 	11 , 	110 , 	92 , 	277 , 	96 , 	59 , 	63 , 	18 , 	31 , 	26 , 	6 , 	1 , 	4 , 	2 , 	12 , 	8 , 	23 , 	53 , 	18 , 	3 , 	3 , 	1 , 	-   , 	-   , 	1 , 	8 ," 	1,093 ",,,,,,,,,,
SB, 	12 , 	19 , 	7 , 	6 , 	29 , 	2 , 	13 , 	18 , 	21 , 	10 , 	19 , 	16 , 	8 , 	8 , 	6 , 	5 , 	2 , 	5 , 	11 , 	6 , 	11 , 	3 , 	2 , 	5 , 	16 , 	151 , 	90 , 	303 , 	142 , 	99 , 	114 , 	46 , 	93 , 	96 , 	33 , 	4 , 	5 , 	7 , 	11 , 	25 , 	11 , 	51 , 	21 , 	1 , 	3 , 	1 , 	-   , 	-   , 	3 , 	7 ," 	1,572 ",,,,,,,,,,
SO, 	35 , 	72 , 	42 , 	55 , 	112 , 	35 , 	66 , 	45 , 	68 , 	24 , 	42 , 	24 , 	23 , 	15 , 	14 , 	10 , 	10 , 	15 , 	73 , 	100 , 	112 , 	60 , 	49 , 	72 , 	78 , 	253 , 	186 , 	814 , 	297 , 	111 , 	90 , 	65 , 	90 , 	147 , 	101 , 	14 , 	66 , 	36 , 	73 , 	39 , 	35 , 	57 , 	152 , 	19 , 	15 , 	10 , 	-   , 	-   , 	11 , 	52 ," 	3,975 ",,,,,,,,,,
MB, 	7 , 	17 , 	15 , 	14 , 	140 , 	16 , 	26 , 	31 , 	40 , 	11 , 	16 , 	19 , 	7 , 	6 , 	5 , 	2 , 	2 , 	3 , 	11 , 	14 , 	17 , 	9 , 	8 , 	25 , 	25 , 	447 , 	238 , 	696 , 	401 , 	222 , 	163 , 	67 , 	72 , 	123 , 	32 , 	2 , 	7 , 	5 , 	6 , 	14 , 	17 , 	193 , 	37 , 	4 , 	5 , 	1 , 	-   , 	-   , 	2 , 	9 ," 	3,245 ",,,,,,,,,,
WD, 	2 , 	10 , 	3 , 	5 , 	55 , 	5 , 	9 , 	11 , 	12 , 	39 , 	53 , 	51 , 	38 , 	65 , 	29 , 	15 , 	13 , 	17 , 	1 , 	1 , 	2 , 	1 , 	1 , 	6 , 	12 , 	235 , 	105 , 	227 , 	122 , 	24 , 	19 , 	8 , 	14 , 	22 , 	1 , 	49 , 	31 , 	1 , 	2 , 	3 , 	2 , 	39 , 	3 , 	9 , 	22 , 	12 , 	-   , 	-   , 	1 , 	2 ," 	1,405 ",,,,,,,,,,
OA, 	6 , 	19 , 	21 , 	23 , 	44 , 	16 , 	12 , 	12 , 	14 , 	12 , 	8 , 	21 , 	6 , 	4 , 	7 , 	4 , 	7 , 	14 , 	17 , 	20 , 	19 , 	9 , 	5 , 	8 , 	5 , 	49 , 	35 , 	80 , 	32 , 	18 , 	17 , 	9 , 	7 , 	10 , 	2 , 	4 , 	31 , 	7 , 	11 , 	1 , 	2 , 	18 , 	4 , 	12 , 	6 , 	8 , 	-   , 	-   , 	1 , 	11 , 	702 ,,,,,,,,,,
WS, 	10 , 	27 , 	18 , 	17 , 	267 , 	34 , 	26 , 	43 , 	52 , 	44 , 	42 , 	83 , 	27 , 	38 , 	47 , 	28 , 	30 , 	71 , 	11 , 	9 , 	9 , 	4 , 	4 , 	15 , 	16 , 	245 , 	98 , 	191 , 	112 , 	35 , 	23 , 	13 , 	13 , 	22 , 	4 , 	8 , 	19 , 	3 , 	9 , 	2 , 	2 , 	9 , 	2 , 	11 , 	9 , 	16 , 	-   , 	-   , 	2 , 	6 ," 	1,822 ",,,,,,,,,,
ML, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,,,
