Exit stations,Entry stations->,,SATURDAY,,,Apr 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
BP, 	45 , 	54 , 	11 , 	23 , 	90 , 	21 , 	40 , 	37 , 	68 , 	42 , 	51 , 	50 , 	27 , 	29 , 	19 , 	13 , 	16 , 	25 , 	20 , 	15 , 	19 , 	8 , 	6 , 	19 , 	32 , 	441 , 	473 ," 	2,422 ", 	576 , 	490 , 	484 , 	83 , 	47 , 	88 , 	80 , 	11 , 	25 , 	7 , 	36 , 	46 , 	142 , 	61 , 	88 , 	10 ," 	6,383 ",,,,,,,,,,,
DC, 	40 , 	56 , 	21 , 	17 , 	121 , 	20 , 	42 , 	34 , 	56 , 	37 , 	66 , 	86 , 	32 , 	37 , 	29 , 	23 , 	22 , 	46 , 	41 , 	20 , 	34 , 	19 , 	10 , 	23 , 	30 , 	288 , 	311 ," 	1,325 ", 	396 , 	257 , 	299 , 	58 , 	94 , 	20 , 	51 , 	17 , 	56 , 	10 , 	51 , 	41 , 	140 , 	136 , 	118 , 	14 ," 	4,638 ",,,,,,,,,,,
CM, 	10 , 	20 , 	4 , 	4 , 	30 , 	4 , 	12 , 	11 , 	24 , 	6 , 	10 , 	14 , 	7 , 	10 , 	4 , 	2 , 	6 , 	5 , 	15 , 	6 , 	13 , 	2 , 	4 , 	5 , 	9 , 	101 , 	99 , 	418 , 	164 , 	84 , 	124 , 	40 , 	97 , 	50 , 	9 , 	2 , 	5 , 	3 , 	18 , 	10 , 	76 , 	65 , 	42 , 	1 ," 	1,638 ",,,,,,,,,,,
CV, 	6 , 	8 , 	7 , 	5 , 	37 , 	9 , 	15 , 	10 , 	25 , 	56 , 	55 , 	111 , 	33 , 	75 , 	23 , 	18 , 	12 , 	22 , 	4 , 	4 , 	3 , 	3 , 	2 , 	10 , 	6 , 	150 , 	105 , 	221 , 	74 , 	25 , 	19 , 	7 , 	13 , 	15 , 	2 , 	5 , 	69 , 	2 , 	5 , 	3 , 	3 , 	19 , 	4 , 	61 ," 	1,357 ",,,,,,,,,,,
ED, 	7 , 	13 , 	6 , 	10 , 	102 , 	16 , 	21 , 	22 , 	35 , 	63 , 	82 , 	320 , 	42 , 	99 , 	37 , 	29 , 	30 , 	49 , 	7 , 	6 , 	8 , 	3 , 	4 , 	7 , 	14 , 	642 , 	255 , 	699 , 	231 , 	61 , 	42 , 	20 , 	26 , 	68 , 	5 , 	80 , 	20 , 	5 , 	8 , 	5 , 	7 , 	105 , 	12 , 	30 ," 	3,348 ",,,,,,,,,,,
NC, 	3 , 	6 , 	4 , 	4 , 	20 , 	5 , 	14 , 	12 , 	20 , 	2 , 	6 , 	27 , 	2 , 	5 , 	3 , 	2 , 	2 , 	5 , 	22 , 	17 , 	30 , 	8 , 	5 , 	17 , 	2 , 	100 , 	62 , 	125 , 	51 , 	17 , 	11 , 	6 , 	8 , 	12 , 	5 , 	2 , 	6 , 	5 , 	30 , 	5 , 	3 , 	23 , 	8 , 	3 , 	717 ,,,,,,,,,,,
WP, 	39 , 	42 , 	12 , 	12 , 	75 , 	24 , 	106 , 	52 , 	84 , 	18 , 	61 , 	124 , 	25 , 	32 , 	25 , 	16 , 	22 , 	37 , 	230 , 	73 , 	119 , 	25 , 	14 , 	29 , 	33 , 	238 , 	124 , 	362 , 	146 , 	52 , 	69 , 	27 , 	52 , 	59 , 	19 , 	7 , 	5 , 	36 , 	11 , 	16 , 	17 , 	65 , 	22 , 	4 ," 	2,656 ",,,,,,,,,,,
SS, 	9 , 	14 , 	2 , 	2 , 	19 , 	2 , 	6 , 	8 , 	11 , 	6 , 	10 , 	14 , 	7 , 	4 , 	7 , 	4 , 	5 , 	6 , 	8 , 	8 , 	9 , 	2 , 	3 , 	5 , 	8 , 	77 , 	90 , 	333 , 	116 , 	55 , 	89 , 	25 , 	52 , 	50 , 	12 , 	3 , 	6 , 	3 , 	12 , 	7 , 	41 , 	22 , 	23 , 	1 ," 	1,187 ",,,,,,,,,,,
SB, 	11 , 	15 , 	8 , 	7 , 	24 , 	8 , 	10 , 	13 , 	22 , 	6 , 	17 , 	18 , 	10 , 	10 , 	9 , 	9 , 	6 , 	9 , 	11 , 	9 , 	6 , 	2 , 	3 , 	5 , 	8 , 	96 , 	83 , 	339 , 	175 , 	100 , 	168 , 	80 , 	159 , 	143 , 	73 , 	5 , 	7 , 	2 , 	18 , 	37 , 	11 , 	42 , 	42 , 	3 ," 	1,832 ",,,,,,,,,,,
SO, 	19 , 	33 , 	33 , 	45 , 	154 , 	28 , 	55 , 	38 , 	51 , 	19 , 	27 , 	26 , 	17 , 	9 , 	8 , 	3 , 	8 , 	30 , 	49 , 	68 , 	86 , 	45 , 	32 , 	71 , 	44 , 	330 , 	238 ," 	1,183 ", 	337 , 	135 , 	129 , 	69 , 	61 , 	121 , 	65 , 	12 , 	73 , 	21 , 	62 , 	24 , 	42 , 	18 , 	224 , 	18 ," 	4,157 ",,,,,,,,,,,
MB, 	16 , 	24 , 	10 , 	23 , 	139 , 	24 , 	24 , 	23 , 	40 , 	9 , 	28 , 	34 , 	14 , 	8 , 	7 , 	5 , 	4 , 	11 , 	21 , 	17 , 	16 , 	10 , 	6 , 	27 , 	16 , 	198 , 	169 , 	638 , 	246 , 	172 , 	159 , 	66 , 	94 , 	155 , 	45 , 	5 , 	12 , 	6 , 	17 , 	22 , 	41 , 	251 , 	15 , 	3 ," 	2,866 ",,,,,,,,,,,
WD, 	3 , 	7 , 	6 , 	2 , 	34 , 	7 , 	12 , 	13 , 	11 , 	27 , 	46 , 	116 , 	27 , 	84 , 	32 , 	17 , 	16 , 	23 , 	6 , 	2 , 	4 , 	3 , 	1 , 	5 , 	5 , 	155 , 	96 , 	203 , 	59 , 	26 , 	13 , 	11 , 	8 , 	17 , 	3 , 	70 , 	20 , 	2 , 	5 , 	1 , 	3 , 	29 , 	4 , 	6 ," 	1,234 ",,,,,,,,,,,
Entries," 	2,219 "," 	3,702 "," 	2,452 "," 	2,536 "," 	8,990 "," 	3,184 "," 	4,705 "," 	3,930 "," 	4,674 "," 	2,904 "," 	4,773 "," 	5,443 "," 	2,554 "," 	3,201 "," 	2,268 "," 	1,431 "," 	1,766 "," 	3,321 "," 	2,352 "," 	2,108 "," 	2,961 "," 	1,531 "," 	1,188 "," 	3,161 "," 	3,538 "," 	11,551 "," 	8,290 "," 	26,098 "," 	10,515 "," 	8,389 "," 	8,533 "," 	4,202 "," 	7,159 "," 	4,629 "," 	1,678 "," 	1,400 "," 	3,352 ", 	717 ," 	2,405 "," 	1,183 "," 	1,752 "," 	4,882 "," 	2,799 "," 	1,181 "," 	191,602 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
