Exit stations,Entry stations->,,SATURDAY,,,May 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
24, 	105 , 	138 , 	62 , 	94 , 	170 , 	125 , 	178 , 	208 , 	143 , 	140 , 	202 , 	118 , 	73 , 	66 , 	44 , 	27 , 	41 , 	45 , 	33 , 	60 , 	68 , 	40 , 	44 , 	132 , 	272 , 	498 , 	407 ," 	1,590 ", 	591 , 	184 , 	42 , 	257 , 	388 , 	335 , 	98 , 	29 , 	88 , 	18 , 	64 , 	88 , 	127 , 	133 , 	213 , 	27 , 	22 , 	25 , 	-   , 	-   , 	2 , 	4 ," 	7,853 ",,,,,,,,,,
GP, 	21 , 	36 , 	19 , 	29 , 	76 , 	28 , 	40 , 	71 , 	45 , 	33 , 	42 , 	63 , 	18 , 	15 , 	12 , 	7 , 	8 , 	7 , 	11 , 	21 , 	27 , 	10 , 	9 , 	41 , 	60 , 	269 , 	236 , 	852 , 	250 , 	202 , 	260 , 	19 , 	44 , 	36 , 	28 , 	9 , 	28 , 	3 , 	23 , 	20 , 	47 , 	83 , 	58 , 	6 , 	9 , 	7 , 	-   , 	-   , 	1 , 	2 ," 	3,237 ",,,,,,,,,,
BP, 	30 , 	40 , 	12 , 	19 , 	51 , 	25 , 	33 , 	34 , 	51 , 	37 , 	50 , 	40 , 	22 , 	26 , 	8 , 	8 , 	12 , 	19 , 	14 , 	11 , 	16 , 	7 , 	5 , 	17 , 	62 , 	354 , 	401 ," 	1,653 ", 	376 , 	273 , 	335 , 	47 , 	36 , 	44 , 	46 , 	8 , 	24 , 	6 , 	25 , 	23 , 	80 , 	89 , 	49 , 	8 , 	7 , 	7 , 	-   , 	-   , 	0 , 	-   ," 	4,536 ",,,,,,,,,,
DC, 	23 , 	51 , 	16 , 	19 , 	69 , 	16 , 	31 , 	53 , 	49 , 	40 , 	47 , 	97 , 	22 , 	27 , 	17 , 	14 , 	17 , 	23 , 	18 , 	20 , 	27 , 	12 , 	8 , 	23 , 	71 , 	313 , 	320 ," 	1,141 ", 	373 , 	248 , 	289 , 	45 , 	51 , 	28 , 	23 , 	11 , 	34 , 	6 , 	37 , 	25 , 	79 , 	166 , 	90 , 	20 , 	13 , 	11 , 	-   , 	-   , 	0 , 	1 ," 	4,130 ",,,,,,,,,,
CM, 	3 , 	19 , 	7 , 	5 , 	15 , 	4 , 	6 , 	14 , 	13 , 	4 , 	5 , 	9 , 	5 , 	7 , 	3 , 	1 , 	4 , 	5 , 	8 , 	9 , 	9 , 	3 , 	2 , 	6 , 	14 , 	91 , 	88 , 	306 , 	116 , 	75 , 	94 , 	25 , 	44 , 	24 , 	8 , 	3 , 	6 , 	2 , 	17 , 	9 , 	39 , 	102 , 	34 , 	2 , 	1 , 	-   , 	-   , 	-   , 	1 , 	1 ," 	1,261 ",,,,,,,,,,
CV, 	4 , 	5 , 	3 , 	5 , 	24 , 	4 , 	7 , 	11 , 	11 , 	50 , 	39 , 	100 , 	28 , 	40 , 	16 , 	9 , 	11 , 	19 , 	1 , 	1 , 	4 , 	1 , 	1 , 	6 , 	10 , 	138 , 	86 , 	183 , 	93 , 	30 , 	27 , 	12 , 	8 , 	16 , 	3 , 	6 , 	53 , 	1 , 	2 , 	2 , 	6 , 	20 , 	2 , 	63 , 	9 , 	6 , 	-   , 	-   , 	-   , 	-   ," 	1,170 ",,,,,,,,,,
ED, 	11 , 	15 , 	8 , 	11 , 	71 , 	11 , 	15 , 	30 , 	23 , 	85 , 	88 , 	334 , 	41 , 	72 , 	36 , 	15 , 	28 , 	52 , 	5 , 	5 , 	4 , 	2 , 	2 , 	11 , 	40 , 	529 , 	263 , 	497 , 	268 , 	80 , 	78 , 	30 , 	34 , 	50 , 	5 , 	54 , 	28 , 	2 , 	6 , 	6 , 	7 , 	95 , 	14 , 	30 , 	59 , 	17 , 	-   , 	-   , 	0 , 	1 ," 	3,161 ",,,,,,,,,,
NC, 	2 , 	2 , 	1 , 	1 , 	13 , 	2 , 	6 , 	11 , 	11 , 	3 , 	2 , 	19 , 	4 , 	3 , 	3 , 	1 , 	2 , 	4 , 	23 , 	8 , 	16 , 	4 , 	4 , 	6 , 	6 , 	68 , 	48 , 	86 , 	42 , 	16 , 	16 , 	6 , 	5 , 	5 , 	2 , 	1 , 	2 , 	9 , 	25 , 	1 , 	3 , 	32 , 	2 , 	0 , 	12 , 	3 , 	-   , 	-   , 	0 , 	4 , 	541 ,,,,,,,,,,
WP, 	21 , 	19 , 	7 , 	13 , 	37 , 	12 , 	74 , 	39 , 	61 , 	15 , 	36 , 	75 , 	16 , 	15 , 	19 , 	10 , 	10 , 	15 , 	153 , 	69 , 	107 , 	17 , 	13 , 	32 , 	38 , 	184 , 	133 , 	331 , 	140 , 	54 , 	74 , 	29 , 	37 , 	37 , 	17 , 	3 , 	8 , 	28 , 	26 , 	14 , 	13 , 	117 , 	18 , 	4 , 	24 , 	11 , 	-   , 	-   , 	3 , 	8 ," 	2,231 ",,,,,,,,,,
SS, 	3 , 	15 , 	3 , 	3 , 	14 , 	3 , 	7 , 	9 , 	13 , 	3 , 	8 , 	14 , 	6 , 	5 , 	6 , 	4 , 	1 , 	3 , 	5 , 	8 , 	9 , 	2 , 	2 , 	5 , 	14 , 	76 , 	66 , 	259 , 	88 , 	54 , 	79 , 	21 , 	24 , 	29 , 	11 , 	5 , 	6 , 	3 , 	15 , 	7 , 	24 , 	37 , 	17 , 	4 , 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	989 ,,,,,,,,,,
