Exit stations,Entry stations->,,SUNDAY,,,May 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
24, 	89 , 	124 , 	60 , 	90 , 	140 , 	94 , 	157 , 	143 , 	105 , 	119 , 	165 , 	103 , 	68 , 	64 , 	48 , 	31 , 	36 , 	50 , 	28 , 	64 , 	68 , 	36 , 	33 , 	103 , 	226 , 	372 , 	295 ," 	1,141 ", 	535 , 	169 , 	53 , 	280 , 	340 , 	322 , 	96 , 	29 , 	83 , 	12 , 	55 , 	80 , 	130 , 	198 , 	188 , 	25 , 	33 , 	23 , 	-   , 	-   , 	3 , 	9 ," 	6,709 ",,,,,,,,,,,
GP, 	16 , 	24 , 	19 , 	25 , 	64 , 	20 , 	31 , 	34 , 	37 , 	27 , 	29 , 	46 , 	17 , 	11 , 	7 , 	5 , 	7 , 	10 , 	16 , 	21 , 	27 , 	11 , 	12 , 	30 , 	52 , 	177 , 	171 , 	653 , 	225 , 	187 , 	234 , 	22 , 	27 , 	33 , 	21 , 	7 , 	32 , 	5 , 	22 , 	13 , 	36 , 	114 , 	52 , 	3 , 	16 , 	7 , 	-   , 	-   , 	-   , 	1 ," 	2,648 ",,,,,,,,,,,
BP, 	21 , 	27 , 	9 , 	13 , 	33 , 	11 , 	23 , 	26 , 	33 , 	25 , 	28 , 	27 , 	17 , 	19 , 	9 , 	5 , 	9 , 	13 , 	15 , 	10 , 	13 , 	4 , 	5 , 	11 , 	38 , 	255 , 	284 ," 	1,266 ", 	314 , 	242 , 	294 , 	34 , 	28 , 	29 , 	30 , 	11 , 	26 , 	3 , 	25 , 	17 , 	61 , 	103 , 	54 , 	8 , 	12 , 	10 , 	-   , 	-   , 	-   , 	2 ," 	3,546 ",,,,,,,,,,,
DC, 	18 , 	29 , 	12 , 	14 , 	35 , 	12 , 	25 , 	25 , 	27 , 	28 , 	26 , 	56 , 	21 , 	14 , 	14 , 	11 , 	15 , 	20 , 	20 , 	18 , 	21 , 	9 , 	9 , 	15 , 	62 , 	220 , 	218 , 	823 , 	312 , 	223 , 	295 , 	31 , 	32 , 	21 , 	19 , 	10 , 	46 , 	7 , 	29 , 	20 , 	70 , 	181 , 	83 , 	12 , 	17 , 	10 , 	-   , 	-   , 	-   , 	1 ," 	3,229 ",,,,,,,,,,,
CM, 	5 , 	10 , 	4 , 	4 , 	8 , 	5 , 	8 , 	6 , 	14 , 	2 , 	4 , 	9 , 	6 , 	5 , 	4 , 	1 , 	3 , 	2 , 	10 , 	7 , 	11 , 	4 , 	2 , 	4 , 	9 , 	79 , 	63 , 	225 , 	99 , 	68 , 	78 , 	22 , 	31 , 	18 , 	8 , 	1 , 	3 , 	4 , 	13 , 	3 , 	24 , 	103 , 	28 , 	2 , 	4 , 	0 , 	-   , 	-   , 	0 , 	1 ," 	1,023 ",,,,,,,,,,,
CV, 	3 , 	4 , 	3 , 	3 , 	10 , 	3 , 	8 , 	6 , 	9 , 	49 , 	23 , 	61 , 	16 , 	35 , 	11 , 	7 , 	5 , 	11 , 	3 , 	2 , 	2 , 	1 , 	0 , 	2 , 	10 , 	133 , 	72 , 	136 , 	79 , 	35 , 	25 , 	6 , 	11 , 	11 , 	3 , 	4 , 	42 , 	2 , 	1 , 	2 , 	3 , 	26 , 	3 , 	45 , 	10 , 	4 , 	-   , 	-   , 	-   , 	-   , 	935 ,,,,,,,,,,,
ED, 	9 , 	11 , 	6 , 	9 , 	45 , 	10 , 	15 , 	18 , 	13 , 	56 , 	50 , 	205 , 	35 , 	55 , 	23 , 	12 , 	20 , 	33 , 	4 , 	4 , 	3 , 	2 , 	1 , 	8 , 	21 , 	478 , 	212 , 	379 , 	210 , 	85 , 	65 , 	25 , 	28 , 	33 , 	2 , 	33 , 	16 , 	1 , 	8 , 	5 , 	4 , 	124 , 	11 , 	22 , 	77 , 	9 , 	-   , 	-   , 	-   , 	0 ," 	2,489 ",,,,,,,,,,,
NC, 	3 , 	2 , 	1 , 	1 , 	7 , 	3 , 	11 , 	4 , 	8 , 	2 , 	2 , 	17 , 	2 , 	2 , 	1 , 	1 , 	1 , 	2 , 	16 , 	6 , 	16 , 	2 , 	2 , 	7 , 	3 , 	70 , 	33 , 	64 , 	37 , 	13 , 	11 , 	2 , 	2 , 	4 , 	3 , 	1 , 	0 , 	6 , 	16 , 	2 , 	2 , 	36 , 	4 , 	1 , 	8 , 	2 , 	-   , 	-   , 	1 , 	4 , 	436 ,,,,,,,,,,,
WP, 	13 , 	21 , 	6 , 	6 , 	17 , 	8 , 	54 , 	24 , 	32 , 	10 , 	23 , 	48 , 	10 , 	15 , 	9 , 	7 , 	9 , 	16 , 	112 , 	54 , 	78 , 	18 , 	8 , 	21 , 	19 , 	163 , 	94 , 	228 , 	104 , 	41 , 	50 , 	20 , 	27 , 	30 , 	13 , 	3 , 	6 , 	18 , 	25 , 	10 , 	16 , 	116 , 	17 , 	2 , 	30 , 	8 , 	-   , 	-   , 	2 , 	5 ," 	1,661 ",,,,,,,,,,,
SS, 	6 , 	13 , 	1 , 	5 , 	8 , 	2 , 	7 , 	6 , 	11 , 	4 , 	6 , 	8 , 	3 , 	3 , 	2 , 	1 , 	1 , 	2 , 	6 , 	5 , 	7 , 	3 , 	2 , 	4 , 	10 , 	53 , 	46 , 	180 , 	70 , 	60 , 	58 , 	15 , 	17 , 	25 , 	4 , 	1 , 	7 , 	1 , 	12 , 	4 , 	14 , 	45 , 	10 , 	1 , 	4 , 	1 , 	-   , 	-   , 	-   , 	1 , 	749 ,,,,,,,,,,,
SB, 	8 , 	14 , 	4 , 	5 , 	13 , 	3 , 	8 , 	10 , 	12 , 	7 , 	10 , 	14 , 	4 , 	7 , 	3 , 	4 , 	4 , 	2 , 	8 , 	8 , 	10 , 	6 , 	1 , 	5 , 	15 , 	75 , 	53 , 	214 , 	113 , 	76 , 	118 , 	30 , 	61 , 	61 , 	29 , 	0 , 	5 , 	2 , 	15 , 	16 , 	12 , 	61 , 	18 , 	3 , 	5 , 	1 , 	-   , 	-   , 	-   , 	1 ," 	1,149 ",,,,,,,,,,,
SO, 	26 , 	65 , 	47 , 	62 , 	138 , 	34 , 	75 , 	41 , 	74 , 	21 , 	27 , 	26 , 	21 , 	13 , 	8 , 	5 , 	7 , 	13 , 	53 , 	95 , 	112 , 	60 , 	58 , 	93 , 	69 , 	269 , 	250 ," 	1,015 ", 	311 , 	107 , 	90 , 	49 , 	46 , 	112 , 	71 , 	9 , 	65 , 	25 , 	82 , 	23 , 	31 , 	60 , 	135 , 	19 , 	21 , 	7 , 	-   , 	-   , 	0 , 	3 ," 	4,037 ",,,,,,,,,,,
