Exit stations,Entry stations->,,WEEKDAY,,,Aug-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,,
GP, 	30 , 	46 , 	28 , 	26 , 	119 , 	29 , 	77 , 	111 , 	129 , 	48 , 	52 , 	60 , 	32 , 	25 , 	24 , 	12 , 	14 , 	32 , 	37 , 	51 , 	51 , 	23 , 	18 , 	40 , 	33 ," 	1,114 "," 	1,374 "," 	1,750 ", 	788 , 	382 , 	318 , 	32 , 	213 , 	81 , 	64 , 	16 , 	56 , 	11 , 	55 , 	43 , 	60 , 	106 , 	101 ," 	7,708 ",,M - SM Co," 	29,818 "," 	29,310 ",,,,,,,,
BP, 	45 , 	88 , 	37 , 	30 , 	109 , 	45 , 	92 , 	95 , 	148 , 	73 , 	86 , 	72 , 	50 , 	36 , 	26 , 	20 , 	23 , 	38 , 	47 , 	33 , 	34 , 	12 , 	10 , 	36 , 	57 ," 	1,629 "," 	1,835 "," 	4,365 "," 	1,841 ", 	944 , 	967 , 	218 , 	59 , 	177 , 	145 , 	19 , 	74 , 	24 , 	65 , 	97 , 	128 , 	119 , 	141 ," 	14,188 ",,C," 	37,452 "," 	37,747 ",,,,,,,,
DC, 	36 , 	105 , 	41 , 	41 , 	142 , 	42 , 	90 , 	133 , 	175 , 	86 , 	94 , 	81 , 	55 , 	53 , 	40 , 	30 , 	31 , 	62 , 	62 , 	71 , 	69 , 	26 , 	21 , 	45 , 	52 ," 	1,086 "," 	1,238 "," 	1,452 ", 	785 , 	269 , 	294 , 	93 , 	198 , 	17 , 	58 , 	23 , 	117 , 	29 , 	64 , 	64 , 	113 , 	213 , 	208 ," 	8,004 ",,R," 	36,089 "," 	36,993 ",,,,,,,,
CM, 	15 , 	20 , 	5 , 	2 , 	33 , 	9 , 	27 , 	66 , 	99 , 	11 , 	16 , 	20 , 	13 , 	12 , 	11 , 	5 , 	9 , 	11 , 	18 , 	18 , 	20 , 	5 , 	6 , 	7 , 	10 , 	667 , 	752 , 	702 , 	443 , 	136 , 	151 , 	64 , 	153 , 	49 , 	8 , 	2 , 	39 , 	5 , 	20 , 	19 , 	49 , 	119 , 	84 ," 	3,930 ",,K (+WO)," 	35,374 "," 	34,985 ",,,,,,,,
CV, 	6 , 	13 , 	8 , 	8 , 	71 , 	13 , 	29 , 	81 , 	128 , 	103 , 	67 , 	89 , 	44 , 	84 , 	26 , 	21 , 	14 , 	28 , 	6 , 	5 , 	9 , 	2 , 	2 , 	8 , 	14 , 	483 , 	446 , 	262 , 	185 , 	47 , 	22 , 	19 , 	15 , 	23 , 	3 , 	4 , 	194 , 	2 , 	4 , 	4 , 	5 , 	24 , 	6 ," 	2,626 ",,A," 	51,186 "," 	51,229 ",,,,,,,,
ED, 	25 , 	56 , 	19 , 	20 , 	174 , 	42 , 	86 , 	230 , 	326 , 	247 , 	211 , 	461 , 	153 , 	402 , 	109 , 	61 , 	63 , 	94 , 	15 , 	9 , 	10 , 	3 , 	3 , 	17 , 	30 ," 	1,845 "," 	1,362 ", 	911 , 	588 , 	115 , 	73 , 	59 , 	82 , 	125 , 	39 , 	219 , 	24 , 	3 , 	17 , 	36 , 	26 , 	181 , 	30 ," 	8,601 ",,L," 	11,351 "," 	11,227 ",,,,,,,,
NC, 	9 , 	11 , 	3 , 	3 , 	40 , 	6 , 	46 , 	129 , 	161 , 	15 , 	16 , 	43 , 	9 , 	6 , 	13 , 	5 , 	4 , 	7 , 	87 , 	46 , 	85 , 	20 , 	12 , 	30 , 	6 , 	425 , 	367 , 	230 , 	178 , 	40 , 	26 , 	13 , 	23 , 	26 , 	5 , 	2 , 	3 , 	8 , 	97 , 	7 , 	6 , 	36 , 	9 ," 	2,314 ",,Avg Wkdy," 	369,884 "," 	369,884 ",,,,,,,,
WP, 	40 , 	54 , 	13 , 	11 , 	93 , 	27 , 	188 , 	218 , 	313 , 	37 , 	67 , 	142 , 	40 , 	24 , 	38 , 	19 , 	20 , 	40 , 	432 , 	181 , 	272 , 	41 , 	28 , 	57 , 	42 , 	669 , 	559 , 	512 , 	429 , 	110 , 	107 , 	54 , 	61 , 	71 , 	22 , 	5 , 	19 , 	103 , 	14 , 	24 , 	29 , 	90 , 	44 ," 	5,361 ",,,,,,,,,,,,
SS, 	12 , 	27 , 	6 , 	5 , 	31 , 	8 , 	26 , 	58 , 	81 , 	15 , 	19 , 	23 , 	18 , 	12 , 	10 , 	8 , 	5 , 	8 , 	20 , 	19 , 	19 , 	2 , 	3 , 	8 , 	12 , 	552 , 	598 , 	502 , 	348 , 	90 , 	93 , 	51 , 	105 , 	69 , 	18 , 	4 , 	37 , 	7 , 	23 , 	7 , 	33 , 	47 , 	57 ," 	3,095 ",,,,,,,,,,,,
SB, 	11 , 	26 , 	5 , 	5 , 	28 , 	6 , 	20 , 	40 , 	54 , 	17 , 	24 , 	21 , 	24 , 	12 , 	13 , 	8 , 	8 , 	14 , 	18 , 	20 , 	18 , 	8 , 	7 , 	13 , 	11 , 	402 , 	440 , 	404 , 	275 , 	106 , 	141 , 	61 , 	146 , 	124 , 	55 , 	5 , 	25 , 	6 , 	30 , 	41 , 	8 , 	75 , 	57 ," 	2,836 ",,,,,,,,,,,,
SO, 	31 , 	75 , 	57 , 	68 , 	181 , 	51 , 	89 , 	53 , 	89 , 	37 , 	56 , 	54 , 	33 , 	25 , 	21 , 	12 , 	23 , 	60 , 	77 , 	121 , 	139 , 	65 , 	56 , 	108 , 	54 , 	528 , 	513 ," 	1,375 ", 	603 , 	204 , 	211 , 	112 , 	125 , 	209 , 	120 , 	21 , 	156 , 	42 , 	91 , 	52 , 	80 , 	24 , 	408 ," 	6,509 ",,,,,,,,,,,,
MB, 	22 , 	44 , 	17 , 	27 , 	158 , 	26 , 	48 , 	86 , 	112 , 	19 , 	31 , 	37 , 	15 , 	7 , 	6 , 	6 , 	4 , 	8 , 	23 , 	25 , 	28 , 	9 , 	12 , 	20 , 	19 , 	734 , 	826 , 	727 , 	365 , 	143 , 	172 , 	108 , 	151 , 	204 , 	94 , 	6 , 	26 , 	9 , 	44 , 	57 , 	53 , 	389 , 	17 ," 	4,936 ",,,,,,,,,,,,
Entries," 	3,646 "," 	7,619 "," 	4,320 "," 	3,833 "," 	11,992 "," 	4,680 "," 	7,992 "," 	9,204 "," 	12,966 "," 	5,650 "," 	7,409 "," 	7,527 "," 	5,373 "," 	5,746 "," 	4,699 "," 	3,281 "," 	3,925 "," 	7,575 "," 	5,669 "," 	6,521 "," 	6,414 "," 	3,347 "," 	2,824 "," 	4,944 "," 	5,211 "," 	33,820 "," 	32,328 "," 	33,501 "," 	21,621 "," 	11,460 "," 	12,996 "," 	8,038 "," 	14,850 "," 	7,977 "," 	3,973 "," 	2,672 "," 	8,679 "," 	2,409 "," 	5,324 "," 	3,146 "," 	2,765 "," 	6,860 "," 	5,096 "," 	369,884 ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
