Exit stations,Entry stations->,,WEEKDAY,,,Jul 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
24, 	180 , 	166 , 	59 , 	89 , 	217 , 	99 , 	190 , 	288 , 	255 , 	131 , 	197 , 	122 , 	88 , 	74 , 	64 , 	42 , 	37 , 	33 , 	73 , 	71 , 	59 , 	34 , 	33 , 	92 , 	198 ," 	1,628 "," 	1,991 "," 	1,769 ", 	935 , 	188 , 	46 , 	233 , 	395 , 	231 , 	115 , 	27 , 	79 , 	35 , 	96 , 	105 , 	120 , 	172 , 	217 , 	37 , 	19 , 	27 , 	-   , 	-   , 	24 , 	50 ," 	11,430 ",,,,,,,,,,,,,
GP, 	42 , 	61 , 	27 , 	32 , 	129 , 	35 , 	72 , 	147 , 	174 , 	49 , 	64 , 	53 , 	40 , 	28 , 	28 , 	14 , 	16 , 	13 , 	39 , 	44 , 	36 , 	14 , 	19 , 	54 , 	69 ," 	1,112 "," 	1,354 "," 	1,144 ", 	645 , 	308 , 	238 , 	24 , 	102 , 	56 , 	51 , 	13 , 	59 , 	16 , 	32 , 	33 , 	66 , 	121 , 	125 , 	23 , 	13 , 	16 , 	-   , 	-   , 	11 , 	33 ," 	6,894 ",,,,,,,,,,,,,
BP, 	57 , 	71 , 	20 , 	23 , 	100 , 	28 , 	52 , 	112 , 	150 , 	59 , 	64 , 	50 , 	52 , 	36 , 	24 , 	15 , 	18 , 	14 , 	41 , 	38 , 	36 , 	8 , 	8 , 	23 , 	49 ," 	1,328 "," 	1,739 "," 	2,124 "," 	1,022 ", 	481 , 	383 , 	97 , 	34 , 	68 , 	68 , 	18 , 	53 , 	11 , 	32 , 	50 , 	93 , 	151 , 	117 , 	19 , 	7 , 	15 , 	-   , 	-   , 	15 , 	32 ," 	9,104 ",,,,,,,,,,,,,
DC, 	48 , 	85 , 	29 , 	26 , 	84 , 	22 , 	61 , 	134 , 	187 , 	62 , 	66 , 	66 , 	54 , 	30 , 	36 , 	24 , 	29 , 	25 , 	50 , 	47 , 	40 , 	12 , 	15 , 	24 , 	50 ," 	1,328 "," 	1,706 "," 	1,375 ", 	820 , 	354 , 	265 , 	60 , 	81 , 	29 , 	38 , 	23 , 	83 , 	21 , 	41 , 	57 , 	116 , 	232 , 	210 , 	28 , 	12 , 	26 , 	-   , 	-   , 	14 , 	42 ," 	8,269 ",,,,,,,,,,,,,
CM, 	17 , 	24 , 	5 , 	6 , 	32 , 	9 , 	21 , 	72 , 	108 , 	8 , 	9 , 	13 , 	8 , 	8 , 	5 , 	5 , 	6 , 	4 , 	20 , 	12 , 	17 , 	4 , 	2 , 	4 , 	12 , 	856 , 	979 , 	603 , 	472 , 	156 , 	116 , 	50 , 	66 , 	34 , 	13 , 	2 , 	15 , 	3 , 	16 , 	21 , 	44 , 	148 , 	79 , 	3 , 	3 , 	2 , 	-   , 	-   , 	7 , 	15 ," 	4,134 ",,,,,,,,,,,,,
CV, 	5 , 	6 , 	6 , 	8 , 	55 , 	9 , 	26 , 	78 , 	112 , 	127 , 	45 , 	61 , 	40 , 	40 , 	16 , 	10 , 	17 , 	23 , 	5 , 	4 , 	4 , 	1 , 	3 , 	7 , 	11 , 	513 , 	555 , 	272 , 	261 , 	79 , 	33 , 	15 , 	20 , 	26 , 	3 , 	13 , 	92 , 	1 , 	1 , 	4 , 	5 , 	25 , 	6 , 	64 , 	10 , 	17 , 	-   , 	-   , 	1 , 	1 ," 	2,733 ",,,,,,,,,,,,,
ED, 	13 , 	28 , 	13 , 	17 , 	180 , 	30 , 	66 , 	218 , 	261 , 	183 , 	135 , 	166 , 	102 , 	137 , 	61 , 	39 , 	68 , 	56 , 	10 , 	5 , 	5 , 	2 , 	2 , 	11 , 	30 ," 	2,060 "," 	1,789 ", 	735 , 	713 , 	242 , 	94 , 	68 , 	64 , 	84 , 	16 , 	89 , 	48 , 	2 , 	5 , 	23 , 	14 , 	147 , 	18 , 	61 , 	67 , 	43 , 	-   , 	-   , 	2 , 	5 ," 	8,223 ",,,,,,,,,,,,,
NC, 	4 , 	5 , 	3 , 	5 , 	28 , 	5 , 	43 , 	108 , 	111 , 	7 , 	7 , 	15 , 	8 , 	4 , 	5 , 	1 , 	2 , 	4 , 	41 , 	32 , 	47 , 	10 , 	3 , 	19 , 	5 , 	301 , 	322 , 	186 , 	190 , 	69 , 	34 , 	16 , 	14 , 	20 , 	3 , 	1 , 	1 , 	7 , 	20 , 	6 , 	11 , 	55 , 	5 , 	1 , 	10 , 	5 , 	-   , 	-   , 	17 , 	18 ," 	1,836 ",,,,,,,,,,,,,
WP, 	17 , 	14 , 	6 , 	8 , 	68 , 	11 , 	137 , 	171 , 	216 , 	20 , 	23 , 	33 , 	14 , 	8 , 	15 , 	6 , 	9 , 	7 , 	130 , 	68 , 	125 , 	27 , 	12 , 	36 , 	16 , 	530 , 	495 , 	425 , 	394 , 	151 , 	116 , 	41 , 	47 , 	46 , 	17 , 	1 , 	5 , 	20 , 	21 , 	18 , 	24 , 	133 , 	19 , 	2 , 	18 , 	15 , 	-   , 	-   , 	14 , 	25 ," 	3,775 ",,,,,,,,,,,,,
SS, 	15 , 	32 , 	6 , 	10 , 	35 , 	8 , 	25 , 	67 , 	90 , 	17 , 	16 , 	19 , 	11 , 	10 , 	6 , 	4 , 	5 , 	5 , 	20 , 	25 , 	19 , 	7 , 	7 , 	12 , 	20 , 	644 , 	753 , 	458 , 	373 , 	148 , 	102 , 	33 , 	53 , 	52 , 	21 , 	6 , 	24 , 	6 , 	16 , 	15 , 	29 , 	64 , 	60 , 	10 , 	2 , 	3 , 	-   , 	-   , 	9 , 	22 ," 	3,392 ",,,,,,,,,,,,,
SB, 	20 , 	35 , 	12 , 	8 , 	36 , 	15 , 	25 , 	62 , 	76 , 	19 , 	22 , 	18 , 	12 , 	16 , 	11 , 	8 , 	4 , 	8 , 	23 , 	27 , 	17 , 	9 , 	6 , 	10 , 	23 , 	589 , 	690 , 	431 , 	345 , 	145 , 	123 , 	68 , 	109 , 	120 , 	38 , 	4 , 	12 , 	10 , 	22 , 	28 , 	13 , 	63 , 	53 , 	4 , 	3 , 	2 , 	-   , 	-   , 	12 , 	18 ," 	3,423 ",,,,,,,,,,,,,
SO, 	69 , 	138 , 	75 , 	103 , 	142 , 	67 , 	129 , 	110 , 	126 , 	45 , 	69 , 	44 , 	50 , 	30 , 	21 , 	24 , 	18 , 	30 , 	152 , 	194 , 	189 , 	114 , 	90 , 	149 , 	146 , 	421 , 	425 , 	869 , 	387 , 	182 , 	148 , 	108 , 	147 , 	212 , 	141 , 	19 , 	123 , 	58 , 	136 , 	56 , 	52 , 	60 , 	256 , 	38 , 	15 , 	13 , 	-   , 	-   , 	26 , 	115 ," 	6,330 ",,,,,,,,,,,,,
MB, 	27 , 	71 , 	32 , 	35 , 	157 , 	30 , 	58 , 	121 , 	134 , 	16 , 	23 , 	17 , 	13 , 	8 , 	5 , 	4 , 	4 , 	4 , 	30 , 	22 , 	24 , 	13 , 	12 , 	23 , 	44 ," 	1,049 "," 	1,296 ", 	625 , 	557 , 	249 , 	193 , 	121 , 	136 , 	212 , 	87 , 	6 , 	19 , 	6 , 	17 , 	58 , 	42 , 	278 , 	57 , 	5 , 	5 , 	1 , 	-   , 	-   , 	6 , 	16 ," 	5,968 ",,,,,,,,,,,,,
