Exit stations,Entry stations->,,SATURDAY,,,Aug 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
24, 	75 , 	97 , 	57 , 	94 , 	181 , 	109 , 	176 , 	181 , 	119 , 	95 , 	141 , 	69 , 	52 , 	37 , 	27 , 	23 , 	23 , 	33 , 	34 , 	33 , 	55 , 	30 , 	28 , 	100 , 	165 , 	610 , 	438 ," 	1,712 ", 	730 , 	205 , 	44 , 	231 , 	435 , 	280 , 	107 , 	20 , 	49 , 	11 , 	47 , 	88 , 	132 , 	198 , 	182 , 	20 , 	18 , 	-   ," 	7,590 ",,,,,,,,,,,
GP, 	16 , 	31 , 	15 , 	23 , 	80 , 	28 , 	44 , 	50 , 	46 , 	25 , 	29 , 	29 , 	17 , 	13 , 	12 , 	6 , 	8 , 	16 , 	18 , 	16 , 	23 , 	9 , 	8 , 	37 , 	39 , 	343 , 	276 ," 	1,069 ", 	327 , 	253 , 	216 , 	19 , 	61 , 	58 , 	39 , 	7 , 	25 , 	5 , 	19 , 	22 , 	75 , 	103 , 	91 , 	6 , 	10 , 	-   ," 	3,663 ",,,,,,,,,,,
BP, 	26 , 	39 , 	13 , 	19 , 	58 , 	15 , 	28 , 	34 , 	52 , 	31 , 	48 , 	34 , 	21 , 	26 , 	15 , 	8 , 	11 , 	21 , 	24 , 	11 , 	13 , 	5 , 	7 , 	17 , 	40 , 	487 , 	530 ," 	2,233 ", 	461 , 	444 , 	380 , 	61 , 	41 , 	66 , 	67 , 	7 , 	29 , 	7 , 	30 , 	36 , 	124 , 	96 , 	97 , 	3 , 	6 , 	-   ," 	5,822 ",,,,,,,,,,,
DC, 	27 , 	44 , 	16 , 	17 , 	92 , 	15 , 	28 , 	36 , 	47 , 	23 , 	41 , 	34 , 	28 , 	25 , 	16 , 	15 , 	16 , 	31 , 	25 , 	15 , 	25 , 	11 , 	9 , 	18 , 	30 , 	437 , 	370 ," 	1,444 ", 	403 , 	298 , 	269 , 	57 , 	84 , 	24 , 	34 , 	12 , 	34 , 	5 , 	33 , 	40 , 	126 , 	190 , 	127 , 	13 , 	11 , 	-   ," 	4,695 ",,,,,,,,,,,
CM, 	9 , 	16 , 	3 , 	3 , 	14 , 	4 , 	6 , 	10 , 	17 , 	3 , 	5 , 	9 , 	5 , 	8 , 	4 , 	5 , 	3 , 	5 , 	11 , 	8 , 	7 , 	3 , 	3 , 	4 , 	7 , 	131 , 	102 , 	434 , 	167 , 	102 , 	107 , 	34 , 	64 , 	36 , 	9 , 	2 , 	5 , 	2 , 	14 , 	9 , 	58 , 	102 , 	51 , 	2 , 	2 , 	-   ," 	1,606 ",,,,,,,,,,,
CV, 	3 , 	9 , 	5 , 	5 , 	31 , 	8 , 	11 , 	23 , 	20 , 	57 , 	46 , 	115 , 	32 , 	67 , 	30 , 	11 , 	16 , 	29 , 	6 , 	2 , 	2 , 	1 , 	0 , 	4 , 	7 , 	146 , 	91 , 	206 , 	98 , 	28 , 	22 , 	7 , 	9 , 	8 , 	2 , 	7 , 	65 , 	0 , 	3 , 	1 , 	5 , 	19 , 	3 , 	81 , 	12 , 	-   ," 	1,358 ",,,,,,,,,,,
ED, 	9 , 	14 , 	8 , 	13 , 	139 , 	12 , 	24 , 	61 , 	43 , 	70 , 	83 , 	378 , 	43 , 	122 , 	42 , 	20 , 	39 , 	90 , 	11 , 	5 , 	7 , 	2 , 	4 , 	11 , 	15 , 	778 , 	287 , 	560 , 	265 , 	84 , 	47 , 	28 , 	29 , 	36 , 	4 , 	71 , 	42 , 	2 , 	12 , 	6 , 	10 , 	97 , 	9 , 	33 , 	50 , 	-   ," 	3,716 ",,,,,,,,,,,
NC, 	3 , 	3 , 	2 , 	4 , 	17 , 	3 , 	16 , 	15 , 	19 , 	1 , 	5 , 	34 , 	2 , 	5 , 	2 , 	2 , 	2 , 	4 , 	24 , 	14 , 	19 , 	4 , 	3 , 	13 , 	2 , 	124 , 	67 , 	115 , 	52 , 	20 , 	12 , 	4 , 	8 , 	6 , 	4 , 	1 , 	1 , 	8 , 	28 , 	3 , 	3 , 	35 , 	4 , 	1 , 	6 , 	-   , 	723 ,,,,,,,,,,,
WP, 	29 , 	41 , 	10 , 	11 , 	56 , 	21 , 	106 , 	89 , 	88 , 	14 , 	49 , 	92 , 	25 , 	27 , 	25 , 	13 , 	10 , 	27 , 	231 , 	81 , 	127 , 	30 , 	15 , 	40 , 	23 , 	261 , 	141 , 	344 , 	134 , 	54 , 	60 , 	26 , 	38 , 	39 , 	17 , 	3 , 	9 , 	44 , 	32 , 	12 , 	19 , 	82 , 	15 , 	5 , 	23 , 	-   ," 	2,640 ",,,,,,,,,,,
SS, 	6 , 	12 , 	2 , 	4 , 	13 , 	3 , 	7 , 	9 , 	13 , 	6 , 	9 , 	6 , 	6 , 	2 , 	5 , 	5 , 	2 , 	4 , 	8 , 	7 , 	6 , 	2 , 	1 , 	5 , 	8 , 	121 , 	103 , 	366 , 	127 , 	80 , 	80 , 	21 , 	43 , 	36 , 	10 , 	1 , 	5 , 	2 , 	10 , 	10 , 	33 , 	38 , 	20 , 	1 , 	2 , 	-   ," 	1,260 ",,,,,,,,,,,
